Date,29M,ARI,ABB1,ABC,ABY1,AIS,AGL,ALK,AQZ,AMP,ALD,ALG,AOE,AHY,AIO,AGO,AMI,AZJ,AST,AQC,AHG,BPT,BGA,BHP,BIN,BSL,BLD,B2Y,BKN,BKW,BRS,CAA,CBH1,CEY,CTP,CHC,CIM,CWY,CCL,CGJ,CBA,CWN,CSL,CSR,CDU,CEP,CER,CRG,DCN,DJS,DXS,DOW,APE,ENV1,EPW,EVT,EVN,ESG,ELD,ENE1,FMG,FGL1,FXJ,FLX1,FML,GCY,GFF,GNC,GRR,GCL,GNS,HVN,HSO,HGO,HRL,IGO,ILU,IMA,IPL,ING,IVA,IGR,IPG2,JBH,KZL,LLC,LAU,AEJ
1/07/2008,NA,5.93,8.53,3.82,2.25,NA,13.0804,0.4356,NA,6.51,12.81,NA,3.45,NA,8.26,3.55,0.9569,NA,1.07,27.5005,2.2,1.275,NA,36.942,NA,45.2971,2.9101,NA,8.18,12.15,4.88,45.9969,0.18,5.77,1.1318,3.8321,48.68,4.2427,6.89,15.25,39.0186,9.21,35.48,4.8963,3.34,"$$ER: 2361,NO DATA AVAILABLE",0.33,12.31,NA,2.86,7.6896,5.8773,2.6,0.64,NA,4.6089,0.3826,0.66,83.9967,2.41,11.4,3.95,1.68,16.1,2.2,NA,1.31,3.078,1.142,6.71,2.24,2.9379,NA,2.4471,1.26,4.9355,2.3655,0.8236,7.6982,NA,NA,0.43,2.99,10.6003,3.46,9.1007,0.165,690
2/07/2008,NA,5.66,8.69,3.61,2.3,NA,13.1082,0.4257,NA,6.64,13.5,NA,3.29,NA,8.12,3.68,0.8699,NA,1.12,25.5362,2.16,1.2895,NA,35.6856,NA,45.3786,2.7502,NA,8.1,11.9,4.85,45.9969,0.19,5.77,1.0689,3.6826,46.86,4.36,6.88,15.25,39.9933,8.92,36.23,5.0397,3.13,,0.32,12.27,NA,2.89,7.9469,5.6089,2.6,0.67,NA,4.5333,0.3902,0.62,93.3297,2.28,10.8,3.83,1.65,17.02,2.1,NA,1.32,2.9919,1.1354,6.86,2.18,2.8714,NA,2.4854,1.26,4.8271,2.3809,0.8144,7.2216,NA,NA,0.42,2.99,10.2249,3.3,8.8785,0.165,670
3/07/2008,NA,5.39,8.6,3.47,2.19,NA,13.2752,0.4307,NA,6.52,13.18,NA,3.05,NA,8.19,3.27,0.7733,NA,1.09,23.5719,2.13,1.2267,NA,33.1313,NA,41.9569,2.6863,NA,7.94,11.9,4.71,45.9969,0.19,4.99,1.0898,3.4582,44.69,4.3807,7.04,15.25,41.1272,9.11,35.41,4.8553,2.96,,0.31,12.3,NA,2.86,8.2327,5.4479,2.264,0.7,NA,4.4483,0.3979,0.6,94.1413,2.3,9.5,3.88,1.61,15.55,2.05,NA,1.27,2.9545,1.178,5.97,2.2,2.8523,NA,2.2177,1.15,4.5414,2.417,0.787,7.5642,NA,NA,0.38,2.99,10.1261,2.94,9.2746,0.16,660
4/07/2008,NA,5.45,8.31,3.49,2.25,NA,12.9876,0.4158,NA,6.78,13.1,NA,3.18,NA,8.45,3.06,0.8603,NA,1.13,23.5719,2.04,1.2605,NA,33.8635,NA,39.7572,2.6809,NA,8.02,12,4.86,44.0396,0.19,4.91,1.1318,3.4769,45.01,4.429,7.06,15.25,42.1019,9.02,34.4,5.0192,3.17,,0.32,12.04,NA,3,7.9755,5.6984,2.6,0.67,NA,4.4861,0.4362,0.59,99.0106,2.6,9.76,3.75,1.71,17.14,2,NA,1.29,2.9471,1.1747,6.36,2.16,2.9569,NA,2.2942,1.47,4.6301,2.3294,0.7687,7.7387,NA,NA,0.39,2.99,10.3237,2.91,9.661,0.16,780
7/07/2008,NA,5.42,8,3.59,2.26,NA,12.7928,0.4158,NA,6.62,13.18,NA,3.14,NA,8.09,2.92,0.8603,NA,1.11,23.5719,2,1.2122,NA,33.073,NA,40.3275,2.649,NA,7.98,11.72,4.96,39.1463,0.17,4.99,1.1108,3.4395,43.9,4.3738,7.19,15.25,41.2266,8.93,33.77,4.7939,3.01,,0.32,12.3,NA,3.02,8.0612,5.5911,2.6,0.67,NA,4.25,0.4285,0.56,101.4453,2.59,9.36,3.78,1.66,17.1,2,NA,1.28,2.7937,1.2696,6.4,2.21,2.9189,NA,2.3324,1.36,4.236,2.3139,0.7321,7.3938,NA,NA,0.37,2.99,10.6398,2.79,9.2746,0.17,715
8/07/2008,NA,5.35,8.1,3.51,2.27,NA,12.8021,0.4257,NA,6.57,13.3,NA,3.1,NA,6.53,2.92,0.8603,NA,1.1,23.5719,1.99,1.1591,NA,32.865,NA,40.6534,2.6916,NA,7.9,11.9,4.96,39.1463,0.17,5.06,1.006,3.1405,43.51,4.6222,7.18,15.25,40.5105,8.62,32.92,4.589,3,,0.32,12.24,NA,2.91,7.5467,5.4121,2.5,0.68,NA,4.2028,0.3902,0.55,96.5759,2.61,9.12,3.7,1.7,17.2,2,NA,1.28,2.8049,1.3023,6.31,2.11,2.9569,NA,2.2177,1.36,4.2163,2.3191,0.7138,7.2501,NA,NA,0.36,2.99,10.6102,2.77,9.1104,0.17,745
9/07/2008,NA,5.29,8.01,3.58,2.27,NA,13.2845,0.396,NA,6.68,13.05,NA,2.95,NA,7.2,2.82,0.7249,NA,1.08,24.3576,1.95,1.1156,NA,33.2644,NA,41.7532,2.7182,NA,7.84,11.9,5.06,39.1463,0.17,5.05,0.9222,3.4956,44.58,4.8084,7.5,15.25,41.2664,8.6,33.94,4.7324,3.02,,0.32,12.49,NA,2.95,7.5181,5.5463,2.498,0.71,NA,4.2028,0.3673,0.55,94.9528,2.82,9.13,3.61,1.75,17.54,1.85,NA,1.27,2.7301,1.3088,6.46,2.03,3.09,NA,2.1795,1.26,4.108,2.2624,0.7321,7.3279,NA,NA,0.36,2.99,10.8374,2.55,9.5161,0.17,730
10/07/2008,NA,5.31,7.74,3.52,2.26,NA,13.1175,0.3861,NA,6.59,13,NA,3.03,NA,7.18,2.65,0.7733,NA,1.09,21.6076,2,1.1397,NA,32.2826,NA,41.5903,2.649,NA,8.01,11.5,5.05,41.1037,0.17,5.01,0.9431,3.4582,44.29,4.7601,7.51,15.25,40.3315,8.5,33.36,4.0359,2.91,,0.31,12.3,NA,2.9,6.9178,5.5821,2.498,0.71,NA,4.0611,0.3673,0.54,100.6337,2.84,9.24,3.66,1.7,17.8,1.85,NA,1.3,2.8311,1.2369,6.42,1.99,2.9379,NA,2.103,1.15,4.1474,2.2263,0.7046,7.6982,NA,NA,0.33,2.99,10.8571,2.64,9.4485,0.18,695
11/07/2008,NA,5.46,7.9,3.53,2.25,NA,12.7835,0.3762,NA,6.58,12.88,NA,3.26,NA,7.06,2.75,0.7346,NA,1.11,21.2147,2.1,1.1735,NA,33.5723,NA,43.7492,2.633,NA,8.08,11.55,5.02,39.1463,0.16,5.12,0.9431,3.1965,44.53,4.6566,7.37,15.25,40.1027,8.57,34.36,4.2407,2.98,,0.33,12.25,NA,2.9,6.6891,5.4211,2.498,0.72,NA,4.1555,0.3979,0.58,99.4164,2.81,9.9,3.6,1.64,18.29,1.85,NA,1.27,2.7301,1.1518,6.59,2.07,2.8523,NA,2.1413,1.15,4.0193,2.2418,0.7229,7.6982,NA,NA,0.32,2.99,10.8275,2.64,9.12,0.18,665
14/07/2008,NA,5.47,7.7,3.48,2.28,NA,12.6537,0.3713,NA,6.48,12.71,NA,3.21,NA,6.92,2.66,0.7056,NA,1.1,21.6076,2,1.1929,NA,33.1646,NA,42.7716,2.601,NA,8.26,11.4,4.95,39.1463,0.17,5.36,0.9222,2.8414,44.09,4.6084,7.24,15.25,39.9436,8.32,33.95,4.2612,2.93,,0.3,12.15,NA,2.86,6.6319,5.5463,2.498,0.7,NA,4.1555,0.3749,0.56,97.3875,2.75,9.38,3.54,1.62,18.61,1.75,NA,1.25,2.7451,1.0994,6.76,2.13,2.8714,NA,1.9883,1.26,3.7829,2.2057,0.6589,7.9207,NA,NA,0.31,2.99,10.6892,2.75,8.8205,0.18,650
15/07/2008,NA,5.35,7.68,3.49,2.14,NA,12.329,0.3614,NA,6.08,12.77,NA,3.4,NA,6.7,2.81,0.6669,NA,1.09,21.6076,2,1.2074,NA,32.7485,NA,44.1973,2.5584,NA,8.43,11.05,4.79,39.1463,0.16,5.41,0.9222,3.0283,41.97,4.4842,6.95,15.25,38.5412,7.85,33.8,4.0768,2.9,,0.31,12.37,NA,2.7,6.7177,5.6447,2.3,0.72,NA,4.0044,0.3443,0.62,96.9817,2.79,8.97,3.44,1.57,19.2,1.9,NA,1.21,2.7077,1.1616,6.84,2.06,2.8523,NA,1.9501,1.47,3.6647,2.1954,0.7183,7.9999,NA,NA,0.28,2.99,10.8374,2.75,8.608,0.17,640
16/07/2008,NA,5.29,7.8,3.51,2.03,NA,12.1342,0.3564,NA,6.3,12.76,NA,3.24,NA,6.77,2.81,0.6669,NA,1.1,18.8575,1.97,1.1591,NA,32.6903,NA,44.2787,2.6436,NA,8.36,10.8,4.84,35.2317,0.15,5.33,0.8174,2.804,41.41,4.3807,7.09,15.25,39.8043,7.81,33.77,3.9949,2.85,,0.31,12.63,NA,2.86,6.5176,5.5016,2.3,0.73,NA,4.0044,0.3443,0.63,100.6337,2.8,8.82,3.58,1.66,19.38,1.8,NA,1.21,2.6179,1.1191,6.69,2.02,2.8619,NA,1.9118,1.15,3.4972,2.2109,0.6589,8.0159,NA,NA,0.27,2.99,11.0448,2.61,8.3375,0.17,600
17/07/2008,NA,5.26,7.85,3.43,1.93,NA,12.3754,0.3663,NA,6.61,12.5,NA,3.17,NA,6.96,2.9,0.6669,NA,1.1,21.6076,1.96,1.1591,NA,31.2426,NA,42.5679,2.7342,NA,8.22,11.34,5.02,35.2317,0.15,5.1,0.7335,3.0096,41.99,4.4566,7.22,15.25,41.3659,7.92,35,4.0973,2.86,,0.31,12.8,NA,3.09,6.9178,5.4569,2.3,0.74,NA,4.0044,0.3443,0.65,103.88,2.8,8.82,3.66,1.68,19.2,1.6,NA,1.2,2.7451,1.1518,6.65,2.09,2.9569,NA,2.0265,1.15,3.3987,2.1645,0.6589,7.6132,NA,NA,0.27,2.99,11.6573,2.41,8.55,0.17,675
