Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.419999987,0.430000007,36701316
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,6.309999943,6.349999905,764774912
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.275000006,0.215000004,139891920
ACN AT Equity,Acer Energy Ltd,N/A,--,0.180000007,0.165000007,31292744
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,2.569999933,2.460000038,2171642112
1255121D AT Equity,ACN 086 760 303 Pty Ltd,N/A,--,0.959999979,1.110000014,432957920
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.465000004,0.474999994,75715096
ABC AT Equity,Adbri Ltd,Construction Materials,151020,1.975000024,2.099999905,1160225920
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.011,0.011,12468037
AED AT Equity,AED Oil Ltd,N/A,--,1.049999952,1.019999981,157887632
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,15.30000019,15.26000023,6808055296
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,3.410000086,2.539999962,895135936
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.709999979,0.75999999,806452864
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,4.829999924,4.679999828,317078880
1878181D AT Equity,Albidon Ltd,N/A,--,0.239999995,0.144999996,23943982
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.109999895,1.940000057,178390176
ALS AT Equity,Alesco Corp Ltd,N/A,--,5.400000095,2.779999971,256079968
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.414999992,0.400000006,109540512
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.270000011,0.419999987,172617600
ALQ AT Equity,ALS Ltd,Professional Services,202020,20,17.61000061,933916416
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.269999981,1.389999986,2029201664
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,5.929999828,5.800000191,4843666432
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.369999886,5.420000076,10801470464
1850998D AT Equity,Andean Resources Ltd,N/A,--,0.665000021,1.100000024,443161952
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,3,--,--
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,5.599999905,7.599999905,13584423936
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,12.76000023,12.52999973,1706109696
2079925D AT Equity,Anvil Mining Ltd,N/A,--,0.949999988,1,71244600
APA AT Equity,APA Group,Gas Utilities,551020,2.700000048,3,1469824000
HDF AT Equity,APA Sub Group,N/A,--,2.180000067,2.180000067,463966144
AXM AT Equity,Apex Minerals NL,N/A,--,0.340000004,0.430000007,167852096
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.086000003,0.064000003,34874276
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.294999987,0.239999995,34479360
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,3.299999952,3.75,1226608512
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,3.849999905,3.299999952,816570816
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,2.900000095,2.849999905,189710544
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.110000014,0.899999976,212968528
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,3.930000067,3.880000114,1766679296
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,2.089999914,2.680000067,1885455232
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.5,0.449999988,60341712
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,0.569999993,0.439999998,129252952
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.430000007,0.340000004,176100560
ASX AT Equity,ASX Ltd,Capital Markets,402030,30.75,33.29999924,5700577280
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.639999986,0.855000019,255508880
AUB AT Equity,AUB Group Ltd,Insurance,403010,3.5,3.75,188393248
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.424999952,1.350000024,1652531840
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,2.329999924,2.190000057,200709344
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.029999971,0.949999988,2014402176
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,2.049999952,1.950000048,366735712
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,0.75999999,0.74000001,942963584
AEO AT Equity,Austereo Group Ltd,N/A,--,1.110000014,1.25,431227616
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,0.400000006,0.370000005,163707536
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,14.80000019,15.28999996,32997380096
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.370000005,1.875,495495936
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.504999995,0.36500001,473937792
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.400000006,0.419999987,108085528
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.449999988,0.425000012,54232932
AUW AT Equity,Australian Wealth Management Ltd,N/A,--,0.855000019,1.100000024,678166912
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,6.665384293,7.099999905,219125376
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,0.50999999,0.5,95394952
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,0.699999988,0.504999995,177450192
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.400000006,0.370000005,101597824
AVO AT Equity,Avoca Resources Ltd,N/A,--,1.549999952,1.649999976,367712896
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,2.480000019,2.569999933,1338512640
BNB AT Equity,Babcock & Brown Ltd,N/A,--,0.25,0.155000001,57743424
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,9.75,9.93999958,1569795328
BMN AT Equity,Bannerman Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.579999983,0.855000019,129340120
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.86500001,0.959999979,992531968
BEC AT Equity,Becton Property Group,N/A,--,0.079999998,0.093000002,17162528
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.625,0.519999981,125949456
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,11.10000038,11,2996881664
PAG AT Equity,Bengerang Ltd,N/A,--,1.139999986,1.269999981,190500000
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,31,30.44000053,1.61295E+11
BBG AT Equity,Billabong International Ltd,"Textiles, Apparel & Luxury Goods",252030,10.60000038,7.849999905,1647551744
BTA AT Equity,Biota Holdings Ltd/Old,N/A,--,0.36500001,0.335000008,58478940
BKL AT Equity,Blackmores Ltd,Personal Products,303020,13.64999962,13.18999958,214949520
1851985D AT Equity,Blackthorn Resources Ltd,Metals & Mining,151040,0.149999991,0.063000001,6733755
BLV AT Equity,Blossomvale Holdings Ltd,Energy Equipment & Services,101010,0.270000011,0.335000008,--
BSL AT Equity,BlueScope Steel Ltd,Metals & Mining,151040,4,3.5,3044617216
1923730D AT Equity,Boart Longyear Ltd,Metals & Mining,151040,0.270000011,0.200000003,300568992
BOL AT Equity,Boom Logistics Ltd,Trading Companies & Distributors,201070,0.574999988,0.660000026,113097080
BLD AT Equity,Boral Ltd,Construction Materials,151020,3.99000001,4.619999886,2706197504
BOC AT Equity,Bougainville Copper Ltd,Metals & Mining,151040,0.550000012,0.680000007,272722496
BKN AT Equity,Bradken Ltd,Machinery,201060,3.369999886,2.74000001,338576064
BXB AT Equity,Brambles Ltd,Commercial Services & Supplies,202010,7.25,7.420000076,10275156992
BVA AT Equity,Bravura Solutions Ltd,Software,451030,0.280000001,0.180000007,25561566
BRG AT Equity,Breville Group Ltd,Household Durables,252010,0.589999974,0.660000026,85480104
BKW AT Equity,Brickworks Ltd,Construction Materials,151020,9.25,9.699999809,1288859392
BRS AT Equity,Broadspectrum Pty Ltd,Commercial Services & Supplies,202010,2.375,1.820000052,657974464
BRM AT Equity,Brockman Mining Australia Pty Ltd,N/A,--,0.479999989,0.654999971,86989960
BAO AT Equity,Brookfield Australian Opportunities Fund,N/A,--,0.219999999,0.096000001,--
BPA AT Equity,Brookfield Prime Property Fund,Equity Real Estate Investment Trusts (REITs),601010,0.059999999,0.071999997,20287072
BWP AT Equity,BWP Trust,Equity Real Estate Investment Trusts (REITs),601010,1.779999971,1.649999976,504114592
CNX AT Equity,Carbon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.270000011,0.294999987,144932496
CDD AT Equity,Cardno Ltd,Commercial Services & Supplies,202010,3.5,3.25,251161312
1907708D AT Equity,Cardtronics Pty Ltd,N/A,--,1,1.075000048,137554416
CVN AT Equity,Carnarvon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.280000001,0.324999988,218944256
2076150D AT Equity,CBH Resources Ltd,N/A,--,0.039000001,0.037,32688994
CEG AT Equity,CEC Group Ltd,N/A,--,0.155000001,0.180000007,14339285
CWP AT Equity,Cedar Woods Properties Ltd,Real Estate Management & Development,601020,1.100000024,0.99000001,57581568
1771993D AT Equity,Cellestis Pty Ltd,N/A,--,1.879999995,1.75,168003152
CNT AT Equity,Centamin PLC,Metals & Mining,151040,0.810000002,0.930000007,817952832
CEY AT Equity,Centennial Coal Co Pty Ltd,N/A,--,2.609999895,3.319999933,1232998784
AAH AT Equity,Cephalon Australia Pty Ltd,N/A,--,0.800000012,0.824999988,190138816
CFU AT Equity,Ceramic Fuel Cells Ltd,Electrical Equipment,201040,0.180000007,0.100000001,34474568
CJO AT Equity,Cerro Resources NL,N/A,--,0.064999998,0.100000001,39428648
CGX AT Equity,CGA Mining Ltd,N/A,--,1.059999943,1.350000024,315733952
CDI AT Equity,Challenger Diversified Properties Group,Equity Real Estate Investment Trusts (REITs),601010,0.555000007,0.595000029,322421472
CIF AT Equity,Challenger Infrastructure Fund,N/A,--,1.649999976,2,700547776
CKT AT Equity,Challenger Kenedix Japan Trust,N/A,--,0.300000012,0.319999993,48031136
CGF AT Equity,Challenger Ltd,Diversified Financial Services,402010,1.350000024,1.950000048,1189684480
CHC AT Equity,Charter Hall Group,Equity Real Estate Investment Trusts (REITs),601010,0.300000012,0.280000001,139098736
CQO AT Equity,Charter Hall Office REIT,N/A,--,0.29285714,0.239999995,905777856
CQR AT Equity,Charter Hall Retail REIT,Equity Real Estate Investment Trusts (REITs),601010,0.289999992,0.209999993,291077120
CQE AT Equity,Charter Hall Social Infrastructure REIT,Equity Real Estate Investment Trusts (REITs),601010,0.215000004,0.25,33743352
CIM AT Equity,CIMIC Group Ltd,Construction & Engineering,201030,24.32999992,27.64999962,8238920192
CTO AT Equity,Citigold Corp Ltd,Metals & Mining,151040,0.219999999,0.310000002,228217936
CCX AT Equity,City Chic Collective Ltd,Specialty Retail,255040,0.319999993,0.25,47630148
CIY AT Equity,City Pacific Ltd,N/A,--,0.071000002,0.066,10726558
1804154D AT Equity,Civeo Pty Ltd,N/A,--,1.299999952,0.829999983,136731728
CWY AT Equity,Cleanaway Waste Management Ltd,Commercial Services & Supplies,202010,2.710000038,3.25999999,1013798400
CPR AT Equity,Clivpee Ltd,N/A,--,0.064999998,0.119999997,15240000
CLO AT Equity,Clough Ltd,N/A,--,0.395000011,0.25999999,173702800
CMV AT Equity,CMA Corp Ltd,Commercial Services & Supplies,202010,0.185000002,0.144999996,70766280
