Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1.00999999,0.980000019,83644864
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,8.149999619,6.920000076,833424000
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.139999986,1.264999986,819625024
ACN AT Equity,Acer Energy Ltd,N/A,--,0.964999974,0.519999981,98619560
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,6.519999981,6.840000153,6010396160
1255121D AT Equity,ACN 086 760 303 Pty Ltd,N/A,--,1.095000029,1.120000005,436104384
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,1.25999999,1.149999976,183205584
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.519999981,3.619999886,1969021440
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.180000007,0.129999995,147349520
AED AT Equity,AED Oil Ltd,N/A,--,2.220000029,1.980000019,305963040
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,13.19999981,15.35000038,6805485568
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,2.809999943,2.940000057,1034311424
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.949999988,0.949999988,1004363584
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,5.699999809,6.199999809,402171680
1878181D AT Equity,Albidon Ltd,N/A,--,2.630000114,2.190000057,361636672
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.019999981,3,273300288
ALS AT Equity,Alesco Corp Ltd,N/A,--,6.75,6.909999847,625893312
1278636D AT Equity,Allco Finance Group Ltd,N/A,--,0.444999993,0.38499999,143684880
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.944999993,0.899999976,245566160
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.425000012,0.310000002,127408232
ALQ AT Equity,ALS Ltd,Professional Services,202020,25.76000023,35.04999924,1842862336
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,4.082668304,4.349999905,5015158784
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,5.349999905,5.5,4623584256
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,6.46999979,6.960000038,13048980480
1850998D AT Equity,Andean Resources Ltd,N/A,--,1.279999971,1.279999971,513049344
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,3,--,4769229824
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,7.199999809,6.099999905,10818576384
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,9.760000229,12.32999992,1670218112
2079925D AT Equity,Anvil Mining Ltd,N/A,--,9.399999619,7.699999809,548254592
APA AT Equity,APA Group,Gas Utilities,551020,2.900000095,3.640000105,1704397568
HDF AT Equity,APA Sub Group,N/A,--,2.400000095,2.450000048,518665248
AXM AT Equity,Apex Minerals NL,N/A,--,0.670000017,0.449999988,175659168
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.254999995,0.25999999,140896944
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.514999986,0.5,66832000
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,11.26000023,10.69999981,2803964928
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,12.46000004,16.20000076,4008620288
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,3.650000095,3.900000095,259603904
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.705000043,1.899999976,449601344
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,6.079999924,5.900000095,2729437952
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,3.289999962,3.5,2452775936
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.879999995,0.915000021,118087704
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.245000005,1.325000048,350595648
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.75999999,0.819999993,424713120
ASX AT Equity,ASX Ltd,Capital Markets,402030,32.54999924,35.36000061,6051810816
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,2.519999981,2.279999971,663447616
AUB AT Equity,AUB Group Ltd,Insurance,403010,3.950000048,3.849999905,193000128
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.485000014,1.715000033,2096236416
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,13.56999969,15.76000023,1434358656
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.13499999,1.149999976,2406582016
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,2.480000019,2.380000114,456938560
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,1.254999995,1.179999948,1503581440
AEO AT Equity,Austereo Group Ltd,N/A,--,1.470000029,1.764999986,612926976
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,1.299999952,1.350000024,597311296
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,15.52999973,16.61000061,32863473664
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,2.849999905,3.140000105,806721280
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.75,0.699999988,623964224
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.779999971,0.689999998,177569088
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,1.24000001,0.959999979,122502624
AUW AT Equity,Australian Wealth Management Ltd,N/A,--,1.460000038,1.445000052,890864704
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,8.699999809,9.300000191,272538368
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,1.899999976,1.899999976,362500800
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,4.309999943,4.5,1194130432
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.600000024,0.629999995,167973440
AVO AT Equity,Avoca Resources Ltd,N/A,--,1.75999999,1.850000024,412182400
