Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1.00999999,1,85351896
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,8.199999809,7.699999809,927364864
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.149999976,1.190000057,768268992
ACN AT Equity,Acer Energy Ltd,N/A,--,0.879999995,0.954999983,181118608
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,7.440000057,6.78000021,5957673472
1255121D AT Equity,ACN 086 760 303 Pty Ltd,N/A,--,1.200000048,1.120000005,435166240
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,1.220000029,1.225000024,195153776
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.75,3.5,1903750016
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.219999999,0.180000007,204022416
AED AT Equity,AED Oil Ltd,N/A,--,2.839999914,2.319999933,358502176
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,14.30000019,13.35999966,5923210752
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,2.410000086,2.819999933,992094656
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.860000014,0.970000029,1025508032
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,6.269999981,5.820000172,376886336
1878181D AT Equity,Albidon Ltd,N/A,--,4.239999771,2.450000048,404570720
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.950000048,3,273300288
ALS AT Equity,Alesco Corp Ltd,N/A,--,6.900000095,6.539999962,592379520
1278636D AT Equity,Allco Finance Group Ltd,N/A,--,0.400000006,0.465000004,173541488
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,1.350000024,0.970000029,264665744
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.589999974,0.439999998,165882512
ALQ AT Equity,ALS Ltd,Professional Services,202020,27.29999924,26.40999985,1388587520
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,4.739999771,4.650000095,5361031680
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,5.050000191,5.329999924,4480531968
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,6.690000057,6.559999943,12299038720
1850998D AT Equity,Andean Resources Ltd,N/A,--,1.554999948,1.379999995,553131328
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,3,2.5,4769229824
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,6.630000114,6.989999771,12396305408
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,9.260000229,10.19999981,1385685376
2079925D AT Equity,Anvil Mining Ltd,N/A,--,9.699999809,9.25,658617536
APA AT Equity,APA Group,Gas Utilities,551020,2.609999895,2.99000001,1400040832
HDF AT Equity,APA Sub Group,N/A,--,2.049999952,2.369999886,501729248
AXM AT Equity,Apex Minerals NL,N/A,--,0.600000024,0.620000005,241644192
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.254999995,0.25999999,140896944
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.694999993,0.514999986,68836960
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,16.71999931,10.81000042,2832790784
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,16.55999947,13.56000042,3355363584
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,3.849999905,3.599999905,239634368
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.49000001,1.879999995,435768416
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,6.420000076,4.849999905,2243690496
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,3.680000067,3.269999981,2291102976
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.899999976,0.879999995,113570688
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.24000001,1.284999967,340011648
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.810000002,0.75999999,393636544
ASX AT Equity,ASX Ltd,Capital Markets,402030,31.39999962,34.59999847,5921738240
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,3.680000067,2.680000067,770268928
AUB AT Equity,AUB Group Ltd,Insurance,403010,4.210000038,3.910000086,196007920
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.50999999,1.575000048,1925115136
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,15.28999996,14.02000046,1275996672
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.059999943,1.139999986,2385655040
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,2.569999933,2.630000114,504936320
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,1.120000005,1.144999981,1511963648
AEO AT Equity,Austereo Group Ltd,N/A,--,1.534999967,1.419999957,493119712
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,1.36500001,1.350000024,597311296
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,18.71999931,16.25,32151029760
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,2.730000019,2.839999914,729594304
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.639999986,0.769999981,686360704
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.730000019,0.779999971,200730272
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,1.154999971,1.205000043,153766320
AUW AT Equity,Australian Wealth Management Ltd,N/A,--,1.294999957,1.50999999,930938240
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,9.5,8.680000305,254369136
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,2.25,1.899999976,362500800
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,4.900000095,4.550000191,1207398528
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.600000024,0.629999995,167973440
AVO AT Equity,Avoca Resources Ltd,N/A,--,2.24000001,1.720000029,382702240
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,4.159999847,3.470000029,1565308928
1624325D AT Equity,Awe Perth Pty Ltd,N/A,--,1.460000038,1.320000052,424137248
BNB AT Equity,Babcock & Brown Ltd,N/A,--,7.5,6.559999943,2186449408
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,13,14.57999992,2183782144
BMN AT Equity,Bannerman Energy Ltd,"Oil, Gas & Consumable Fuels",101020,2.5,1.690000057,254809744
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,1.340000033,1.159999967,1193599872
BEC AT Equity,Becton Property Group,N/A,--,1.429999948,1.159999967,193048832
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.949999988,1.029999971,234459408
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,10.93000031,10.80000019,2910231808
PAG AT Equity,Bengerang Ltd,N/A,--,1.799999952,1.950000048,292500000
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,43.70000076,39.70999908,2.12003E+11
BBG AT Equity,Billabong International Ltd,"Textiles, Apparel & Luxury Goods",252030,10.80000019,10.19999981,2115813504
BTA AT Equity,Biota Holdings Ltd/Old,N/A,--,0.769999981,0.725000024,131365288
BKL AT Equity,Blackmores Ltd,Personal Products,303020,16.39999962,17.89999962,289715072
1851985D AT Equity,Blackthorn Resources Ltd,Metals & Mining,151040,0.067000002,0.028999999,30996650
BLV AT Equity,Blossomvale Holdings Ltd,Energy Equipment & Services,101010,0.49000001,0.519999981,--
BSL AT Equity,BlueScope Steel Ltd,Metals & Mining,151040,11.34000015,11.61999989,8830744576
1923730D AT Equity,Boart Longyear Ltd,Metals & Mining,151040,2.230000019,2.039999962,3065804800
BOL AT Equity,Boom Logistics Ltd,Trading Companies & Distributors,201070,0.704999983,0.845000029,144349408
BLD AT Equity,Boral Ltd,Construction Materials,151020,5.650000095,5.590000153,3274260224
BOC AT Equity,Bougainville Copper Ltd,Metals & Mining,151040,1.304999948,1.149999976,461221888
BKN AT Equity,Bradken Ltd,Machinery,201060,8.600000381,9,954646208
BXB AT Equity,Brambles Ltd,Commercial Services & Supplies,202010,8.729999542,8.25,11414794240
BVA AT Equity,Bravura Solutions Ltd,Software,451030,1.389999986,0.980000019,139168528
BRG AT Equity,Breville Group Ltd,Household Durables,252010,1.049999952,1.110000014,143761984
BKW AT Equity,Brickworks Ltd,Construction Materials,151020,12,11.89999962,1579037184
BRS AT Equity,Broadspectrum Pty Ltd,Commercial Services & Supplies,202010,7.420000076,7.5,1485476992
BAO AT Equity,Brookfield Australian Opportunities Fund,N/A,--,0.730000019,0.569999993,--
BPA AT Equity,Brookfield Prime Property Fund,Equity Real Estate Investment Trusts (REITs),601010,0.444999993,0.349999994,98617712
BWP AT Equity,BWP Trust,Equity Real Estate Investment Trusts (REITs),601010,1.710000038,1.860000014,560670016
CDD AT Equity,Cardno Ltd,Commercial Services & Supplies,202010,4.539999962,4.099999905,305740288
1907708D AT Equity,Cardtronics Pty Ltd,N/A,--,0.082999997,0.079999998,99162160
CVN AT Equity,Carnarvon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.529999971,0.439999998,296262816
2076150D AT Equity,CBH Resources Ltd,N/A,--,0.189999998,0.140000001,123128088
CEG AT Equity,CEC Group Ltd,N/A,--,0.25999999,0.310000002,24695436
CWP AT Equity,Cedar Woods Properties Ltd,Real Estate Management & Development,601020,2.75,2.200000048,121303816
1771993D AT Equity,Cellestis Pty Ltd,N/A,--,2.450000048,2.349999905,225604224
CNT AT Equity,Centamin PLC,Metals & Mining,151040,1.210000038,1.080000043,947612736
CEY AT Equity,Centennial Coal Co Pty Ltd,N/A,--,5.599999905,5.179999828,1771647616
AAH AT Equity,Cephalon Australia Pty Ltd,N/A,--,1.105000019,1.00999999,237335856
CFU AT Equity,Ceramic Fuel Cells Ltd,Electrical Equipment,201040,0.38499999,0.370000005,127555904
CJO AT Equity,Cerro Resources NL,N/A,--,0.234999999,0.239999995,94628760
CGX AT Equity,CGA Mining Ltd,N/A,--,1.769999981,1.649999976,384783296
CDI AT Equity,Challenger Diversified Properties Group,Equity Real Estate Investment Trusts (REITs),601010,0.665000021,0.5,269130304
CIF AT Equity,Challenger Infrastructure Fund,N/A,--,2.75,2.849999905,--
CKT AT Equity,Challenger Kenedix Japan Trust,N/A,--,0.86500001,0.879999995,132085632
CGF AT Equity,Challenger Ltd,Diversified Financial Services,402010,1.889999986,2.339999914,1404885632
