Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1.210000038,1.00999999,86205416
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,8.979999542,8.199999809,987583360
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.320000052,1.149999976,742444800
ACN AT Equity,Acer Energy Ltd,N/A,--,1.120000005,0.879999995,166894640
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,7.21999979,7.440000057,6537624064
1255121D AT Equity,ACN 086 760 303 Pty Ltd,N/A,--,1.399999976,1.200000048,465879360
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.939999998,1.220000029,194357232
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.650000095,3.75,2039732224
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.174999997,0.219999999,249360736
AED AT Equity,AED Oil Ltd,N/A,--,2.609999895,2.839999914,438856096
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,14.40999985,14.30000019,6339963392
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,3.109999895,2.410000086,836058944
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.939999998,0.860000014,909213376
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,6.5,6.269999981,371542016
1878181D AT Equity,Albidon Ltd,N/A,--,5.099999905,4.239999771,699518976
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3,2.950000048,268745280
ALS AT Equity,Alesco Corp Ltd,N/A,--,7.840000153,6.900000095,624987520
1278636D AT Equity,Allco Finance Group Ltd,N/A,--,0.439999998,0.400000006,149282992
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,1.350000024,1.350000024,368349248
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.689999998,0.589999974,222079360
ALQ AT Equity,ALS Ltd,Professional Services,202020,30.37000084,27.29999924,1423329152
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,5.679999828,4.739999771,5464793600
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,6.090000153,5.050000191,4244803328
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,7.340000153,6.690000057,12542767104
1850998D AT Equity,Andean Resources Ltd,N/A,--,1.870000005,1.554999948,613322624
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,3,2.5,4769229824
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,7.281951427,6.630000114,11644136448
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,11,9.260000229,1261967616
2079925D AT Equity,Anvil Mining Ltd,N/A,--,10.69999981,9.699999809,690173440
APA AT Equity,APA Group,Gas Utilities,551020,2.880000114,2.609999895,1222109184
HDF AT Equity,APA Sub Group,N/A,--,2.670000076,2.049999952,433985216
AXM AT Equity,Apex Minerals NL,N/A,--,0.779999971,0.600000024,233849216
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.419999987,0.254999995,138187392
