Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.5,0.419999987,35847796
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,7,6.309999943,759957440
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.344999999,0.275000006,178931520
ACN AT Equity,Acer Energy Ltd,N/A,--,0.245000005,0.180000007,34137540
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,2.920000076,2.569999933,2268748032
1255121D AT Equity,ACN 086 760 303 Pty Ltd,N/A,--,0.995000005,0.959999979,374347008
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.670000017,0.465000004,74121096
ABC AT Equity,Adbri Ltd,Construction Materials,151020,2.150000095,1.975000024,1091164800
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.029999999,0.011,12468037
AED AT Equity,AED Oil Ltd,N/A,--,1.200000048,1.049999952,162531376
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,14.38000011,15.30000019,6825900544
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,2.50999999,3.410000086,1199660544
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.730000019,0.709999979,753396800
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,3.650000095,4.829999924,327241664
1878181D AT Equity,Albidon Ltd,N/A,--,0.270000011,0.239999995,39631416
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.5,2.109999895,194015552
ALS AT Equity,Alesco Corp Ltd,N/A,--,5.199999809,5.400000095,497421536
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.379999995,0.414999992,113648288
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.194999993,0.270000011,110968456
ALQ AT Equity,ALS Ltd,Professional Services,202020,20,20,1051561984
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,2.130000114,1.269999981,1854018816
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,5.340000153,5.929999828,4951996928
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.199999809,5.369999886,10588828672
1850998D AT Equity,Andean Resources Ltd,N/A,--,0.550000012,0.665000021,267376416
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,3,--,--
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,5,5.599999905,9931404288
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,12.68000031,12.76000023,1737426944
2079925D AT Equity,Anvil Mining Ltd,N/A,--,3.400000095,0.949999988,67682368
APA AT Equity,APA Group,Gas Utilities,551020,2.690000057,2.700000048,1291238272
HDF AT Equity,APA Sub Group,N/A,--,2.289999962,2.180000067,462655488
AXM AT Equity,Apex Minerals NL,N/A,--,0.280000001,0.340000004,132720256
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.086000003,0.086000003,46862312
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.150000006,0.294999987,42380880
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,2.130000114,3.299999952,1079415552
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,3.190000057,3.849999905,952665920
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,3.150000095,2.900000095,193038800
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.075000048,1.110000014,262661184
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,5.5,3.930000067,1789445760
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,2.220000029,2.089999914,1470283904
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.600000024,0.5,65575448
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,0.600000024,0.569999993,167441328
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.400000006,0.430000007,222715408
ASX AT Equity,ASX Ltd,Capital Markets,402030,29.70000076,30.75,5262816256
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.589999974,0.639999986,191258112
AUB AT Equity,AUB Group Ltd,Insurance,403010,3.799999952,3.5,175454656
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.549999952,1.424999952,1744339200
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,3.730000019,2.329999924,213377440
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1,1.029999971,2155460352
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.389999986,2.049999952,385542656
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,0.899999976,0.75999999,968408384
AEO AT Equity,Austereo Group Ltd,N/A,--,1.205000043,1.110000014,383075648
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,0.270000011,0.400000006,176981120
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,16.93000031,14.80000019,30270539776
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.99000001,1.370000005,362042368
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.605000019,0.504999995,450145632
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.514999986,0.400000006,102938600
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.584999979,0.449999988,57423108
AUW AT Equity,Australian Wealth Management Ltd,N/A,--,0.810000002,0.855000019,527120640
