Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.63499999,0.514999986,43956228
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,6.820000172,6.849999905,824993408
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.899999976,0.330000013,213815232
ACN AT Equity,Acer Energy Ltd,N/A,--,0.354999989,0.245000005,46464984
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,4.599999905,3.450000048,3045595648
1255121D AT Equity,ACN 086 760 303 Pty Ltd,N/A,--,1.019999981,1.129999995,440431744
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.939999998,0.660000026,105204136
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.089999914,2.269999981,1254148992
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.052000001,0.026000001,29469906
AED AT Equity,AED Oil Ltd,N/A,--,1.450000048,1.289999962,199681408
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,13.69999981,13.97000027,6193656832
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,2.779999971,2.619999886,921733312
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.819999993,0.764999986,811758464
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,5.670000076,4.099999905,277782784
1878181D AT Equity,Albidon Ltd,N/A,--,1.100000024,0.444999993,73483256
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.849999905,2.690000057,247346848
ALS AT Equity,Alesco Corp Ltd,N/A,--,5.920000076,5.599999905,515575200
1278636D AT Equity,Allco Finance Group Ltd,N/A,--,0.200000003,0.140000001,52249048
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.610000014,0.569999993,156095232
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.319999993,0.215000004,88363776
ALQ AT Equity,ALS Ltd,Professional Services,202020,32.09999847,24.05999947,1265028992
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,3.069999933,2.119999886,3094897408
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,5.400000095,5.800000191,4877075456
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,6.980000019,5.409999847,10208362496
1850998D AT Equity,Andean Resources Ltd,N/A,--,0.899999976,0.850000024,341759328
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,3,--,--
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,6.389999866,5.349999905,9487797248
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,12.69999981,12.60000038,1715603328
2079925D AT Equity,Anvil Mining Ltd,N/A,--,6.349999905,3.029999971,215871136
APA AT Equity,APA Group,Gas Utilities,551020,3.049999952,2.930000067,1401232640
HDF AT Equity,APA Sub Group,N/A,--,2.390000105,2.279999971,483878240
AXM AT Equity,Apex Minerals NL,N/A,--,0.419999987,0.25,97588424
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.189999998,0.125,68113824
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.49000001,0.219999999,29406080
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,5.869999886,3.019999981,987828736
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,9.199999809,3.670000076,908125696
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,3.869999886,3.450000048,229649600
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.480000019,1.129999995,267394496
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,6.460000038,3.799999952,1730252928
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,2.900000095,2.480000019,1743096576
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.699999988,0.579999983,76067520
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.139999986,0.689999998,200622128
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.584999979,0.439999998,227894832
ASX AT Equity,ASX Ltd,Capital Markets,402030,30.14999962,29.89999962,5117340160
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,1.549999952,0.814999998,237555072
AUB AT Equity,AUB Group Ltd,Insurance,403010,4.300000191,3.799999952,190493632
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.620000005,1.570000052,1921833344
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,11.26000023,4.349999905,398365600
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.039999962,1.100000024,2301947904
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,2.380000114,1.75999999,331002496
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,1.129999995,0.899999976,1146799360
AEO AT Equity,Austereo Group Ltd,N/A,--,1.595000029,1.399999976,483802080
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,0.814999998,0.409999996,181405648
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,18.75,17.36000061,35428716544
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,2.700000048,1.899999976,501946752
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.654999971,0.639999986,570481600
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.63499999,0.560000002,144114032
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.709999979,0.600000024,76564144
AUW AT Equity,Australian Wealth Management Ltd,N/A,--,1.205000043,0.795000017,490129728
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,8.600000381,7.78000021,229290608
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,1.690000057,0.850000024,162171424
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,3.849999905,1.149999976,404094496
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.569999993,0.389999986,103983560
AVO AT Equity,Avoca Resources Ltd,N/A,--,1.985000014,1.480000019,329827328
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,2.559999943,2.5,1302055040
BNB AT Equity,Babcock & Brown Ltd,N/A,--,1.945000052,1.284999967,462206176
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,13.14999962,13.31999969,2064369536
BMN AT Equity,Bannerman Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.670000017,0.280000001,42217000
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.904999971,0.970000029,1002786624
BEC AT Equity,Becton Property Group,N/A,--,0.519999981,0.194999993,32452174
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.949999988,0.620000005,150170512
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,11.60000038,13.18000031,3589649408
PAG AT Equity,Bengerang Ltd,N/A,--,1.360000014,1.220000029,183000000
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,31,27.98999977,1.50482E+11
BBG AT Equity,Billabong International Ltd,"Textiles, Apparel & Luxury Goods",252030,13.69999981,11.92000008,2501760000
BTA AT Equity,Biota Holdings Ltd/Old,N/A,--,0.685000002,0.340000004,59351760
BKL AT Equity,Blackmores Ltd,Personal Products,303020,17.37000084,15.5,252594208
1851985D AT Equity,Blackthorn Resources Ltd,Metals & Mining,151040,0.02,0.013,13895050
BLV AT Equity,Blossomvale Holdings Ltd,Energy Equipment & Services,101010,0.419999987,0.300000012,--
BSL AT Equity,BlueScope Steel Ltd,Metals & Mining,151040,7.320000172,4.409999847,3407796992
1923730D AT Equity,Boart Longyear Ltd,Metals & Mining,151040,1.120000005,0.435000002,653737536
BOL AT Equity,Boom Logistics Ltd,Trading Companies & Distributors,201070,1.184999943,0.88499999,151182512
BLD AT Equity,Boral Ltd,Construction Materials,151020,6.119999886,4.510000229,2641764096
BOC AT Equity,Bougainville Copper Ltd,Metals & Mining,151040,0.980000019,0.649999976,260690624
BKN AT Equity,Bradken Ltd,Machinery,201060,8.699999809,4.949999809,611413568
BXB AT Equity,Brambles Ltd,Commercial Services & Supplies,202010,7.699999809,7.940000057,10990754816
BVA AT Equity,Bravura Solutions Ltd,Software,451030,0.400000006,0.289999992,41182524
BRG AT Equity,Breville Group Ltd,Household Durables,252010,0.920000017,0.699999988,90660712
BKW AT Equity,Brickworks Ltd,Construction Materials,151020,11.93000031,10.60000038,1408444288
BRS AT Equity,Broadspectrum Pty Ltd,Commercial Services & Supplies,202010,7.590000153,4.070000172,806118848
BRM AT Equity,Brockman Mining Australia Pty Ltd,N/A,--,0.879999995,0.61500001,81677592
BAO AT Equity,Brookfield Australian Opportunities Fund,N/A,--,0.460000008,0.289999992,--
BPA AT Equity,Brookfield Prime Property Fund,Equity Real Estate Investment Trusts (REITs),601010,0.330000013,0.115000002,32402962
BWP AT Equity,BWP Trust,Equity Real Estate Investment Trusts (REITs),601010,1.794999957,1.625,496476480
CNX AT Equity,Carbon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.540000021,0.289999992,142476016
CDD AT Equity,Cardno Ltd,Commercial Services & Supplies,202010,4.5,3.809999943,287363168
1907708D AT Equity,Cardtronics Pty Ltd,N/A,--,0.115000002,0.100000001,127957408
CVN AT Equity,Carnarvon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.314999998,0.280000001,188530880
2076150D AT Equity,CBH Resources Ltd,N/A,--,0.07,0.052999999,46612776
CEG AT Equity,CEC Group Ltd,N/A,--,0.25,0.170000002,13542658
CWP AT Equity,Cedar Woods Properties Ltd,Real Estate Management & Development,601020,2.099999905,1.799999952,99248576
