Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.980000019,0.63499999,54198456
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,6.920000076,6.820000172,821380288
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,1.264999986,0.899999976,583132416
ACN AT Equity,Acer Energy Ltd,N/A,--,0.519999981,0.354999989,67326816
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,6.840000153,4.599999905,4042241792
1255121D AT Equity,ACN 086 760 303 Pty Ltd,N/A,--,1.120000005,1.019999981,397522144
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,1.149999976,0.939999998,149836192
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.619999886,3.089999914,1680739328
ADY AT Equity,Admiralty Resources NL,Metals & Mining,151040,0.129999995,0.052000001,58939812
AED AT Equity,AED Oil Ltd,N/A,--,1.980000019,1.450000048,224063856
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,15.35000038,13.69999981,6073951232
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,2.940000057,2.779999971,978022400
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.949999988,0.819999993,870120192
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,6.199999809,5.670000076,384153280
1878181D AT Equity,Albidon Ltd,N/A,--,2.190000057,1.100000024,181644000
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3,2.849999905,262058928
ALS AT Equity,Alesco Corp Ltd,N/A,--,6.909999847,5.920000076,545036672
1278636D AT Equity,Allco Finance Group Ltd,N/A,--,0.38499999,0.200000003,74641496
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.899999976,0.610000014,166439280
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.310000002,0.319999993,131518176
ALQ AT Equity,ALS Ltd,Professional Services,202020,35.04999924,32.09999847,1687756928
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,4.349999905,3.069999933,4198813440
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,5.5,5.400000095,4540117504
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,6.960000038,6.980000019,13086477312
1850998D AT Equity,Andean Resources Ltd,N/A,--,1.279999971,0.899999976,360737824
ATM AT Equity,Aneka Tambang Tbk,Metals & Mining,151040,3,--,--
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,6.099999905,6.389999866,11330467840
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,12.32999992,12.69999981,1728732800
2079925D AT Equity,Anvil Mining Ltd,N/A,--,7.75,6.349999905,452403200
APA AT Equity,APA Group,Gas Utilities,551020,3.640000105,3.049999952,1458620928
HDF AT Equity,APA Sub Group,N/A,--,2.450000048,2.390000105,507223232
AXM AT Equity,Apex Minerals NL,N/A,--,0.449999988,0.419999987,163948560
AEZ AT Equity,APN European Retail Property Group,N/A,--,0.25999999,0.189999998,103533008
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.5,0.49000001,65495360
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,10.69999981,5.869999886,1538249856
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,16.20000076,9.199999809,2276500480
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,3.900000095,3.869999886,257606944
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.899999976,1.480000019,350215808
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,5.900000095,6.460000038,2986642176
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,3.5,2.900000095,2036062464
ASZ AT Equity,ASG Group Ltd,IT Services,451020,0.915000021,0.699999988,90340320
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.325000048,1.139999986,302390016
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.819999993,0.584999979,302996544
ASX AT Equity,ASX Ltd,Capital Markets,402030,35.36000061,30.14999962,5160126976
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,2.279999971,1.549999952,451048640
AUB AT Equity,AUB Group Ltd,Insurance,403010,3.849999905,4.300000191,215558576
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.715000033,1.620000005,1983038208
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,15.76000023,11.26000023,1024801920
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.149999976,1.039999962,2176387072
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,2.380000114,2.380000114,456938560
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,1.179999948,1.129999995,1439870336
AEO AT Equity,Austereo Group Ltd,N/A,--,1.764999986,1.595000029,553883520
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,1.350000024,0.814999998,360599008
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,16.61000061,18.75,38261587968
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,3.140000105,2.700000048,693805248
1803385D AT Equity,Australian Gas Networks Ltd,Gas Utilities,551020,0.699999988,0.654999971,583852288
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.689999998,0.63499999,163415024
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.959999979,0.709999979,90600904
AUW AT Equity,Australian Wealth Management Ltd,N/A,--,1.445000052,1.205000043,742901056
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,9.300000191,8.600000381,252024720
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,1.899999976,1.690000057,322434944
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,4.5,3.849999905,1021644864
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.629999995,0.569999993,151975968
AVO AT Equity,Avoca Resources Ltd,N/A,--,1.850000024,1.985000014,442369728
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,3.5,2.559999943,1333304320
BNB AT Equity,Babcock & Brown Ltd,N/A,--,2.480000019,1.945000052,692677504
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,15.85999966,13.14999962,1969597696
BMN AT Equity,Bannerman Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.795000017,0.670000017,101019248
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,1.149999976,0.904999971,932594240
BEC AT Equity,Becton Property Group,N/A,--,0.75,0.519999981,86539128
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.870000005,0.949999988,216248976
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,11.56999969,11.60000038,3129580288
PAG AT Equity,Bengerang Ltd,N/A,--,1.674999952,1.360000014,204000000
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,41.40000153,31,1.66704E+11
BBG AT Equity,Billabong International Ltd,"Textiles, Apparel & Luxury Goods",252030,12.81000042,13.69999981,2841895168
BTA AT Equity,Biota Holdings Ltd/Old,N/A,--,0.75,0.685000002,124117544
BKL AT Equity,Blackmores Ltd,Personal Products,303020,18.25,17.37000084,281649344
1851985D AT Equity,Blackthorn Resources Ltd,Metals & Mining,151040,0.024,0.02,21377000
BLV AT Equity,Blossomvale Holdings Ltd,Energy Equipment & Services,101010,0.560000002,0.419999987,--
BSL AT Equity,BlueScope Steel Ltd,Metals & Mining,151040,9.229999542,7.320000172,5590667264
1923730D AT Equity,Boart Longyear Ltd,Metals & Mining,151040,1.965000033,1.120000005,1683186304
BOL AT Equity,Boom Logistics Ltd,Trading Companies & Distributors,201070,1.195000052,1.184999943,202430816
BLD AT Equity,Boral Ltd,Construction Materials,151020,6.449999809,6.119999886,3605618688
BOC AT Equity,Bougainville Copper Ltd,Metals & Mining,151040,1.129999995,0.980000019,393041248
BKN AT Equity,Bradken Ltd,Machinery,201060,11,8.699999809,1074605696
BXB AT Equity,Brambles Ltd,Commercial Services & Supplies,202010,7.699999809,7.699999809,10654553088
BVA AT Equity,Bravura Solutions Ltd,Software,451030,0.829999983,0.400000006,56803480
BRG AT Equity,Breville Group Ltd,Household Durables,252010,1.299999952,0.920000017,119154080
BKW AT Equity,Brickworks Ltd,Construction Materials,151020,11.89999962,11.93000031,1583017984
BRS AT Equity,Broadspectrum Pty Ltd,Commercial Services & Supplies,202010,8.449999809,7.590000153,1503302656
BRM AT Equity,Brockman Mining Australia Pty Ltd,N/A,--,1.725000024,0.879999995,116872008
BAO AT Equity,Brookfield Australian Opportunities Fund,N/A,--,0.560000002,0.460000008,--
BPA AT Equity,Brookfield Prime Property Fund,Equity Real Estate Investment Trusts (REITs),601010,0.340000004,0.330000013,92982416
BWP AT Equity,BWP Trust,Equity Real Estate Investment Trusts (REITs),601010,1.889999986,1.794999957,548415552
CNX AT Equity,Carbon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.49000001,0.540000021,265165168
CDD AT Equity,Cardno Ltd,Commercial Services & Supplies,202010,5.480000019,4.5,338392352
1907708D AT Equity,Cardtronics Pty Ltd,N/A,--,0.097999997,0.115000002,147151024
CVN AT Equity,Carnarvon Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.439999998,0.314999998,212097248
2076150D AT Equity,CBH Resources Ltd,N/A,--,0.104999997,0.07,61564044
CEG AT Equity,CEC Group Ltd,N/A,--,0.180000007,0.25,19915674
CWP AT Equity,Cedar Woods Properties Ltd,Real Estate Management & Development,601020,2.200000048,2.099999905,115790008
1771993D AT Equity,Cellestis Pty Ltd,N/A,--,2.210000038,2.150000095,206403872
CNT AT Equity,Centamin PLC,Metals & Mining,151040,1.090000033,0.814999998,715096640
