Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,5.739999771,6,722621952
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.400000006,0.409999996,743556224
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.550000012,0.529999971,124363544
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,3.900000095,3.529999971,4700488704
CIL AT Equity,ACN 066 441 067 Pty Ltd,N/A,--,1.649999976,1.63499999,142969792
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,2.339999914,1.970000029,316295712
ADU AT Equity,Adamus Resources Ltd,N/A,--,0.430000007,0.425000012,165791472
ABC AT Equity,Adbri Ltd,Construction Materials,151020,2.579999924,2.930000067,1860939136
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,15.02999973,15.05000019,6773651456
AWB AT Equity,Agrium Asia Pacific Ltd,N/A,--,0.954999983,1.029999971,841823488
A1M AT Equity,AIC Mines Ltd,Metals & Mining,151040,0.340000004,0.389999986,166881904
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,0.980000019,1.054999948,1135052672
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,2.799999952,2.630000114,171676928
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.190000057,2.25,345025376
ALS AT Equity,Alesco Corp Ltd,N/A,--,3,2.970000029,279754400
AGS AT Equity,Alliance Resources Ltd,Metals & Mining,151040,0.460000008,0.425000012,144998224
1801846D AT Equity,Allied Gold Mining Ltd,N/A,--,0.319999993,0.389999986,405651552
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,2.230000019,2.380000114,192346368
ALQ AT Equity,ALS Ltd,Professional Services,202020,29.54999924,29.78000069,1874948736
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.725000024,1.559999943,3806706176
1942012D AT Equity,Amcom Telecommunications Pty Ltd,Diversified Telecommunication Services,501010,0.319999993,0.335000008,240162944
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,6.389999866,6.579999924,8035421696
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,6.260000229,6.260000229,12970254336
1850998D AT Equity,Andean Resources Ltd,N/A,--,2.670000076,3.200000048,1507454336
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,8.109999657,8.850000381,16198214656
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,12.14000034,12.82999992,1689051648
APA AT Equity,APA Group,Gas Utilities,551020,3.559999943,3.630000114,1968616576
HDF AT Equity,APA Sub Group,N/A,--,1.190000057,1.355000019,673751808
AXM AT Equity,Apex Minerals NL,N/A,--,0.025,0.02,66356396
AQP AT Equity,Aquarius Platinum Ltd,Metals & Mining,151040,6.900000095,7.110000134,3291329792
AQA AT Equity,Aquila Resources Ltd,Metals & Mining,151040,10.52999973,10.27000046,3309744640
ARU AT Equity,Arafura Rare Earths Ltd,Metals & Mining,151040,0.589999974,0.595000029,172931040
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,5.659999847,6.119999886,443585568
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,1.375,1.399999976,432753280
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,4.53000021,4.289999962,2288197120
AOE AT Equity,Arrow Energy Holdings Pty Ltd,N/A,--,5.03000021,5.170000076,3792211200
ASZ AT Equity,ASG Group Ltd,IT Services,451020,1.335000038,1.379999995,195331280
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,0.504999995,0.550000012,318989056
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,0.36500001,0.36500001,185497456
ATR AT Equity,Astron Corp Ltd,Metals & Mining,151040,1.919999957,1.879999995,122991864
ASX AT Equity,ASX Ltd,Capital Markets,402030,33.93999863,32.97999954,5724444160
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,0.939999998,0.980000019,443299488
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,2.450000048,2.519999981,1128310656
AUB AT Equity,AUB Group Ltd,Insurance,403010,5.130000114,5,261714000
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,1.49000001,1.570000052,2057316736
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,4.400000095,4.900000095,599454272
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,0.904999971,0.88499999,2394049024
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,2.549999952,2.369999886,445724928
1840084D AT Equity,Austar United Communications Pty Ltd,N/A,--,1.190000057,1.169999957,1474092032
AEO AT Equity,Austereo Group Ltd,N/A,--,1.710000038,1.710000038,589605760
ANG AT Equity,Austin Engineering Ltd,Machinery,201060,3.180000067,3.420000076,237055248
ARH AT Equity,Australasian Resources Ltd,Metals & Mining,151040,0.425000012,0.439999998,194679232
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,25.36000061,24.20000076,61311148032
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.399999976,1.294999957,342222528
