Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,6.150000095,6.019999981,142543872
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1,1.049999952,261137648
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,4.769999981,4.570000172,550368192
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.869999886,2.970000029,1527907968
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.675000012,0.665000021,175432736
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,0.239999995,0.215000004,631518144
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,1.279999971,1.284999967,213980400
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.430000067,3.569999933,2314315520
ADS AT Equity,Adslot Ltd,Software,451030,0.100000001,0.098999999,104321320
AFJ AT Equity,Affinity Education Group Ltd,Diversified Consumer Services,253020,1.215000033,1.220000029,204474896
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,13.10999966,13.35999966,8994280448
A1M AT Equity,AIC Mines Ltd,Metals & Mining,151040,0.174999997,0.135000005,49932344
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.24000001,2.359999895,760467584
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.855000019,0.769999981,205885536
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.25999999,2.450000048,720154432
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.130000114,3.359999895,657559808
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.234999999,0.219999999,91128104
AQZ AT Equity,Alliance Aviation Services Ltd,Airlines,203020,1.100000024,0.474999994,50554080
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,2.589999914,2.779999971,367076512
ALQ AT Equity,ALS Ltd,Professional Services,202020,5.039999962,5.369999886,2186912768
ATH AT Equity,Alterity Therapeutics ltd,Biotechnology,352010,0.185000002,0.200000003,97787392
ALU AT Equity,Altium Ltd,Software,451030,3.299999952,3.279999971,424014688
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.669999957,1.794999957,5037174784
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.310000002,0.36500001,122001608
1942012D AT Equity,Amcom Telecommunications Pty Ltd,Diversified Telecommunication Services,501010,2.289999962,2.930000067,780549504
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,12.15999985,13.57999992,16386781184
AXZ AT Equity,Amex Resources Ltd,Metals & Mining,151040,0.850000024,0.810000002,74796096
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.639999866,5.5,16267558912
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,30.25,34.20999908,9236700160
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.25999999,2.099999905,4258084864
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,20.85000038,22.52000046,3448711168
ADO AT Equity,Anteotech Ltd,Life Sciences Tools & Services,352030,0.115000002,0.119999997,100627744
AVR AT Equity,Anteris Technologies Ltd,Health Care Equipment & Supplies,351010,0.115000002,0.119999997,173113648
APA AT Equity,APA Group,Gas Utilities,551020,7.577212334,7.449999809,8301790720
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,11.39999962,11.36999989,900006144
AAI AT Equity,Arconic Inc/PA,Aerospace & Defense,201010,19.79999924,20.20000076,23812216832
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,3.029999971,2.920000076,1280905472
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,1.529999971,1.580000043,334336064
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,6.510000229,6.559999943,4141474048
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.945000052,1.659999967,1001759232
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.325000048,1.225000024,138649728
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.71999979,5.079999924,341435712
ATR AT Equity,Astron Corp Ltd,Metals & Mining,151040,0.319999993,0.275000006,33681940
ASX AT Equity,ASX Ltd,Capital Markets,402030,36,36.74000168,7112686592
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,3.069999933,3.200000048,1636924288
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.180000007,0.165000007,151713488
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,1.139999986,1.080000043,183754400
AUB AT Equity,AUB Group Ltd,Insurance,403010,10.30000019,10.14999962,626667072
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,3.599999905,4.110000134,4892948992
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,8.5,9.859999657,253471472
AUK AT Equity,AuMake Ltd,Specialty Retail,255040,0.314999998,0.230000004,11774321
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,4.610000134,4.619999886,9813417984
AAX AT Equity,Ausenco Ltd,Construction & Engineering,201030,0.460000008,0.425000012,71591168
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.320000052,1.330000043,4610994176
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.350000024,1.504999995,521892704
ANG AT Equity,Austin Engineering Ltd,Machinery,201060,0.819999993,0.75,63205500
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,31.92000008,32.09000015,88460902400
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.519999981,1.480000019,788062592
ANI AT Equity,Australian Industrial REIT,Equity Real Estate Investment Trusts (REITs),601010,2.109999895,2.190000057,210870784
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,0.839999974,0.860000014,419779648
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.400000006,0.400000006,92904952
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,5.25,5.300000191,195022016
AHG AT Equity,Automotive Holdings Group Ltd,Specialty Retail,255040,3.930000067,3.809999943,1167922944
AVB AT Equity,Avanco Resources Ltd,Metals & Mining,151040,0.079999998,0.075999998,126287368
AVE AT Equity,Avecho Biotechnology Ltd,Pharmaceuticals,352020,0.068999998,0.075000003,94647448
AOG AT Equity,Aveo Group,Real Estate Management & Development,601020,2.089999914,2.160000086,1078998784
AVJ AT Equity,AVJennings Ltd,Household Durables,252010,0.610000014,0.560000002,215277360
AWE AT Equity,AWE Ltd,"Oil, Gas & Consumable Fuels",101020,1.394999981,1.284999967,675731392
BOQ AT Equity,Bank of Queensland Ltd,Banks,401010,12.31999969,12.18000031,4469841408
BAP AT Equity,Bapcor Ltd,Distributors,255010,2.410000086,2.5,408964160
BSE AT Equity,Base Resources Ltd,Metals & Mining,151040,0.25,0.189999998,107141528
BRL AT Equity,Bathurst Resources Ltd,Metals & Mining,151040,0.026000001,0.028999999,27487024
BCI AT Equity,BCI Minerals Ltd,Metals & Mining,151040,0.550000012,0.529999971,103984408
BPT AT Equity,Beach Energy Ltd,"Oil, Gas & Consumable Fuels",101020,1.024999976,1.044999957,1355884160
BDR AT Equity,Beadell Resources Ltd,Metals & Mining,151040,0.200000003,0.224999994,179697888
BGA AT Equity,Bega Cheese Ltd,Food Products,302020,5.130000114,5.150000095,785905216
BFG AT Equity,Bell Financial Group Ltd,Capital Markets,402030,0.469999999,0.430000007,111637912
BEN AT Equity,Bendigo & Adelaide Bank Ltd,Banks,401010,12.77000046,12.81000042,5822934528
BYI AT Equity,Beyond International Ltd,Entertainment,502020,1.110000014,1.049999952,64403816
BHP AT Equity,BHP Group Ltd,Metals & Mining,151040,30.92000008,29.37000084,1.50263E+11
1642878D AT Equity,BigAir Group Ltd,Wireless Telecommunication Services,501020,0.800000012,0.75999999,132568584
BBG AT Equity,Billabong International Ltd,"Textiles, Apparel & Luxury Goods",252030,0.649999976,0.670000017,663547968
BNO AT Equity,Bionomics Ltd,Biotechnology,352010,0.465000004,0.430000007,179511920
BGG AT Equity,Blackgold International Holdings Ltd,"Oil, Gas & Consumable Fuels",101020,0.064000003,0.07,62160252
BKL AT Equity,Blackmores Ltd,Personal Products,303020,33,35.18999863,606119552
