Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,6,6.599999905,156277344
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1.049999952,1.159999967,288494912
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,4.380000114,5.110000134,615400768
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.109999895,3.069999933,1581132288
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.704999983,0.769999981,206674640
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,0.185000002,0.219999999,646204608
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,1.570000052,1.059999943,176513024
ABC AT Equity,Adbri Ltd,Construction Materials,151020,3.599999905,4.28000021,2774585600
ADS AT Equity,Adslot Ltd,Software,451030,0.115000002,0.096000001,101160072
AFJ AT Equity,Affinity Education Group Ltd,Diversified Consumer Services,253020,1.289999962,1.284999967,215369040
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,14.18999958,15.05000019,10132029440
A1M AT Equity,AIC Mines Ltd,Metals & Mining,151040,0.119999997,0.119999997,44384304
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.859999895,2.5,805580032
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.479999989,0.38499999,102942768
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.99000001,2.809999943,825973056
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.359999895,3.470000029,679087104
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.234999999,0.38499999,159474176
AQZ AT Equity,Alliance Aviation Services Ltd,Airlines,203020,0.495000005,0.5,53214820
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,2.839999914,2.50999999,369875168
ALQ AT Equity,ALS Ltd,Professional Services,202020,5,5.710000038,2325376512
ATH AT Equity,Alterity Therapeutics ltd,Biotechnology,352010,0.165000007,0.140000001,73795048
ALU AT Equity,Altium Ltd,Software,451030,2.869999886,4.019999981,519676512
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.870000005,1.840000033,5163454976
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.370000005,0.465000004,155426704
1942012D AT Equity,Amcom Telecommunications Pty Ltd,Diversified Telecommunication Services,501010,2.880000114,2.710000038,721941696
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,12.72000027,13.65999985,16483316736
AXZ AT Equity,Amex Resources Ltd,Metals & Mining,151040,0.720000029,0.649999976,60736556
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.659999847,6.699999809,19816845312
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,34.25,36.84000015,9946800128
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.75,2.789999962,5657169920
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,22.32999992,25.15999985,3853000448
ADO AT Equity,Anteotech Ltd,Life Sciences Tools & Services,352030,0.100000001,0.094999999,80257376
AVR AT Equity,Anteris Technologies Ltd,Health Care Equipment & Supplies,351010,0.119999997,0.100000001,144261376
APA AT Equity,APA Group,Gas Utilities,551020,8.069999695,9.18999958,10240484352
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,11.32999992,11.89000034,941167360
AAI AT Equity,Arconic Inc/PA,Aerospace & Defense,201010,22.95000076,25,29470566400
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.680000067,2.400000095,1061308288
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,1.559999943,1.669999957,353955136
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,6.949999809,7.440000057,4715637760
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.63499999,1.794999957,1083227648
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.169999957,1.284999967,145440736
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.980000019,5.070000172,340763584
ATR AT Equity,Astron Corp Ltd,Metals & Mining,151040,0.275000006,0.270000011,33069542
ASX AT Equity,ASX Ltd,Capital Markets,402030,38.00999832,44.13999939,8545290752
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,3.109999895,3.279999971,1677847424
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.165000007,0.189999998,174700368
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,1.049999952,1.399999976,238200144
AUB AT Equity,AUB Group Ltd,Insurance,403010,8.340000153,9.300000191,574187520
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,4.21999979,4.210000038,5011998720
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,9,12.39999962,318767392
