Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,7.300000191,7.599999905,179955728
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1.019999981,1.00999999,249977536
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,2.380000114,2.059999943,277946816
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,2.819999933,2.74000001,329980064
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.269999981,2.940000057,1628295936
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.434999943,1.590000033,747643136
ARI AT Equity,ACN 004 410 833 Ltd,Metals & Mining,151040,0.100000001,0.079000004,232046208
MIG AT Equity,ACN 059457279 Ltd,Interactive Media & Services,502030,1.139999986,0.959999979,262379184
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,4.550000191,4.980000019,833635264
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.735000014,0.720000029,119895632
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,2.539999962,2.599999905,431274432
ABC AT Equity,Adbri Ltd,Construction Materials,151020,4.190000057,4.340000153,2816164096
ADS AT Equity,Adslot Ltd,Software,451030,0.090000004,0.086999997,92156584
AFJ AT Equity,Affinity Education Group Ltd,Diversified Consumer Services,253020,0.904999971,0.920000017,214156480
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,16.72999954,16.54999924,11166490624
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,3.180000067,2.400000095,773613632
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.294999987,0.280000001,74867472
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.799999952,2.579999924,750704384
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.900000095,3.859999895,755668608
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.245000005,0.239999995,99412480
AQZ AT Equity,Alliance Aviation Services Ltd,Airlines,203020,0.550000012,0.540000021,57472008
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,1.794999957,1.480000019,249607440
ALQ AT Equity,ALS Ltd,Professional Services,202020,4.866296768,3.710000038,1870618112
ATH AT Equity,Alterity Therapeutics ltd,Biotechnology,352010,0.115000002,0.135000005,72075352
ALU AT Equity,Altium Ltd,Software,451030,4.5,4.909999847,639359680
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.085000038,1.125,3239823872
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,1.034999967,1.039999962,426630880
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,13.64999962,13.52000046,15658068992
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.730000019,5.809999943,17184458752
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,31.60000038,34.31999969,9266400256
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.400000095,1.950000048,3966479616
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,20.12000084,21.80999947,3353791232
ADO AT Equity,Anteotech Ltd,Life Sciences Tools & Services,352030,0.088,0.078000002,66870532
AVR AT Equity,Anteris Technologies Ltd,Health Care Equipment & Supplies,351010,0.629999995,0.745000005,137614928
APA AT Equity,APA Group,Gas Utilities,551020,9.199999809,8.899999619,9917335552
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,4.789999962,5.389999866,898052160
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,14.78999996,15.52999973,1229482368
AAI AT Equity,Arconic Inc/PA,Aerospace & Defense,201010,13.05000019,12.98999977,17018572800
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.789999962,2.430000067,1089226880
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,1.715000033,1.679999948,386759104
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,9.319999695,9.489999771,6046265344
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.75999999,1.664999962,982874560
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.340000004,0.280000001,169131728
ASZ AT Equity,ASG Group Ltd,IT Services,451020,1.100000024,1.179999948,241470576
ASH AT Equity,Ashley Services Group Ltd,Professional Services,202020,0.270000011,0.185000002,27750000
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.399999976,1.375,155659584
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,5.25,5.150000095,312360192
ASX AT Equity,ASX Ltd,Capital Markets,402030,41.22000122,41.38999939,8012903936
