Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,7.5,7.369999886,174509696
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.910000026,0.944999993,226424368
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1.105000019,0.975000024,135558304
8IH AT Equity,8I Holdings Ltd,Diversified Financial Services,402010,0.75999999,0.769999981,276673088
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,1.725000024,1.75,1252772608
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,3.420000076,3.599999905,433550432
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.890000105,2.799999952,1602509824
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.629999995,1.455000043,787578688
MIG AT Equity,ACN 059457279 Ltd,Interactive Media & Services,502030,0.239999995,0.135000005,42680640
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,6.639999866,5.559999943,1098009856
ACR AT Equity,Acrux Ltd,Pharmaceuticals,352020,0.330000013,0.340000004,56617384
ADA AT Equity,Adacel Technologies Ltd,Software,451030,3.099999905,2.720000029,215609456
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,2.599999905,2.549999952,422980704
ABC AT Equity,Adbri Ltd,Construction Materials,151020,5.539999962,5.349999905,3475649536
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,19.04999924,19.18000031,12940984320
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.25,1.784999967,584973568
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,3.349999905,2.700000048,788514112
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.329999924,4.309999943,843764736
AJX AT Equity,Alexium International Group Ltd,Chemicals,151010,0.644999981,0.654999971,196091600
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,3.730000019,3.829999924,803420992
ALQ AT Equity,ALS Ltd,Professional Services,202020,5.960000038,6.230000019,3141297664
ALU AT Equity,Altium Ltd,Software,451030,9.210000038,7.840000153,1020892032
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.460000038,1.580000043,4550152704
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,1.105000019,1.039999962,494724544
AYS AT Equity,Amaysim Australia Ltd,Electric Utilities,551010,2.170000076,2.160000086,396328448
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,15.14999962,14.69999981,17024675840
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.28000021,4.570000172,13516862464
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,34.25,30.72999954,8014707200
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,4.190000057,3.599999905,7376188928
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,22.97999954,21.69000053,3198136064
AVR AT Equity,Anteris Technologies Ltd,Health Care Equipment & Supplies,351010,0.324999988,0.360000014,90624488
APA AT Equity,APA Group,Gas Utilities,551020,8.520000458,7.960000038,8869886976
AHX AT Equity,Apiam Animal Health Ltd,Health Care Providers & Services,351020,1.644999981,1.399999976,141034448
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,5.5,4.75,791418880
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.439999998,0.430000007,135016896
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,18.15999985,17.05999947,1350882688
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.769999981,2.019999981,947571200
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,1.970000029,1.934999943,450328160
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,15.81000042,15.34000015,9773415424
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.590000033,1.460000038,811860672
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.25,0.219999999,132777008
ASZ AT Equity,ASG Group Ltd,IT Services,451020,1.590000033,1.600000024,322850336
APZ AT Equity,Aspen Group Ltd/Australia,Equity Real Estate Investment Trusts (REITs),601010,1.100000024,1.120000005,114124680
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,7.079999924,6.760000229,410010656
ASX AT Equity,ASX Ltd,Capital Markets,402030,48.15999985,47.13000107,9124140032
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,4.989999771,4.71999979,2502214144
AUB AT Equity,AUB Group Ltd,Insurance,403010,11.10000038,9.899999619,632080128
