Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,7.050000191,6.889999866,163144064
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1,1.024999976,231550080
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1.100000024,0.99000001,137742832
88E AT Equity,88 Energy Ltd,"Oil, Gas & Consumable Fuels",101020,0.029999999,0.039000001,181325184
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,4.139999866,5.039999962,3644368896
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,2.180000067,2.089999914,251700112
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.109999895,3.569999933,2061682688
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,0.915000021,0.889999986,482639168
ACX AT Equity,Aconex Ltd,Interactive Media & Services,502030,3.809999943,4.079999924,812615680
ADA AT Equity,Adacel Technologies Ltd,Software,451030,2.680000067,2.670000076,211619344
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,1.200000048,1.475000024,244665312
ABC AT Equity,Adbri Ltd,Construction Materials,151020,5.619999886,5.75,3739066880
ADS AT Equity,Adslot Ltd,Software,451030,0.059999999,0.048,61647780
APT AT Equity,Afterpay Ltd,IT Services,451020,3.099999905,3.769999981,809816192
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,24.10000038,23.98999977,15733243904
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,2.410000086,2.660000086,880687616
1901980D AT Equity,AirXpanders Inc,Health Care Equipment & Supplies,351010,0.699999988,0.660000026,189904144
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.230000004,0.239999995,140445296
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.079999924,2.170000076,636007552
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.760000229,4.860000134,951437696
AJX AT Equity,Alexium International Group Ltd,Chemicals,151010,0.495000005,0.460000008,140876368
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.340000004,0.400000006,202314496
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,3.200000048,3.859999895,812609088
ALQ AT Equity,ALS Ltd,Professional Services,202020,7.420000076,7.96999979,4018642432
ALU AT Equity,Altium Ltd,Software,451030,8.75,9.970000267,1298251776
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.899999976,2.119999886,6105268224
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,1.019999981,1,513892096
AYS AT Equity,Amaysim Australia Ltd,Electric Utilities,551010,1.600000024,1.899999976,400506336
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,15.34000015,16.11000061,18657656832
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,5.389999866,5.099999905,14884193280
ATX AT Equity,Amplia Therapeutics Ltd,Biotechnology,352010,0.050999999,0.039000001,8799414
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,31.13999939,33.38999939,8708463616
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.569999933,2.700000048,5551846912
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,21.96999931,21.81999969,3214706944
APA AT Equity,APA Group,Gas Utilities,551020,8.619999886,8.859999657,9872762880
AHX AT Equity,Apiam Animal Health Ltd,Health Care Providers & Services,351020,0.75,0.779999971,78918800
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,4.610000134,4.480000019,746432960
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.405000001,0.414999992,130203264
ATL AT Equity,Apollo Tourism & Leisure Ltd,Automobiles,251020,1.409999967,1.440000057,259119728
APX AT Equity,Appen Ltd,IT Services,451020,4.170000076,4.690000057,458503584
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,15.32999992,16.97999954,1344547968
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,2.089999914,1.929999948,905621440
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,2.059999943,2.309999943,606217664
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,20.25,21.17000008,13517979648
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.330000043,1.565000057,849986688
AFA AT Equity,ASF Group Ltd,Diversified Financial Services,402010,0.180000007,0.180000007,122088272
AJA AT Equity,Astro Japan Property Group,Equity Real Estate Investment Trusts (REITs),601010,6.349999905,7.239999771,439123840
ASX AT Equity,ASX Ltd,Capital Markets,402030,52.29999924,54.68000031,10585784320
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,5.559999943,5.679999828,3305077760
AGO AT Equity,Atlas Iron Ltd,Metals & Mining,151040,0.021,0.021,194547632
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,0.189999998,0.239999995,55678236
AUB AT Equity,AUB Group Ltd,Insurance,403010,12.89999962,12.75,814042560
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,6.53000021,6.159999847,7350233600
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,21.45000076,18.39999962,494838752
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,5.019999981,4.960000038,10176658432
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.63499999,1.74000001,6282042880
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,1.804999948,1.710000038,597598272
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,29.62999916,29.39999962,86360006656
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.654999971,1.595000029,936412992
AFG AT Equity,Australian Finance Group Ltd,Thrifts & Mortgage Finance,401020,1.434999943,1.529999971,328663392
KDR AT Equity,Australian Light Minerals Pty Ltd,Metals & Mining,151040,0.579999983,0.714999974,238331920
API AT Equity,Australian Pharmaceutical Industries Ltd,Health Care Providers & Services,351020,1.754999995,1.465000033,717557568
AOF AT Equity,Australian Unity Office Fund,Equity Real Estate Investment Trusts (REITs),601010,2.220000029,2.25999999,317241568
AVG AT Equity,Australian Vintage Ltd,Beverages,302010,0.414999992,0.419999987,115729456
ABA AT Equity,Auswide Bank Ltd,Thrifts & Mortgage Finance,401020,5.150000095,5.369999886,218483984
