Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,6.380000114,6.349999905,150357744
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,1.029999971,1.024999976,234240480
3PL AT Equity,3P Learning Ltd,Diversified Consumer Services,253020,1.475000024,1.355000019,188662304
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,11.31000042,9.930000305,7249287680
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,1.850000024,2.109999895,254108736
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,3.619999886,3.839999914,2224752128
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.254999995,1.590000033,862243072
ADA AT Equity,Adacel Technologies Ltd,Software,451030,1.850000024,1.710000038,134164560
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,2.119999886,2.160000086,358289536
ABC AT Equity,Adbri Ltd,Construction Materials,151020,6.440000057,6.550000191,4261499392
APT AT Equity,Afterpay Ltd,IT Services,451020,5.989999771,7.820000172,1703013120
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,21.72999954,22.10000038,14493733888
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,1.909999967,1.159999967,385715008
1901980D AT Equity,AirXpanders Inc,Health Care Equipment & Supplies,351010,0.144999996,0.083999999,24177738
AJL AT Equity,AJ Lucas Group Ltd,Construction & Engineering,201030,0.340000004,0.340000004,255033056
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,2.220000029,2.49000001,731498688
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,5.260000229,5.599999905,1096306816
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.280000001,0.280000001,141706944
AQZ AT Equity,Alliance Aviation Services Ltd,Airlines,203020,1.695000052,1.720000029,212950608
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,5.650000095,5.670000076,1478229760
ALQ AT Equity,ALS Ltd,Professional Services,202020,7.800000191,7.489999771,3673438720
ALU AT Equity,Altium Ltd,Software,451030,20.31999969,20.92000008,2725561088
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,2.640000105,2.670000076,7689182208
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.970000029,0.970000029,517705536
AYS AT Equity,Amaysim Australia Ltd,Electric Utilities,551010,1.195000052,0.805000007,169688208
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,13.72999954,14.06000042,16283466752
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,4.039999962,3.900000095,11253768192
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,31.02000046,29.42000008,7673045504
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,2.369999886,2.25999999,4667268608
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,26.07999992,26.25,3734773504
APA AT Equity,APA Group,Gas Utilities,551020,8.350000381,8.68999958,10253277184
APO AT Equity,APN Outdoor Group Pty Ltd,Media,502010,5.460000038,5.690000057,950263232
ATL AT Equity,Apollo Tourism & Leisure Ltd,Automobiles,251020,1.534999967,1.600000024,292031168
