Ticker,Name,"GICS Ind Name
","GICS Ind
","Price:M-1
","Price (I)
","Market Cap
"
ONT AT Equity,1300SMILES Ltd,Health Care Providers & Services,351020,5.260000229,5.159999847,122180464
TGP AT Equity,360 Capital Group Ltd,Capital Markets,402030,0.879999995,0.850000024,196241744
TOT AT Equity,360 Capital REIT,Mortgage Real Estate Investment Trusts (REITs),402040,0.899999976,0.86500001,120062240
A2M AT Equity,a2 Milk Co Ltd/The,Food Products,302020,17.70999908,18.65999985,13805231104
A2B AT Equity,A2B Australia Ltd,Road & Rail,203040,0.764999986,0.810000002,97548856
ABP AT Equity,Abacus Property Group,Equity Real Estate Investment Trusts (REITs),601010,2.579999924,2.680000067,1751384832
AX1 AT Equity,Accent Group Ltd,Specialty Retail,255040,1.355000019,1.399999976,759033408
ADH AT Equity,Adairs Ltd,Specialty Retail,255040,1.870000005,2.299999952,388877280
ABC AT Equity,Adbri Ltd,Construction Materials,151020,2.720000029,3.180000067,2074207104
ADT AT Equity,Adriatic Metals PLC,Metals & Mining,151040,1.399999976,1.315000057,236359392
ANO AT Equity,Advance Zinctek Ltd,Chemicals,151010,4.699999809,4.25,253346832
AMX AT Equity,Aerometrex Ltd,Professional Services,202020,1.710000038,1.5,141600000
APT AT Equity,Afterpay Ltd,IT Services,451020,47.40999985,60.99000168,16348043264
AGL AT Equity,AGL Energy Ltd,Multi-Utilities,551030,16.76000023,17.04999924,10656082944
AGI AT Equity,Ainsworth Game Technology Ltd,"Hotels, Restaurants & Leisure",253010,0.455000013,0.409999996,138085504
AIZ AT Equity,Air New Zealand Ltd,Airlines,203020,1.289999962,1.235000014,1386670464
AQG AT Equity,Alacer Gold Corp,Metals & Mining,151040,9.170000076,9.590000153,2827010304
ALC AT Equity,Alcidion Group Ltd,Health Care Technology,351030,0.155000001,0.144999996,143650640
LEP AT Equity,ALE Property Group,Equity Real Estate Investment Trusts (REITs),601010,4.619999886,4.96999979,972972352
ALK AT Equity,Alkane Resources Ltd,Metals & Mining,151040,0.920000017,1.205000043,698940160
AQZ AT Equity,Alliance Aviation Services Ltd,Airlines,203020,2.650000095,3.029999971,480588608
AKE AT Equity,Allkem Ltd,Metals & Mining,151040,2.349999905,2.309999943,640083264
ALQ AT Equity,ALS Ltd,Professional Services,202020,7.150000095,6.559999943,3164712960
ALU AT Equity,Altium Ltd,Software,451030,37.18999863,32.47999954,4253768448
AWC AT Equity,Alumina Ltd,Metals & Mining,151040,1.485000014,1.625,4679745536
AMA AT Equity,AMA Group Ltd,Commercial Services & Supplies,202010,0.63499999,0.595000029,436672608
AMC AT Equity,Amcor PLC,Containers & Packaging,151030,14.88000011,14.47999954,22797852672
AMP AT Equity,AMP Ltd,Diversified Financial Services,402010,1.629999995,1.855000019,6374891520
ALD AT Equity,Ampol Ltd,"Oil, Gas & Consumable Fuels",101020,27.09000015,29.31999969,7321407488
AGG AT Equity,AngloGold Ashanti Ltd,Metals & Mining,151040,7.550000191,8.609999657,18002149376
ANN AT Equity,Ansell Ltd,Health Care Equipment & Supplies,351010,35.27000046,36.70000076,4716953600
APA AT Equity,APA Group,Gas Utilities,551020,11.60999966,11.13000011,13132218368
APD AT Equity,APN Property Group Ltd,Equity Real Estate Investment Trusts (REITs),601010,0.550000012,0.540000021,172819968
APX AT Equity,Appen Ltd,IT Services,451020,30.79999924,33.91999817,4126571520
ARB AT Equity,ARB Corp Ltd,Auto Components,251010,17.04000092,17.95000076,1432957952
ALG AT Equity,Ardent Leisure Group Ltd,"Hotels, Restaurants & Leisure",253010,0.449999988,0.389999986,187085344
ARF AT Equity,Arena REIT,Equity Real Estate Investment Trusts (REITs),601010,2.470000029,2.190000057,716739072
ALL AT Equity,Aristocrat Leisure Ltd,"Hotels, Restaurants & Leisure",253010,25.71999931,25.5,16282875904
AHY AT Equity,Asaleo Care Ltd,Personal Products,303020,1.019999981,1.014999986,551269312
ASX AT Equity,ASX Ltd,Capital Markets,402030,88.18000031,85.37999725,16529155072
ALX AT Equity,Atlas Arteria Ltd,Transportation Infrastructure,203050,6.659999847,6.619999886,6268619776
AT1 AT Equity,Atomo Diagnostics Ltd,Health Care Equipment & Supplies,351010,0.340000004,0.340000004,190766448
AMS AT Equity,Atomos Ltd,Household Durables,252010,0.564999998,0.425000012,92507832
ATU AT Equity,Atrum Coal Ltd,Metals & Mining,151040,0.239999995,0.224999994,122598320
AUB AT Equity,AUB Group Ltd,Insurance,403010,13.64999962,14.69999981,1085135744
AIA AT Equity,Auckland International Airport Ltd,Transportation Infrastructure,203050,6.039999962,6.159999847,9070914560
AD8 AT Equity,Audinate Group Ltd,"Electronic Equipment, Instruments & Components",452030,6.400000095,5.400000095,366878688
AKP AT Equity,Audio Pixels Holdings Ltd,Household Durables,252010,21.29999924,18.23999977,516223360
AMI AT Equity,Aurelia Metals Ltd,Metals & Mining,151040,0.324999988,0.5,436991904
AZJ AT Equity,Aurizon Holdings Ltd,Road & Rail,203040,4.75,4.920000076,9420042240
AST AT Equity,AusNet Services Ltd,Electric Utilities,551010,1.754999995,1.669999957,6267591168
ASB AT Equity,Austal Ltd,Aerospace & Defense,201010,3.339999914,3.230000019,1151623168
ANZ AT Equity,Australia & New Zealand Banking Group Ltd,Banks,401010,17.88999939,18.63999939,52866347008
AAC AT Equity,Australian Agricultural Co Ltd,Food Products,302020,1.080000043,1.029999971,620849728
AEF AT Equity,Australian Ethical Investment Ltd,Capital Markets,402030,7.21999979,6.659999847,748498368
AFG AT Equity,Australian Finance Group Ltd,Thrifts & Mortgage Finance,401020,1.580000043,1.710000038,457838400
