year-month,year,month,MKT-RF,SMB,HML,RMW,CMA,RF
199007,1990,07,4.2,-2.82,-1.46,2.34,0.91,0.68
199008,1990,08,-8.68,3.61,1.73,0.27,0.67,0.66
199009,1990,09,-8.8,3.65,-0.06,0.97,4.17,0.6
199010,1990,10,-1.95,-4.76,-1.48,0.68,-2.73,0.68
199011,1990,11,-2.98,-1.58,-0.77,2.65,0.56,0.57
199012,1990,12,-1.1,-2.74,-1.02,0.28,-1.49,0.6
199101,1991,01,5.28,-3.52,1.34,0.84,-0.06,0.52
199102,1991,02,9.08,-1.68,-1.6,1.63,-0.57,0.48
199103,1991,03,2.28,-1,1.8,-1.57,1.36,0.44
199104,1991,04,2.09,1.3,-0.12,1.83,1.66,0.53
199105,1991,05,-0.55,-0.96,1.45,-2.19,0.92,0.47
199106,1991,06,-0.64,0.4,-0.29,0.07,1.48,0.42
199107,1991,07,5.78,-0.44,4.39,-1.51,2.97,0.49
199108,1991,08,-1.59,-0.12,1.41,-0.23,1.12,0.46
199109,1991,09,0.81,1.77,1.8,-0.11,0.17,0.46
199110,1991,10,3.77,1.66,1.29,-0.57,-1.24,0.42
199111,1991,11,-0.35,2.58,0.51,-0.52,-2.78,0.39
199112,1991,12,1.36,-2.64,-0.96,0.4,-0.83,0.38
199201,1992,01,1.3,0.16,0.63,-1.02,-1.73,0.34
199202,1992,02,2,0.43,2.17,1.04,0.88,0.28
199203,1992,03,-0.27,-0.25,-1.17,0.88,-0.02,0.34
199204,1992,04,5.39,-4.38,-0.23,2.16,-0.22,0.32
199205,1992,05,7.92,-3.18,4.41,-5.39,2.03,0.28
199206,1992,06,-1.18,-0.13,0.08,-1.27,-0.4,0.32
199207,1992,07,-3.37,1.68,-0.56,1.12,2.79,0.31
199208,1992,08,-6.07,0.16,1.25,0.33,-1.64,0.26
199209,1992,09,-2.51,1.08,2.43,-0.08,-1.27,0.26
199210,1992,10,2.89,-2.72,2.21,-0.9,-5.75,0.23
199211,1992,11,-1.98,2.88,-0.58,1.04,1.53,0.23
199212,1992,12,0.63,1.28,-4.75,4.48,4.89,0.28
199301,1993,01,1.03,0.63,1.09,-0.41,-2.35,0.23
199302,1993,02,8.06,-1.16,1.32,-2.14,-1.12,0.22
199303,1993,03,2.76,3.69,-1.29,1.82,1.76,0.25
199304,1993,04,5.51,3.27,1.3,-3.7,-0.46,0.24
199305,1993,05,4.89,3.02,0.79,-2.01,-1.98,0.22
199306,1993,06,-2.79,3.39,2.33,0.39,-0.3,0.25
199307,1993,07,2.21,1.01,-1.86,0.51,5.86,0.24
199308,1993,08,6.37,-0.9,0.86,-1.03,-2,0.25
199309,1993,09,0.01,-2.9,0.53,-0.01,-3.06,0.26
199310,1993,10,15.82,-5.05,1.71,-0.72,-6.14,0.22
199311,1993,11,-2.38,2.48,1.83,0.23,-1.27,0.25
199312,1993,12,20.52,-5.24,7.23,-6,-6.62,0.23
199401,1994,01,0.86,3.29,2.16,-3.71,8.13,0.25
199402,1994,02,-6.52,5.87,0.76,-2.22,2.7,0.21
199403,1994,03,-9.99,0.55,0.38,1.89,0.2,0.27
199404,1994,04,2.14,-1.15,-0.06,-0.12,2.9,0.27
199405,1994,05,4.24,-4.08,0.54,1.54,0.85,0.32
199406,1994,06,-6.39,2.59,-1.73,0.85,3.07,0.31
199407,1994,07,4.75,-4.21,1.66,-2.26,-0.49,0.28
