date,ASX200
1/05/2008,5585.805
2/05/2008,5700.422
5/05/2008,5730.336
6/05/2008,5701.352
7/05/2008,5668.375
8/05/2008,5723.238
9/05/2008,5771.766
12/05/2008,5828.539
13/05/2008,5812.648
14/05/2008,5872.68
15/05/2008,5890.656
16/05/2008,5930.977
19/05/2008,5949.426
20/05/2008,5908.086
21/05/2008,5823.441
22/05/2008,5826.926
23/05/2008,5767.977
26/05/2008,5707
27/05/2008,5714.434
28/05/2008,5648.07
29/05/2008,5709.41
30/05/2008,5654.703
2/06/2008,5662.348
3/06/2008,5574.164
4/06/2008,5584.484
5/06/2008,5530.105
6/06/2008,5592.082
9/06/2008,5592.082
10/06/2008,5437.398
11/06/2008,5467.254
12/06/2008,5329.242
13/06/2008,5378.137
16/06/2008,5371.688
17/06/2008,5422.695
18/06/2008,5443.234
19/06/2008,5366.633
20/06/2008,5288.277
23/06/2008,5283.668
24/06/2008,5290.02
25/06/2008,5237.809
26/06/2008,5306.961
27/06/2008,5236.984
30/06/2008,5215.305
1/07/2008,5138.875
2/07/2008,5094.781
3/07/2008,4998.305
4/07/2008,5082.082
7/07/2008,5002.48
8/07/2008,4932.934
9/07/2008,5011.852
10/07/2008,4937.371
11/07/2008,4979.906
14/07/2008,4920.996
15/07/2008,4815.668
16/07/2008,4870.613
17/07/2008,4901.027
18/07/2008,4840.359
21/07/2008,5011.758
22/07/2008,5005.563
23/07/2008,5105.277
24/07/2008,5144.133
25/07/2008,4970.535
28/07/2008,4922.125
29/07/2008,4847.391
30/07/2008,4936.68
31/07/2008,4977.363
1/08/2008,4904.039
4/08/2008,4887.715
5/08/2008,4820.43
6/08/2008,4969.137
7/08/2008,4983.297
8/08/2008,4986.199
11/08/2008,5026.09
12/08/2008,5053.574
13/08/2008,4951.594
14/08/2008,4981.117
15/08/2008,4981.73
18/08/2008,4984.98
19/08/2008,4866.359
20/08/2008,4929.48
21/08/2008,4875.164
22/08/2008,4931.383
25/08/2008,5014.852
26/08/2008,5007.496
27/08/2008,5011.219
28/08/2008,5066.52
29/08/2008,5135.57
1/09/2008,5118.305
2/09/2008,5115.965
3/09/2008,5060.023
4/09/2008,4979.5
5/09/2008,4877.055
8/09/2008,5067.535
9/09/2008,4980.148
10/09/2008,4905.457
11/09/2008,4814.266
12/09/2008,4903.82
15/09/2008,4817.664
16/09/2008,4750.813
17/09/2008,4722.18
18/09/2008,4607.266
19/09/2008,4804.063
22/09/2008,5020.531
23/09/2008,4923.535
24/09/2008,4981.887
25/09/2008,4927.367
26/09/2008,4904.754
29/09/2008,4807.352
30/09/2008,4600.52
1/10/2008,4794.598
2/10/2008,4761.133
3/10/2008,4695.445
6/10/2008,4540.398
7/10/2008,4618.703
8/10/2008,4388.063
9/10/2008,4320.93
10/10/2008,3960.651
13/10/2008,4180.711
14/10/2008,4335.184
15/10/2008,4299.996
16/10/2008,4013.427
17/10/2008,3970.813
20/10/2008,4142.277
21/10/2008,4302.484
22/10/2008,4156.145
23/10/2008,3974.375
24/10/2008,3869.443
27/10/2008,3809.201
28/10/2008,3794.587
29/10/2008,3845.575
30/10/2008,4001.111
31/10/2008,4017.96
3/11/2008,4221.461
4/11/2008,4215.09
5/11/2008,4336.566
6/11/2008,4149.734
7/11/2008,4051.273
10/11/2008,4107.758
11/11/2008,3960.91
12/11/2008,3927.307
13/11/2008,3697.258
14/11/2008,3748.141
17/11/2008,3653.043
18/11/2008,3523.187
19/11/2008,3499.63
20/11/2008,3352.944
21/11/2008,3416.499
24/11/2008,3425.095
25/11/2008,3623.363
26/11/2008,3539.981
27/11/2008,3587.968
28/11/2008,3742.517
1/12/2008,3681.187
2/12/2008,3528.232
3/12/2008,3533.818
4/12/2008,3532.429
5/12/2008,3489.906
8/12/2008,3631.583
9/12/2008,3604.347
10/12/2008,3640.662
11/12/2008,3598.007
12/12/2008,3510.384
15/12/2008,3591.355
16/12/2008,3556.211
17/12/2008,3570.596
18/12/2008,3581.155
19/12/2008,3615.661
22/12/2008,3557.373
23/12/2008,3531.368
24/12/2008,3582.217
25/12/2008,3582.217
26/12/2008,3582.217
29/12/2008,3621.11
30/12/2008,3654.161
31/12/2008,3722.31
1/01/2009,3722.31
2/01/2009,3713.798
5/01/2009,3687.044
6/01/2009,3742.694
7/01/2009,3779.732
8/01/2009,3694.298
9/01/2009,3735.749
12/01/2009,3683.324
13/01/2009,3654.575
14/01/2009,3686.963
15/01/2009,3529.535
16/01/2009,3550.943
19/01/2009,3589.324
20/01/2009,3476.634
21/01/2009,3442.753
22/01/2009,3486.806
23/01/2009,3342.697
26/01/2009,3342.697
27/01/2009,3443.994
28/01/2009,3495.543
29/01/2009,3526.164
30/01/2009,3540.712
2/02/2009,3497.447
3/02/2009,3508.672
4/02/2009,3437.926
5/02/2009,3428.561
6/02/2009,3469.879
9/02/2009,3508.601
10/02/2009,3488.652
11/02/2009,3474.427
12/02/2009,3514.286
13/02/2009,3559.11
16/02/2009,3516.916
17/02/2009,3464.326
18/02/2009,3413.198
19/02/2009,3448.93
20/02/2009,3402.394
23/02/2009,3351.201
24/02/2009,3331.553
25/02/2009,3327.491
26/02/2009,3345.462
27/02/2009,3344.513
2/03/2009,3250.13
3/03/2009,3219.208
4/03/2009,3166.375
5/03/2009,3188.504
6/03/2009,3145.457
9/03/2009,3154.479
10/03/2009,3184.531
11/03/2009,3244.375
12/03/2009,3235.539
13/03/2009,3345.173
16/03/2009,3348.428
17/03/2009,3451.937
18/03/2009,3446.32
19/03/2009,3480.23
20/03/2009,3465.803
23/03/2009,3550.287
24/03/2009,3579.971
25/03/2009,3609.3
26/03/2009,3646.646
27/03/2009,3672.328
30/03/2009,3604.358
31/03/2009,3582.146
1/04/2009,3579.733
2/04/2009,3680.199
3/04/2009,3735.626
6/04/2009,3756.582
7/04/2009,3706.306
8/04/2009,3619.495
9/04/2009,3671.557
10/04/2009,3671.557
13/04/2009,3671.557
14/04/2009,3752.914
15/04/2009,3747.526
16/04/2009,3775.719
17/04/2009,3776.73
20/04/2009,3769.044
21/04/2009,3677.425
22/04/2009,3668.189
23/04/2009,3743.022
