ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , ,--, ,"-3,500,149.00","-534,768.00","578,707.00","-1,477,472.00"
1AD,AdAlta Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , ,--,"-9,345.00","-3,142.00","-170,602.00","-2,376.00","-2,121.00","-25,229.00"
1AE,Aurora Energy Metals Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , , ,--, 
1AG,Alterra Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , ,"-36,742.00","-661,882.00","-3,348,176.00","-5,523,975.00","-8,557,857.00",0.00,0.00,0.00,"-33,845.00","-4,430,898.00","-35,477.00","-24,425.00","-524,151.00","-321,936.00", 
1AL,OneAll International Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , ,--,"-252,124.00","-162,070.00","-5,927,153.00","-742,341.00", , , 
1MC,Morella Corporation Limited,Annual Cash Flow - Payment for Purchase of PPE,"-607,281.00","-1,863,533.00","-2,914,873.00","-1,123,816.00","-959,508.00","-1,008,906.00","-1,908,865.00","-791,494.00","-5,221,000.00","-5,797,000.00","-12,015,000.00","-3,242,000.00","-6,433,000.00","-5,130,000.00","-1,570,000.00","-879,000.00","-3,112,000.00","-43,585,000.00","-127,088,000.00","-90,353,000.00","-6,125,000.00","-996,055.00", 
1PG,1-Page Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , ,"-225,817.00","-1,446,046.00","-2,047,643.00","-449,834.00","-287,136.00","-270,238.00","-24,133.00",--,"-192,334.00","-238,935.00","-3,820,281.00","-104,163.00", , , , , 
1ST,1ST Group Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , ,--,"-601,248.00","-1,329,780.00","-177,620.00","-9,411.00","-8,569.00","-83,471.00","-24,547.00","-21,835.00"
1VG,Victory Goldfields Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , ,--, , 
29M,29Metals Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , ,--,"-97,613,000.00", 
2BE,Tubi Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , ,--,"-9,370,618.00","-12,112,371.00","-1,918,036.00", 
360,Life360 Inc,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , ,--,0.00,0.00,0.00, 
3DA,Amaero International Ltd,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , ,--,"-3,703,918.00","-358,152.00","-3,151,093.00"
3DP,Pointerra Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , ,--,"-95,849.00","-10,485.00",--,--,"-432,906.00",--,0.00,0.00,0.00,"-76,563.00","-54,330.00","-60,112.00","-96,714.00","-137,030.00","-192,109.00"
3MF,3D Metalforge Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , ,--,"-835,079.00", 
3PL,3P Learning Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , ,--,"-6,740,000.00","-8,802,000.00","-12,294,000.00","-9,703,000.00","-10,046,000.00","-9,427,000.00","-10,733,000.00","-5,853,000.00","-5,113,000.00"
4DS,4DS Memory Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , ,"-13,000.00","-139,869.00","-4,248.00",--,"-1,279,399.00",0.00,"-11,647.00","-25,927.00","-373,532.00","-96,029.00","-10,861.00","-40,984.00","-248,660.00"
4DX,4DMedical Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , ,--, ,"-353,323.00","-3,078,146.00"
4WD,Automotive Solutions Group Ltd,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , ,--,"-539,250.00", , , , , 
5GG,Pentanet Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , ,--,"-6,892,000.00","-9,892,000.00"
5GN,5G Networks Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , ,--,"-294,770.00","-1,201,000.00","-3,308,000.00","-7,619,000.00", 
88E,88 Energy Limited,Annual Cash Flow - Payment for Purchase of PPE,"-3,754,125.00","-379,352.00",0.00,0.00,--,--,0.00,0.00,"-13,675.00","-1,256.00","-71,810.00","-28,390.00","-9,095,458.00","-737,512.00","-9,300,344.00","-21,944,218.00","-25,592,389.00","-22,755,649.00","-22,954,459.00","-5,864,993.00","-41,521,267.00","-41,791,086.00", 
8CO,8Common Ltd,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , ,--,"-11,438.00","-17,134.00",0.00,"-10,000.00",0.00,"-10,150.00","-622,593.00","-1,899,630.00"
8IH,8I Holdings Ltd,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , ,--,0.00,"-493,359.00","-510,048.00","-610,170.00","-647,198.00","-687,222.00","-1,230,385.00","-3,656,762.00"
8VI,8VI Holdings Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , ,--,"-784,531.00","-1,003,622.00","-572,672.00","-270,166.00","-405,769.00","-1,115,060.00","-3,040,944.00"
92E,92 Energy Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , ,--,"-230,691.00", 
99L,99 Loyalty Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , ,--,"-36,835.00","-765,253.00","-2,350,323.00","-465,566.00","-367,974.00","-222,007.00","-983,118.00","-34,048.00","-317,838.00", 
9SP,9 Spokes International Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , ,--,"-403,652.00","-171,895.00","-64,163.00",--,"-22,950.00","-22,306.00"
A1C,AIC Resources Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , ,--,"-196,159.00", , , , 
A1G,African Gold Limited ,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , ,--,"-1,246,472.00","-1,188,316.00","-2,317,289.00", 
A1M,AIC Mines Limited,Annual Cash Flow - Payment for Purchase of PPE,"-1,528,399.00","-341,870.00",0.00,0.00,"-1,719,431.00","-33,555,000.00","-9,556,000.00","-11,416,000.00","-20,899,000.00","-7,876,000.00","-22,631.00","-1,047,656.00",0.00,0.00,0.00,"-11,000.00",--,--,0.00,"-160,000.00","-37,000.00","-6,223,000.00", 
A200,BetaShares Australia 200 ETF,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , ,--,--,--,--, 
A2B,A2B Australia Limited,Annual Cash Flow - Payment for Purchase of PPE,"-2,120,591.00","-4,856,227.00","-796,179.00","-5,293,996.00","-7,570,000.00","-19,929,000.00","-4,302,000.00","-35,891,000.00","-16,246,000.00","-11,964,000.00","-12,549,000.00","-24,088,000.00","-10,563,000.00","-16,512,000.00","-7,162,000.00","-13,694,000.00","-18,629,000.00","-12,001,000.00","-15,666,000.00","-16,219,000.00","-17,236,000.00","-7,191,000.00","-8,775,000.00"
A2M,The a2 Milk Company Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , ,"-3,211,439.00","-1,958,241.00","-2,353,333.00","-4,444,648.00","-3,213,534.00","-6,747,640.00","-6,804,094.00","-4,660,894.00"
A3D,Aurora Labs Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , ,--, ,"-507,394.00","-583,986.00","-421,232.00","-594,614.00","-2,712.00","-48,419.00"
A40,Alita Resources Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , ,--, , , , 
A4N,Alpha HPA Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , ,"-1,851,965.00","-831,423.00","-850,478.00","-2,672,677.00","-3,660,457.00","-638,340.00","-905,333.00","-2,262,211.00","-1,461,334.00","-1,005,779.00","-2,105,556.00","-2,171,478.00","-5,371,177.00","-6,729,344.00","-11,526,725.00"
A8G,Australasian Metals Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , ,--,"-181,801.00", 
AAA,BetaShares Australian High Interest Cash ETF,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , ,--, , ,--,--,--,--,--,--,--, 
AAB,Absolute Return Fund (The),Annual Cash Flow - Payment for Purchase of PPE, , , ,0.00,0.00, , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Cash Flow - Payment for Purchase of PPE,--,"-5,501,000.00","-10,716,000.00","-29,357,000.00","-89,391,000.00","-28,207,000.00","-135,504,000.00","-31,185,000.00","-9,623,000.00","-4,395,000.00","-4,685,000.00","-22,907,000.00","-41,114,000.00","-4,735,000.00","-71,281,000.00","-66,960,000.00","-19,595,000.00","-28,644,000.00","-19,720,000.00","-25,967,000.00","-22,666,000.00","-9,421,000.00","-15,178,000.00"
AAG,Aragon Resources Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , ,"-2,294,002.00","-1,417,277.00","-3,092,640.00", , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Cash Flow - Payment for Purchase of PPE,"-400,000.00","-635,000.00","-5,251,000.00","-5,330,000.00","-113,000.00","-3,007,000.00","-474,000.00","-821,000.00","-8,604,000.00", , , , , , , , , , , , , , 
AAI,Alcoa Inc.,Annual Cash Flow - Payment for Purchase of PPE,"-1,985,559,566.00","-2,305,131,218.00","-2,243,023,666.00","-1,150,666,666.00","-1,474,268,025.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-1,486,222,872.00","-1,615,110,867.00", , , , , , , 
AAJ,Aruma Resources Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , ,--,"-62,884.00","-10,564.00","-20,198.00","-43,936.00","-6,165.00","-2,680.00","-57,580.00","-53,000.00","-31,458.00",--,"490,719.00", 
AAK,Australia China Holdings Limited,Annual Cash Flow - Payment for Purchase of PPE,"-692,000.00","-1,094,000.00","-4,983,000.00","-4,206,000.00","-1,777,000.00","-2,487,000.00","-164,000.00",0.00,0.00,"-27,000.00","-651,000.00",--,0.00,--,--,--,"-21,000.00", , , , , , 
AAN,Alinta Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , ,"-411,363,000.00", , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , ,"-343,920.00","-183,939.00","-221,371.00","-105,165.00","-264,284.00","-44,977.00","-27,082.00","-114,019.00","-81,327.00","-17,870.00","-129,549.00","-6,568.00","-141,773.00","-58,434.00","-416,196.00","-129,217.00","-81,583.00","-194,271.00","-106,852.00"
AAP1,AAPT Limited ,Annual Cash Flow - Payment for Purchase of PPE,"-218,108,000.00", , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Cash Flow - Payment for Purchase of PPE,"-153,603.00","-198,884.00","-160,667.00","-471,790.00","-886,189.00","-912,870.00","-1,017,757.00","-2,204,084.00","-2,873,637.00","-3,178,237.00","-1,894,462.00","-1,379,717.00","-630,346.00","-397,252.00","-321,493.00","-383,575.00","-202,922.00","-555,485.00","-1,732,063.00","-1,793,830.00","-2,975,350.00","-5,570,410.00", 
AAS,Asian Pacific Limited,Annual Cash Flow - Payment for Purchase of PPE,"-76,894.00","-595,000.00","-553,000.00","-572,000.00","-96,174.00","-142,000.00","-240,865.00","-960,210.00", , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , , ,0.00,0.00
AAT,AAT Corporation Limited,Annual Cash Flow - Payment for Purchase of PPE,"-1,333,278.00","-3,615,000.00","-3,047,000.00","-1,169,000.00","-2,842,000.00","-16,505,000.00","-10,933,000.00","-978,000.00","-10,260,000.00","-17,723,000.00", , ,--,"-250,000.00",0.00,--, , , , , , , 
AAU,Antilles Gold Limited,Annual Cash Flow - Payment for Purchase of PPE,"-2,621,000.00","-1,538,000.00","-715,000.00","-1,674,000.00","-998,000.00","-1,081,000.00","-1,517,000.00","-762,000.00","-7,807,529.00","-6,633,810.00","-13,634,322.00","-1,044,000.00","-2,214,000.00","-717,000.00","-536,000.00","-299,000.00","-551,000.00","-393,000.00","-2,208,809.00","-26,401.00","-4,988.00",0.00, 
AAU1,Adcorp Australia Limited,Annual Cash Flow - Payment for Purchase of PPE,"-2,621,000.00","-1,538,000.00","-715,000.00","-1,674,000.00","-998,000.00","-1,081,000.00","-1,517,000.00","-762,000.00","-1,170,000.00","-1,170,000.00","-594,000.00","-1,044,000.00","-2,214,000.00","-717,000.00","-536,000.00","-299,000.00","-551,000.00","-393,000.00","-2,208,809.00","-26,401.00", , , 
AAX,Ausenco Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , ,--,"-4,880,000.00","-4,657,000.00","-13,764,000.00","-13,223,000.00","-7,287,000.00","-11,435,000.00","-18,989,000.00","-9,861,000.00","-2,407,000.00","-1,456,000.00", , , , , , , 
AB1,Abarta Resources Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , ,--,0.00,0.00,0.00,"-1,376,071.00","-3,133,111.00","-891,835.00","-1,286,307.00","-27,523.00","-145,395.00","-9,147.00","-52,185.00","-103,672.00", , , 
AB11,Animoca Brands Corporation Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , ,--,0.00,0.00,0.00,"-1,376,071.00","-3,133,111.00","-891,835.00",0.00,"-27,523.00","-145,395.00","-9,147.00","-52,185.00","-103,672.00", , , 
ABA,Auswide Bank Ltd,Annual Cash Flow - Payment for Purchase of PPE,"-677,099.00","-1,100,943.00","-696,571.00","-285,788.00","-1,174,806.00","-1,619,650.00","-2,100,873.00","-1,747,402.00","-1,644,293.00","-1,100,206.00","-477,456.00","-1,109,736.00","-1,330,172.00","-1,320,254.00","-2,667,484.00","-2,761,940.00","-5,268,180.00",0.00,0.00,0.00,0.00,"-1,897,000.00","-2,743,000.00"
ABB,Aussie Broadband Limited,Annual Cash Flow - Payment for Purchase of PPE, ,"-1,017,000.00","-2,507,000.00","-1,322,000.00","-2,192,000.00","-46,914,000.00","-75,100,000.00","-60,800,000.00","-97,600,000.00", , , , , , , , , , , ,--,"-2,140,000.00","-1,736,000.00"
ABB1,ABB Grain Limited,Annual Cash Flow - Payment for Purchase of PPE, ,"-1,017,000.00","-2,507,000.00","-1,322,000.00","-2,192,000.00","-46,914,000.00","-75,100,000.00","-60,800,000.00","-97,600,000.00", , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Cash Flow - Payment for Purchase of PPE,"-44,038,000.00","-22,498,000.00","-25,659,000.00","-60,707,000.00","-50,126,000.00","-102,731,000.00","-81,525,000.00","-81,100,000.00","-56,000,000.00","-43,100,000.00","-51,700,000.00","-91,300,000.00","-120,600,000.00","-66,900,000.00","-60,400,000.00","-74,300,000.00","-86,500,000.00","-89,100,000.00","-112,700,000.00","-91,600,000.00","-136,400,000.00","-140,500,000.00", 
ABE,Australian Bond Exchange Holdings Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , , , , , , ,--,"-587,320.00"
ABF,Ausmani Limited,Annual Cash Flow - Payment for Purchase of PPE,"-1,490,957.00","-823,176.00","-3,498,003.00","-4,264,319.00","-3,439,835.00","-4,374,094.00","-1,332,767.00","-94,143.00","-15,089.00","-4,236,855.00","-3,976,082.00","-1,049,266.00",--,--,--,--, , , , , , , 
ABG,Abigroup Limited,Annual Cash Flow - Payment for Purchase of PPE,"-46,416,000.00","-4,459,000.00","-993,000.00","-4,120,000.00", , , , , , , , , , , , , , , , , , , 
ABL,Abilene Oil and Gas Limited,Annual Cash Flow - Payment for Purchase of PPE,"-10,000.00",0.00,0.00,0.00,0.00,--,--,"-155,942.00","-7,091,114.00","-5,529,155.00","-994,237.00","-2,971,226.00","-2,272,432.00","-755,604.00","-1,082,275.00","-254,119.00","-1,122,413.00","-194,310.00","-332,229.00","-116,099.00", , , 
ABP,Abacus Property Group,Annual Cash Flow - Payment for Purchase of PPE, , ,--,0.00,0.00,"-27,000.00","-9,516,000.00","-2,302,000.00","-21,653,000.00","-150,000.00","-87,180,000.00","-1,104,000.00","-1,230,000.00","-7,822,000.00","-6,764,000.00","-3,640,000.00","-3,555,000.00","-1,100,000.00","-2,105,000.00","-7,081,000.00","-7,794,000.00","-6,823,000.00","-3,745,000.00"
ABR,American Pacific Borates Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , , ,--, ,"-9,428,549.00","-4,572,766.00","-6,080,727.00","-25,549,359.00", 
ABS,A.B.C. Learning Centres Limited,Annual Cash Flow - Payment for Purchase of PPE,"-1,527,000.00","-9,412,000.00","-21,476,000.00","-22,592,000.00","-52,028,000.00","-259,100,000.00","-488,585,000.00","-755,300,000.00", , , , , , , , , , , , , , , 
ABT,Abundant Produce Limited,Annual Cash Flow - Payment for Purchase of PPE, , , , , , , , , , , , , , , ,--,"-441,461.00","-229,561.00","-581,141.00","126,998.00", , , 
