year,29M,ARI,ABB1,ABC,ABY1,AIS,AGL,ALK,AQZ,AMP,ALD,ALG,AOE,AHY,AIO,AGO,AMI,AZJ,AST,AQC,AHG,BPT,BGA,BHP,BIN,BSL,BLD,B2Y,BKN,BKW,BRS,CAA,CBH1,CEY,CTP,CHC,CIM,CWY,CCL,CGJ,CBA,CWN,CSL,CSR,CDU,CEP,CER,CRG,DCN,DJS,DXS,DOW,APE,ENV1,EPW,EVT,EVN,ESG,ELD,ENE1,FMG,FGL1,FXJ,FLX1,FML,GCY,GFF,GNC,GRR,GCL,GNS,HVN,HSO,HGO,HRL,IGO,ILU,IMA,IPL,ING,IVA,IGR,IPG2,JBH,KZL,LLC,LAU,AEJ
2008,NA,0.76,0.49,0.6107,1.49,NA,0.4562,1.2886,NA,1.177,1.09,NA,2.14,NA,1.66,1.94,2.476,NA,0.4,1.7661,0.87,1.635,NA,1.3882,NA,1.093,0.8672,NA,1.87,0.4668,1.6,0.9237,2.54,0.08,0.6184,2.0202,1.42,2.026,0.72,0.65,1.0191,1.01,1.016,1.3145,0.75,"$$ER: 0281,M TIME PERIOD MUST BE AT LEAST Y",2.72,0.88,NA,1.05,0.9278,0.5483,0.3276,0.79,NA,0.6391,1.5398,1.7,1.4444,0.88,2.2514,0.76,1.07,1.47,2.6003,NA,0.57,0.04,1.2536,0.41,1.31,1.5189,NA,2.3079,2.79,1.4641,0.2077,1.4697,0.0583,NA,NA,1.37,0.41,1.1546,1.97,1.3566,0.845,2.79
2009,NA,1.55,0.6,1.1275,4.66,NA,0.3451,1.5104,NA,1.0059,1.0943,NA,1.69,NA,3.99,2.23,1.9876,NA,0.22,1.5337,2.16,1.127,NA,1.0559,NA,1.4175,1.3384,NA,2.89,0.4788,2.5,1.1751,2.22,1.38,1.1474,2.9662,1.81,2.2063,0.28,0.32,0.9228,1.94,0.5895,1.8003,1.54,,2.27,1.2,NA,1.45,1.2784,0.9554,0.962,0.97,NA,0.5585,1.1862,1.59,1.8095,0.55,2.2993,0.32,1.63,2.32,1.1579,NA,0.55,0.7437,1.8994,1.5,1.36,1.5554,NA,2.3151,1.17,1.906,-0.0417,1.6058,1.0958,NA,6.13,1.26,0.19,1.0632,3.45,1.1885,0.626,1.81
2010,NA,1.57,0.46,1.0901,4.34,NA,0.3507,1.4518,NA,1.0812,0.9744,NA,1.66,NA,3.28,2.02,1.5788,NA,0.33,1.9168,1.97,0.914,NA,1.0137,NA,1.5173,1.4173,NA,2.75,0.4935,2.37,1.063,1.65,1.43,1.4443,2.5473,1.82,1.849,0.32,0.23,1.0066,1.54,0.5415,1.5342,1.77,,2.15,1.08,NA,1.38,1.1784,1.2219,0.9173,0.98,NA,0.477,1.2099,1.64,1.9059,0.57,1.8106,0.28,1.59,1.96,1.0276,1.6022,0.57,0.7438,1.6963,1.38,0.97,1.4456,NA,2.3594,1.04,1.8503,0.1226,1.431,1.1813,NA,4.25,1.24,0.16,1.0063,3.35,1.2453,0.5126,1.6
2011,NA,1.52,0.47,1.22,4.35,10.51,0.3116,1.4425,NA,1.1131,1.0164,NA,1.59,NA,3.09,1.8,1.6956,0.9653,0.38,2.3096,1.96,0.7746,NA,0.9162,NA,1.5697,1.3434,NA,2.72,0.5385,2.39,1.1888,1.39,1.52,1.2979,2.5536,1.94,1.7059,0.29,0.17,1.0347,1.45,0.4988,1.3965,1.65,,2.27,1.06,NA,1.5,1.2203,1.3545,0.9614,1,-0.63,0.5303,1.0229,1.81,1.9139,0.59,1.5757,0.24,1.64,1.96,0.7584,2.3506,0.56,0.8892,1.6522,1.32,1.06,1.4386,NA,2.3639,1.06,1.9457,0.12,1.4762,1.3477,NA,4.07,1.03,0.08,1.0461,3.33,1.2627,0.6787,1.61
2012,NA,1.63,0.4,1.2289,4.32,1.6179,0.2752,1.6496,0.725,1.1553,1.0794,NA,1.16,NA,2.75,2.01,1.7297,0.8011,0.4,2.3148,1.89,0.9648,-0.0787,0.9997,NA,1.5825,1.3679,NA,2.63,0.5388,2.46,1.2633,1.12,1.41,1.5393,2.4271,1.83,1.7245,0.22,0.09,1.0282,1.34,0.3512,1.2674,1.42,,2.05,0.87,NA,1.43,1.1364,1.4268,0.7724,0.94,0.37,0.4632,1.2432,1.46,1.6189,0.54,1.6694,0.15,1.57,1.66,0.7827,1.2397,0.89,0.8449,1.643,1.29,1.44,1.2865,NA,2.2796,0.77,1.9284,0.5921,1.2969,1.3854,NA,4.2,1.16,0.01,1.0007,3.04,1.2515,0.5708,1.47
2013,NA,2.01,0.36,1.339,4.46,0.7167,0.2519,2.0018,0.4085,1.2407,1.0746,NA,0.94,NA,2.79,1.78,1.4969,0.6935,0.43,1.8991,2.11,0.8569,0.3787,0.9659,NA,1.8931,1.6328,NA,2.61,0.565,2.63,1.3441,0.92,1.66,1.7631,2.3874,1.81,1.8842,0.18,0,0.9567,1.33,0.326,1.3277,1.61,,1.54,0.87,0.5871,1.45,1.0859,1.719,0.9973,0.92,0.48,0.4507,0.8749,1.19,1.5135,0.43,1.6595,-0.02,1.68,1.57,0.4519,1.2018,1.04,1.0304,1.4669,1.4,1.48,1.2393,NA,2.1985,0.54,1.9684,0.7842,1.3442,1.5695,NA,3.71,1,0,0.913,3.26,1.2646,0.5811,1.29
2014,NA,2.01,-0.02,1.0855,2.47,0.6751,0.3024,2.1483,-0.0745,1.4033,0.9883,NA,0.54,NA,0.96,1.45,1.3811,0.7053,0.7,2.143,1.32,1.2168,0.6877,1.1101,NA,1.9671,1.3755,NA,1.67,0.543,2.44,0.898,-0.33,0.73,2.1415,1.1558,1.61,1.6218,0.4,0,1.0196,0.82,0.417,0.4199,1.11,,0.85,0.38,0.3149,1.2,0.6538,2.2073,0.6033,0.74,0.55,0.2955,1.3239,0.84,1.2422,0.31,1.6783,-0.01,1.42,0.18,0.7869,1.5588,1.43,0.7308,0.7765,0.8,1.5,0.9444,NA,2.2102,0.36,2.0353,1.4522,1.2841,1.2611,NA,2.38,0.78,0,0.9557,1.91,1.4284,0.6701,0.94
2015,NA,2.85,0,1.0375,1.79,0.788,0.376,2.8052,0.1276,1.3757,1.2534,NA,-0.02,0.4,0.75,1.98,2.1852,0.5417,0.76,2.6043,1.22,1.5011,0.5943,1.2911,NA,1.738,1.2359,NA,1.55,0.5017,2.45,1.119,0.02,0.25,2.376,1.1765,1.59,1.673,0.47,0,0.8985,0.97,0.3636,0.611,0.56,,0.4,0.14,0.9318,1,0.7984,1.7922,0.6501,0.53,0.63,0.2559,1.4938,0.4,0.2216,0.06,2.1663,-0.11,1.44,0,0.62,1.2215,1.53,0.859,1.1967,0.47,1.91,0.9083,0.4,1.8664,0.04,2.5279,1.6089,1.7538,1.2003,NA,2.04,0.66,0,0.8604,1.16,1.2869,1.0076,0.81
2016,NA,2.81,0,0.8452,1.39,1.012,0.3418,1.8783,-0.0544,1.4302,1.0932,NA,0,0.01,0.62,1.82,1.8762,0.6116,0.72,2.1221,1.18,1.7367,0.8181,1.2188,NA,1.0736,1.4736,NA,1.26,0.4658,2.46,1.1602,0,0,2.4156,1.1998,1.26,1.3621,0.61,0,1.0292,1.17,0.4955,0.8036,0.33,,0.26,0,0.1429,0.76,0.7637,1.6588,0.7891,0.45,0.42,0.2544,1.1124,0.18,0.2074,0.1,1.9523,-0.06,1.24,0,0.3686,0.9432,1.31,0.8555,0.9841,0.36,1.4,0.7094,0.65,1.3467,-0.49,2.1032,1.2728,1.6577,1.1229,NA,1.47,0.37,0,0.6548,0.67,1.2825,0.8775,0.46
2017,NA,2.74,0,0.7903,0.53,1.5542,0.5919,0.7352,-0.3835,1.5995,1.0261,NA,0,-0.24,0.3,1.33,2.14,0.5779,0.88,1.3585,1.16,1.8424,1.229,1.0784,NA,0.5558,1.3143,NA,0.98,0.5027,2.1,0.9755,0,0,2.5419,0.9752,0.79,0.6178,0.97,0,1.1593,1.39,0.8431,1.0523,0.61,,0,0,0.1589,0.39,0.8137,1.4373,0.9349,0.43,0.72,0.3003,1.298,0,-0.0057,-0.01,1.3661,0,1.31,0,0.3881,1.2504,0.41,0.8821,0.9351,0,0,0.7371,0.82,1.0722,-0.48,1.9518,0.8171,1.7129,0.8169,-0.846,-0.3,-0.02,0,0.3933,0,1.2723,1.0192,-0.16
