yearmonth,year,month,29M,ARI,ABB1,ABC,ABY1,AIS,AGL,ALK,AQZ,AMP,ALD,ALG,AOE,AHY,AIO,AGO,AMI,AZJ,AST,AQC,AHG,BPT,BGA,BHP,BIN,BSL,BLD,B2Y,BKN,BKW,BRS,CAA,CBH1,CEY,CTP,CHC,CIM,CWY,CCL,CGJ,CBA,CWN,CSL,CSR,CDU,CEP,CER,CRG,DCN,DJS,DXS,DOW,APE,ENV1,EPW,EVT,EVN,ESG,ELD,ENE1,FMG,FGL1,FXJ,FLX1,FML,GCY,GFF,GNC,GRR,GCL,GNS,HVN,HSO,HGO,HRL,IGO,ILU,IMA,IPL,ING,IVA,IGR,IPG2,JBH,KZL,LLC,LAU,AEJ
200805,2008,05,,6344.3,1588.71,1985.34,874.31,,6388.73,101.5,,13761.43,4036.5,,2321.08,,2856.19,1168.54,38.53,,2605.39,33.53,469.34,1487.83,,145989.4,,8625.35,3531.98,,945.1,1433.08,1851.89,58.39,255.04,1711.61,47.02,636.55,14822.08,2312.12,5941.61,18305.47,56121.79,7174.04,21905.93,2869.56,439.89,"$$ER: 2361,NO DATA AVAILABLE",948.86,925.19,,1769.44,4803.22,2343.86,386.11,632.72,,704.77,20.03,541.39,1396.91,386.64,29859.72,10568.12,5236.86,4535.1,62.3,,2318.75,751.48,184.32,959.59,1227.81,3919.94,,115.61,4.71,753.69,1404.78,87.56,8773.75,,,188.79,4561.34,1027.09,1060.36,4881.68,27.06,969.65
200806,2008,06,,6537.62,1416.49,2039.73,686.29,,6339.96,99.39,,12542.77,3526.2,,2572.46,,2278.39,1055.54,24.86,,2218.24,25.02,429.28,1372.9,,146660.6,,8617.75,3309.4,,912.22,1592.31,1469.63,35.03,167.1,1908.75,66.86,461.55,14140.77,1723.32,5148.91,18305.47,53270.61,6329.24,19649.29,2407.68,381.76,,720.22,862.63,,1358.5,4195.22,2233.33,385.81,570.48,,624.04,16.23,513.27,858.43,388.4,33365.57,9741.88,4434.68,3337.52,52.34,,1861.62,527.62,195.84,1052.61,967.62,3282.55,,95.02,3.65,596.4,1793.1,72.44,11259.38,,,166.14,4561.34,1107.56,995.44,3830.74,27.06,464.85
200807,2008,07,,5957.67,1370.71,1903.75,455.96,,5923.21,77.57,,12299.03,3213,,2291.1,,2790.53,770.27,23.68,,2385.65,22.22,362.5,1195.01,,133269.9,,8830.74,3274.26,,954.65,1579.04,1485.48,41.85,123.13,1771.65,42.93,411.24,11818.74,2068.3,5670.79,18305.47,52713.63,5409.49,19043.85,2148.63,337.41,,674.49,865.29,,1643.74,4256.02,2246.33,281.94,686.36,,525.37,16.92,386.71,991.1,413.99,24410.06,9530.52,4162.24,4122.82,47.35,,1735.75,529.55,236.4,976.14,963.55,3452.53,,75.62,3.17,339.21,1827.36,50.15,9981.29,,,92.54,4561.34,1289.68,733.59,4023.28,27.06,501.17
200808,2008,08,,6010.39,1413.57,1969.02,512.36,,6805.48,80,,13048.97,3388.5,,2452.78,,3308.4,663.45,13.53,,2406.58,19.96,362.5,1184.71,,138941.6,,7014.43,3777.99,,1318.74,1579.04,1673.64,29.19,92.35,1956.54,40.4,431.89,13650.68,2044.16,6281.79,18305.47,56229.15,6233.86,24553.77,2708.71,323.11,,560.17,925.19,,2103.02,4499.22,2408.87,298.41,623.96,,602.26,14.85,404.29,1076.95,444.1,21470.82,10741.05,4268.19,3959.87,38.63,,1961,566.23,220.83,961.25,680.99,3941.19,,71.61,3.96,386,1701.73,47.76,9714.71,,96.87,77.12,4561.34,1483.15,677.33,3870.85,26.31,138
200809,2008,09,,4042.24,1355.31,1680.74,363.51,,6073.95,72.73,,13086.47,3334.5,,2035.1,,2208.26,451.05,11.5,,2176.39,18.83,322.43,932.59,,104038.4,,5591.19,3605.62,,1074.61,1583.02,1503.3,30.17,61.56,1341.33,37.27,427.04,11188.83,2052.91,6061.44,18305.47,56520.91,5791.44,22462.63,2532.94,271.84,,262.94,730.84,,2078.85,4411.7,2048.03,283.49,583.85,,636.72,21.76,274.21,1100.36,376.35,13079.48,10607.61,3995.75,3333.6,34.89,,1841.75,482.58,153.37,761.25,725.93,3282.55,,49.47,3.17,303.35,1789.29,39.8,6171.35,,53.12,61.69,4561.34,1311.09,599.43,3707.1,24.81,94.42
200810,2008,10,,3045.59,1413.62,1254.15,87.74,,6193.65,41.59,,10208.36,2535.3,,1743.1,,1467.52,237.55,5.08,,2301.95,13.93,162.17,1002.79,,93936.63,,3407.8,2641.76,,611.41,1408.44,806.12,21.41,46.61,1299.43,22.1,215.95,7389.69,1101.89,5921.09,18305.47,56225.09,4565.01,21936.28,2206.11,168.03,,251.5,602.53,,1505.69,2298.4,1590.67,228.08,570.48,,541.69,10.71,277.73,962.52,379.3,8281.9,10991.95,2916.67,2328.41,23.68,,2192.87,449.76,59.97,353.88,754.69,2740.77,,34.11,3.11,160.2,1370.52,27.06,4868.91,,18.75,46.27,4561.34,938.68,114.69,2826.76,24.27,90.79
200811,2008,11,,2268.75,1295.39,1091.16,43.87,,6825.89,35.47,,10588.82,1998,,1470.28,,730.26,191.26,4.74,,2155.46,9.79,97.3,894.28,,104038.4,,3091,2337.17,,416.26,1229.07,693.22,36.59,34.46,969.31,21.59,149.03,7249.64,841.39,6362.43,18305.47,47561.15,3161.44,20919.13,1695.52,156.63,,203.49,537.22,,1239.04,2560.64,1362.5,204.08,450.15,,528.79,8.64,231.9,684,351.99,5783.32,10530.75,2050.79,1079.79,28.66,,1782.12,350.67,53.05,297.92,614.58,2283.98,,27.63,2.69,168.12,1675.08,19.9,4093.8,,12.5,50.13,4561.34,889.39,95.22,3125.59,19.72,46.48
200812,2008,12,,2171.64,1307.39,1160.23,42.31,,6808.05,33.03,,10801.46,1941.3,,1885.45,,1055.21,255.51,6.09,,2014.4,13.19,95.39,992.53,,102159,,3044.62,2706.19,,338.58,1288.86,657.97,26.47,32.69,1233,24.42,139.1,8238.91,1013.8,6760.13,18305.47,42517.64,4308.84,20320.98,2263.46,213.9,,153.19,629.45,,1576.06,2850.98,1251.6,183.07,473.94,,586.83,18.14,423.32,528.36,356.54,5421.33,10569.18,2483.73,1727.66,27.42,,1762.25,373.19,38.63,319.31,732.4,2815.13,,46.05,2.54,244.54,1766.45,29.85,3979.71,,16.56,69.4,4561.34,1039.41,96.3,2907.53,27.3,79.9
200901,2009,01,,2145.16,1149.13,939.23,40.74,,6535.91,39.14,,10502.53,2367.9,,1498.51,,779.18,356.08,3.05,,2194.64,9.42,104.93,801.26,,102360.4,,3070.71,1938.85,,302.74,1395.16,803.3,35.03,36.4,1051.02,23.65,121.71,4994,839.65,6731.11,18305.47,39575.24,3998.49,22612.38,1832.63,255.26,,137.18,546.65,,1149.83,2642.38,1163.37,154.56,389.54,,586.83,21.24,338.65,466.92,333.78,4972.21,10515.39,2134.34,1355.4,33.65,,2033.87,335.87,198.14,287.42,601.84,2262.73,,44.35,3.65,281.9,1617.98,33.83,4267.4,,25,88.68,4561.34,1001.9,90.89,2742.25,24.27,42.13
200902,2009,02,,1500.73,1029.89,953.04,30.71,,5893.47,52.6,,9625.66,2538,,1879.3,,310.97,366.56,5.24,,2120.42,7.54,124.01,889.14,,96755.75,,2021.12,1657.69,,160.64,1336.69,745.63,19.46,33.73,650.27,25.7,89.42,5673.38,559.77,6592.9,18305.47,43841.7,3746.64,22106.84,1273.2,197.35,,89.17,504.91,,1159.75,2445.24,1222.19,142.31,415.51,,575.36,34.72,434.36,225.27,250.34,7445.36,10592.29,1412.76,1339.75,31.15,,1530.37,349.39,168.42,400.92,445.81,2029.02,,43.55,3.01,288.92,1637.01,35.82,3484.24,,23.19,88.12,4561.34,1141.88,90.52,2450.87,24.27,36.32
200903,2009,03,,1986.26,1033.34,1080.11,43.87,,6674.21,61.16,,9366.58,2405.7,,1922.53,,635.92,350.19,5.08,,1929.58,6.08,137.37,909.85,,107092.4,,2329.28,2114.58,,210.04,1310.12,840.38,27.64,33.73,746.88,33.41,145.18,5750.85,559.77,6380.44,18305.47,52747.92,4763.95,19607.17,1543.27,221.16,,64.02,560.11,,1387.73,2661.36,1454.21,159.46,454.46,,501.83,42.25,678.23,290.8,192.68,7206.8,9727.22,2387.23,1718.89,37.38,,1384.62,411.8,156.03,413.17,573.18,2730.15,,64.38,3.17,294.68,1534.22,41.39,3388.35,,93.38,90.32,4561.34,1235.48,110.34,2945.76,27.3,35.59
200904,2009,04,,2956.56,1506.84,1266.85,112.81,,6766.74,58.71,,10451.08,2673,,2352.11,,936.41,392.09,6.43,,2120.42,5.7,240.39,797.94,,111656.8,,2133.27,2424.92,,404.85,1421.73,1029.07,31.14,74.57,680,40.64,191.85,6278.26,559.77,6781.13,18305.47,53325.04,5169.36,20771.89,1736.18,239.31,,100.6,685.91,,1501.72,2683.26,1665.32,195.49,642.74,,530.21,42.9,636.87,356.34,269.93,7283.83,10159.25,2787.06,2194.29,62.4,,1558.33,469.71,131.27,427.05,700.56,3165.7,,60.59,3.17,449.12,1256.31,46.96,3372.37,,118.45,98.81,4561.34,1462.84,248.91,3303.67,27.61,67.55
200905,2009,05,,3579.69,1572.5,1400.2,175.49,,6261.03,80.73,,9746.29,3231.9,,2719.06,,960.87,467.85,9.63,,2049.55,5.7,275.46,808.3,,116321.7,,3395.78,2413.06,,436.58,1510.75,1070.4,29.19,124.28,836.92,41.05,222.96,6763.95,559.77,6262.16,18305.47,53370.63,5425.31,17621.99,2096.27,362.48,,192.06,747.99,,1807.37,3549.13,1552.75,213.67,610.28,,588.27,116.01,703.04,204.79,228.29,8092.98,9445.98,2692.99,2325.91,74.09,,1727.71,529.07,297.21,572.92,627.32,3112.59,,76.41,3.17,441.32,1331.47,51.74,4271.36,,128.48,152.93,4561.34,1339.51,304.08,3161.82,28.38,58.11
200906,2009,06,,3420.59,1607.06,1411.81,178.62,,6019.36,77.06,,9826.84,3739.5,,2576.4,,1650.77,570.67,11.82,,2050.46,4.18,313.87,818.66,,116523,,4612.94,2413.06,,546.99,1826.99,946.41,35.03,97.65,919.53,45.14,389.16,7002.33,559.77,6390.25,18305.47,59233.2,5476.39,19402.29,2186.3,346.22,,226.35,782.69,,2277.99,3525.63,1850.72,245.94,633.91,,554.72,117.18,652.99,233.46,308.5,11708.9,9927.92,2869.38,2789.52,71.45,,1768.36,535.02,225.38,426.2,684.63,3505.64,,68.15,4.04,526.03,1197.48,54.01,3807.43,,125.34,138.83,4561.34,1651.6,366.16,3207.58,30.68,60.29
200907,2009,07,,3964.17,1539.67,1562.4,217.79,,6668.29,68.5,,11316.98,3518.1,,3117.84,,4535.27,774.22,10.07,,2077.09,4.94,381.49,888.83,,127027.6,,6144.51,2958.52,,670.1,1720.69,1157.19,36.98,102.09,1117.64,49.09,348,8992.78,376.29,6927.74,18305.47,65004.63,5649.64,18439.03,2391.59,374.55,,221.78,847.47,,2573.37,3431.61,2148.69,261.68,679.65,,599.88,128.9,915.74,311.28,378.24,13044.52,10390.59,3469.13,3516.54,66.15,,1876.77,720.67,208.25,491.77,616.87,3484.4,,101.19,3.64,602.35,1318.91,55.29,4450.6,,118.76,112.94,4561.34,1812.47,684.17,3546.18,30.68,58.11
200908,2009,08,,4309,1594.96,1719.27,332.17,,6247.6,86.85,,12807.11,3339.9,,3340.74,,4652.49,631.41,14.01,,2050.46,4.56,442.43,827.78,,123503.7,,5214.63,3432.83,,798.28,1838.95,1673.79,29.19,88.77,1312.01,74.98,396.64,11010.05,1306.47,7358.45,18305.47,69864.81,5958.49,19440.96,2630.1,657.81,,285.8,806.6,,2498.28,3502.13,2655.24,275.43,640.44,,722.43,152.33,882.9,319.47,415.29,13635.87,10564.08,3457.37,3390.81,71.45,,2086.8,751.42,337.17,510.62,735.74,4185.53,,103.26,6.92,496.66,1653.87,56.56,4853.73,,175.48,120.01,4561.34,1922.07,585.98,4314.9,29.14,52.3
200909,2009,09,,4017.43,1615.7,1750.64,401.12,,6117.81,108.43,,13129.3,3269.7,,3134.59,,4842.69,647.46,33.12,,2356.69,5.7,453.72,785.87,,126624.9,,5342.29,3625.46,,854.89,1977.54,1756.44,28.03,107.13,1203.75,109.59,472.87,10784.87,1469.78,7284.43,18305.47,78597.94,6726.84,20011.55,2423.82,710.33,,422.98,852.2,,2923.83,4027.35,2711.52,314.43,751.54,,645.03,169.91,777.82,196.6,381.33,11813.23,10709.16,4033.6,3369.2,100.55,,2262.96,867.69,277.73,517.18,928.11,4567.96,,122.57,9.13,517.11,1666.43,62.09,4563.48,,225.62,141.19,4561.34,2147.34,655.44,4884.14,34.56,53.75
200910,2009,10,,4117.91,1615.7,1800.97,405.82,,6225.8,93.39,,12189.43,2770.2,,3010.09,,4476.93,721.48,35.77,,2343.38,4.56,492.09,847.97,,125685.1,,5506.38,3452.82,,814.67,1731.18,1774.89,93.03,107.13,1197.48,84.87,409.07,10734.18,1460.17,7960.82,18305.47,80164.31,6216.83,18841.59,2481.83,790.48,,377.26,702.26,,2683.52,3836.7,2876.34,308.13,692.73,,770.16,181.63,718.96,644.88,375.89,11906.79,10593.39,3786.64,3417.34,148.33,,2222.42,1049.37,262.01,495.87,819.28,4238.64,,135.04,10.07,489.84,1465.45,78.25,4289.34,,231.22,130.79,4561.34,2250.58,689.05,4322,34.95,53.02
200911,2009,11,,3985.08,1615.7,1579.02,432.45,,6212.33,99.61,,12660.62,2624.4,,2856.29,,4842.69,758.06,29.42,,2290.12,4.94,523.7,895.97,,138606,,4941.16,3333.75,,921.29,1855.17,1625.95,153.22,104.94,1235.22,79.03,465.37,10648.3,1296.86,7930.98,18305.47,81008.19,5900.34,18870.77,2416.72,728.08,,377.26,694.5,,2900.3,3860.53,2846.31,319.46,659.98,,884.01,187.49,718.01,672.88,421.31,13025.82,10844.71,3845.44,3305.26,165.45,,2111.99,1205.78,272.49,517.18,730.09,4567.96,,130.88,12.94,546.66,1503.13,65.13,4595.73,,263.61,159.44,4561.34,2511.06,699.13,4183.77,41.22,55.2
200912,2009,12,,4450.08,1615.7,1743.9,387.01,,6311.09,87.16,,13869.32,2511,,3046.7,,5325.5,844.61,38.59,,2475.2,10.97,539.5,994.2,,144714.1,,5670.48,3542.11,,884.95,1837.5,1758.34,129.95,109.46,1514.8,86.05,525.42,11367.13,1301.66,8626.97,18305.47,84153.38,6058.58,18970.2,2734.43,694.27,,377.26,734.89,,2719.03,4051.18,3119.93,358.6,686.92,,866.95,270.45,713.81,699.79,426.01,13743.63,10617.21,4092.4,3324.93,179.71,4.32,2250.03,1229.58,310.26,745.85,758.33,4482.97,,176.59,12.94,548.93,1498.95,71.6,5768.36,,249.98,196.32,4561.34,2446.12,705.86,4732.09,36.81,69
