ticker,industry
29M,122
ARI,56
ABB1,35
ABC,206
ABY1,54
AIS,122
AGL,91
ALK,122
AQZ,129
AMP,104
ALD,240
ALG,55
AOE,50
AHY,48
AIO,81
AGO,122
AMI,122
AZJ,81
AST,169
AQC,54
AHG,90
BPT,50
BGA,71
BHP,122
BIN,47
BSL,56
BLD,30
B2Y,49
BKN,43
BKW,30
BRS,86
CAA,93
CBH1,122
CEY,49
CTP,50
CHC,163
CIM,39
CWY,47
CCL,114
CGJ,87
CBA,102
CWN,100
CSL,95
CSR,30
CDU,209
CEP,127
CER,161
CRG,30
DCN,119
DJS,87
DXS,239
DOW,216
APE,90
ENV1,31
EPW,91
EVT,115
EVN,119
ESG,50
ELD,35
ENE1,96
FMG,56
FGL1,67
FXJ,84
FLX1,49
FML,122
GCY,119
GFF,71
GNC,35
GRR,122
GCL,49
GNS,38
HVN,87
HSO,45
HGO,122
HRL,96
IGO,122
ILU,122
IMA,122
IPL,92
ING,35
IVA,122
IGR,119
IPG2,160
JBH,90
KZL,54
LLC,39
LAU,131
AEJ,169
