ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , ,--, ,0.29,0.09,0.10, 
1AD,AdAlta Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , ,--,0.28,0.37,0.16,0.09,0.12,0.05
1AE,Aurora Energy Metals Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , , ,--, 
1AG,Alterra Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , ,0.34,0.20,0.09,0.17,0.16,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.04, 
1AL,OneAll International Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,--,0.95,0.94,0.90,0.86, , , 
1MC,Morella Corporation Limited,Annual Ratio Analysis - Year End Share Price ($),--,0.23,0.21,0.09,0.14,0.22,0.15,0.41,0.51,0.17,0.14,0.18,0.17,0.09,0.14,0.02,0.19,0.12,0.33,0.12,0.06,0.07, 
1PG,1-Page Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , ,0.14,0.24,0.23,0.05,0.04,0.04,0.04,0.03,0.00,1.06,3.47,0.18, , , , , 
1ST,1ST Group Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,0.14,0.06,0.03,0.04,0.07,0.03,0.02,0.01
1VG,Victory Goldfields Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , ,--, , 
29M,29Metals Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , ,--,3.07, 
2BE,Tubi Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , ,--,0.27,0.08,0.05, 
360,Life360 Inc,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , ,--,3.15,3.80,9.71, 
3DA,Amaero International Ltd,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , ,--,0.14,0.57,0.17
3DP,Pointerra Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , ,--,0.33,0.06,0.01,0.01,0.00,0.00,0.00,0.00,0.03,0.03,0.04,0.04,0.04,0.49,0.24
3MF,3D Metalforge Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , ,--,0.10, 
3PL,3P Learning Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , ,--,--,2.22,0.73,1.04,1.25,0.98,0.86,1.31,1.24
4DS,4DS Memory Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , ,--,0.20,0.08,0.04,0.01,0.04,0.03,0.04,0.04,0.06,0.05,0.14,0.07
4DX,4DMedical Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , ,--, ,1.23,0.59
4WD,Automotive Solutions Group Ltd,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , ,--,0.35, , , , , 
5GG,Pentanet Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , ,--,0.68,0.27
5GN,5G Networks Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , ,--,0.44,1.66,1.18,0.85, 
88E,88 Energy Limited,Annual Ratio Analysis - Year End Share Price ($),0.07,0.03,0.10,0.06,0.06,0.07,0.10,0.05,0.03,0.06,0.25,0.60,0.30,0.23,0.01,0.01,0.04,0.03,0.02,0.02,0.01,0.03, 
8CO,8Common Ltd,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,0.22,0.18,0.03,0.05,0.15,0.06,0.14, 
8IH,8I Holdings Ltd,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , ,--,0.52,0.94,0.62,0.16,0.07,0.08,0.21,0.12
8VI,8VI Holdings Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , ,--,0.20,0.12,1.00,0.55,0.26,2.15,2.31
92E,92 Energy Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , , , ,--,0.29, 
99L,99 Loyalty Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , ,--,0.36,0.40,0.12,0.09,0.14,0.14,0.07,0.09,0.04, 
9SP,9 Spokes International Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , ,--,0.17,0.06,0.03,0.01,0.02,0.01
A1C,AIC Resources Limited,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , ,--,0.19, , , , 
A1G,African Gold Limited ,Annual Ratio Analysis - Year End Share Price ($), , , , , , , , , , , , , , , , , , ,--,0.17,0.23,0.18, 
