ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , , ,--, ,-2.58,-1.65,-3.11, 
1AD,AdAlta Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , ,--,-3.15,-3.81,-5.00,-3.66,-2.40,-2.18
1AE,Aurora Energy Metals Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , , , , , , ,--, 
1AG,Alterra Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , ,-5.89,-6.33,0.80,1.62,5.64,-0.07,-1.76,0.08,0.22,-1.44,0.24,0.63,-0.99,-1.04, 
1AL,OneAll International Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , ,--,8.68,6.10,7.13,1.61, , , 
1MC,Morella Corporation Limited,Annual Per Share Statistics - EPS Bef. Abs,-1.50,-2.95,2.00,-0.97,1.63,2.63,-3.80,-3.88,-1.89,-4.60,-0.54,-0.59,-0.45,-0.22,-1.54,-6.09,-3.50,-0.45,-0.74,-1.39,-3.75,-2.44, 
1PG,1-Page Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , ,-1.28,-0.95,-2.32,-3.55,-0.63,-6.08,-0.69,2.35,-0.24,-9.44,-13.96,-18.98, , , , , 
1ST,1ST Group Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , ,--,-6.40,-5.57,-2.48,-2.24,-1.75,-1.28,-1.52,-1.29
1VG,Victory Goldfields Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , , , , , ,--, , 
29M,29Metals Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , , , , , ,--,48.57, 
2BE,Tubi Limited,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , , , ,--,0.78,-1.92,-2.78, 
360,Life360 Inc,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , , , ,--,-39.89,-14.33,-29.87, 
3DA,Amaero International Ltd,Annual Per Share Statistics - EPS Bef. Abs, , , , , , , , , , , , , , , , , , , ,--,-4.05,-3.70,-4.17
