ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , ,--, ,0.00,"2,489,643.00","1,255,232.00", 
1AD,AdAlta Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , ,--,--,--,--,--,--,"1,613,386.00"
1AE,Aurora Energy Metals Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , , ,--, 
1AG,Alterra Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , ,--,--,"59,535.00","107,596.00","3,385,209.00","2,637,429.00","1,943,500.00","1,196,580.00","81,083.00","1,790,552.00","1,750,000.00","1,750,000.00","5,513,551.00","13,973,657.00", 
1AL,OneAll International Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , ,--,--,"132,283.00","3,459,692.00","6,805,093.00", , , 
1MC,Morella Corporation Limited,Annual Balance Sheet - NCL Long-Term Debt,--,"550,948.00","493,323.00","445,349.00","67,701.00","71,018.00","46,877.00","20,830.00","515,000.00","1,292,000.00","2,172,000.00","46,000.00","21,000.00","12,841,000.00","16,818,000.00","16,895,000.00","18,437,000.00",0.00,"145,887,000.00",0.00,"192,993,000.00",--, 
1PG,1-Page Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , ,--,--,--,--,--,--,--,--,0.00,--,--,--, , , , , 
1ST,1ST Group Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , ,--,0.00,0.00,0.00,"964,902.00","1,835,854.00","1,491,870.00","3,250,000.00","4,650,010.00"
1VG,Victory Goldfields Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , ,--, , 
29M,29Metals Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , ,"208,268,000.00","189,858,000.00", 
2BE,Tubi Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , ,0.00,0.00,"744,619.00",0.00, 
360,Life360 Inc,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , ,"4,675,545.00","155,580.00","2,086,471.00","11,815,049.00", 
3DA,Amaero International Ltd,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , ,--,"2,904,163.00","2,470,423.00", 
3DP,Pointerra Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , ,--,0.00,"5,285,193.00",--,--,--,--,--,--,--,--,--,--,"345,837.00","304,951.00","284,318.00"
3MF,3D Metalforge Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , ,"2,137,000.00","2,695,637.00", 
3PL,3P Learning Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , ,0.00,"36,000.00",0.00,"11,500,000.00","9,530,000.00","18,000.00","4,000.00","3,229,000.00","1,497,000.00","1,039,000.00"
4DS,4DS Memory Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , ,--,--,--,--,--,--,--,--,--,--,"283,190.00","158,187.00","51,987.00"
4DX,4DMedical Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , ,"796,000.00", ,"965,355.00","5,138,733.00"
4WD,Automotive Solutions Group Ltd,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , ,0.00,"34,451.00", , , , , 
5GG,Pentanet Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , , , , ,"1,264,068.00","1,008,000.00","1,312,000.00"
5GN,5G Networks Limited,Annual Balance Sheet - NCL Long-Term Debt, , , , , , , , , , , , , , , , , ,"156,417.00","131,839.00","17,902,000.00","13,880,000.00","36,973,000.00", 
