ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , ,0.00, ,50855027.28,15734347.99,19029493.51, 
1AD,AdAlta Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , ,0.00,28311049.20,37682962.65,24091108.16,13935377.11,30646981.62,16965976.28
1AE,Aurora Energy Metals Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , , , ,0.00, 
1AG,Alterra Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , ,12707500.00,7475000.00,3453653.96,10012970.88,12695678.08,2584549.70,2515967.71,4403199.62,5779199.50,5456799.54,6318399.47,5653552.14,8705434.42,9722169.59, 
1AL,OneAll International Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , ,0.00,122550000.00,121905000.00,116100000.00,111813691.20, , , 
1MC,Morella Corporation Limited,Annual Ratio Analysis - Market Cap.($),0.00,7967026.58,7865360.37,3596086.80,5394130.20,11981349.16,8358101.70,23642831.37,64466048.67,21075453.80,27349250.18,60356233.91,79497631.67,40884496.29,63598105.34,19266564.84,232267381.38,192709750.00,591456604.05,244428184.74,182160839.78,209037029.25, 
1PG,1-Page Limited,Annual Ratio Analysis - Market Cap.($), , , , , , ,3031070.00,9670920.00,11615115.00,2525025.00,2272522.50,1767517.50,2171521.50,1914016.50,1366002.00,126664796.46,533385699.26,27969104.38, , , , , 
1ST,1ST Group Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , ,0.00,10515480.88,11580006.70,5378994.61,7861607.50,24166257.11,13163123.99,8704646.51,2644162.40
1VG,Victory Goldfields Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , , ,0.00, , 
29M,29Metals Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , , ,0.00,1474996850.00, 
2BE,Tubi Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , ,0.00,65648448.00,19451392.00,15254032.17, 
360,Life360 Inc,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , ,0.00,461450011.05,556783695.00,1754261004.87, 
3DA,Amaero International Ltd,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , ,0.00,24479511.14,116022090.67, 
3DP,Pointerra Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , ,0.00,28506716.55,4926043.87,3679128.87,4047041.76,1306238.66,543412.90,5307583.30,1983579.69,10431749.02,9346053.93,21235212.84,22412593.82,25755370.70,332125039.96,162673488.96
3MF,3D Metalforge Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , , ,0.00,19011928.50, 
3PL,3P Learning Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , ,0.00,0.00,299288545.20,102190114.95,145395207.65,174042712.50,136547486.60,119956386.20,362194262.70,341457949.95
4DS,4DS Memory Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , ,0.00,8200001.00,3280000.40,1786000.19,1410514.30,6508781.56,16478912.85,31285844.32,41476275.39,64356092.94,52465049.53,191537523.94,103424330.94
4DX,4DMedical Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , ,0.00, ,360752500.32,123283900.17
4WD,Automotive Solutions Group Ltd,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , ,0.00,17620967.70, , , , , 
5GG,Pentanet Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , , ,0.00,198988456.28,79868892.51
5GN,5G Networks Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , ,0.00,22111559.80,105094155.00,102362929.10,97121954.55, 
88E,88 Energy Limited,Annual Ratio Analysis - Market Cap.($),9756424.93,9937974.98,404064.20,242438.52,242438.52,8156532.92,13703151.55,10333497.13,926160.22,2137292.82,20482148.50,52645946.40,39128872.80,41026116.70,4517367.23,24657122.26,187613118.81,120893862.23,107636185.51,151173887.13,84818437.73,370276904.90, 
8CO,8Common Ltd,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , ,0.00,11880000.00,10440747.90,1914137.11,6806506.80,23065304.40,11523778.43,27068817.06, 
8IH,8I Holdings Ltd,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , ,0.00,185714984.00,335480548.00,224426722.70,57916573.60,23555230.20,28940727.60,77183375.67,41185960.05
8VI,8VI Holdings Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , ,0.00,136732800.00,78439680.00,43577596.00,22300092.10,10339133.61,88955015.90,97901094.06
92E,92 Energy Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , , ,0.00,19524575.30, 
99L,99 Loyalty Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , ,0.00,373967867.50,428009618.00,133753005.62,100892400.38,162355586.82,156557173.00,85816524.46,100892400.38,42908262.23, 
9SP,9 Spokes International Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , ,0.00,64637760.00,26622860.00,12877046.00,14586720.00,34346774.00,8960022.00
A1C,AIC Resources Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , ,0.00,14250000.19, , , , 
A1G,African Gold Limited ,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , ,0.00,9877000.17,17559178.19,21998410.68, 
A1M,AIC Mines Limited,Annual Ratio Analysis - Market Cap.($),7764874.13,10148550.67,17489976.52,5398140.90,33657471.62,53455984.34,125474852.28,52717191.51,94138517.00,124091681.50,1035839430.00,570957260.00,116638194.75,175274190.00,49932315.00,44404560.00,21013932.70,18774642.70,14061711.84,15080078.88,27486007.20,162075384.45, 
A200,BetaShares Australia 200 ETF,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , ,49627200.00,516635150.00,799662900.00,1491752490.00, 
A2B,A2B Australia Limited,Annual Ratio Analysis - Market Cap.($),228249401.44,401419831.68,302176354.56,332890549.30,385479716.08,505048756.50,713802414.24,1455850396.03,987531600.60,621422324.28,619046251.96,620218017.45,602153415.00,485335652.49,486539959.32,440776299.78,384173878.77,304689627.99,289033639.20,212560155.50,97548853.23,151742660.58,133353751.30
A2M,The a2 Milk Company Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , ,405329266.56,1246000113.75,2733475131.92,7680010984.84,10180420409.25,13805230617.66,4460464740.00,3264652157.92
A3D,Aurora Labs Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , ,0.00, ,61953000.00,32471639.14,28363229.12,6919502.71,11314338.78,6998006.58
A40,Alita Resources Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , ,0.00, , , , 
A4N,Alpha HPA Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , ,4892500.00,2300231.82,19750062.42,33353719.82,6733145.82,2668663.37,9474545.94,3158181.98,4105636.57,9588000.36,50319001.66,65216502.07,119065779.00,438608158.90,330126948.96
A8G,Australasian Metals Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , , , , , , ,0.00,6606916.45, 
AAA,BetaShares Australian High Interest Cash ETF,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , ,34665600.00, , ,706484220.00,890818520.00,1246323140.00,1310720400.00,1509013440.00,1969080300.00,2119207720.00, 
AAB,Absolute Return Fund (The),Annual Ratio Analysis - Market Cap.($), , , ,4689116.80,36456180.00, , , , , , , , , , , , , , , , , , 
