nger_name,morningstar_name,match_score,ticker
abb grain,abb grain,100,ABB1
aditya birla minerals,aditya birla minerals,100,ABY1
agl energy,agl energy,100,AGL
amp,amp,100,AMP
arrow energy,arrow energy,100,AOE
asciano,asciano,100,AIO
babcock & brown infrastructure,babcock & brown infrastructure,100,BBI
bluescope steel,bluescope steel,100,BSL
boral,boral,100,BLD
bradken,bradken,100,BKN
brickworks,brickworks,100,BKW
centennial coal company,centennial coal company,100,CEY
centro properties,centro properties,100,CEP
coca-cola amatil,coca-cola amatil,100,CCL
commonwealth bank of australia,commonwealth bank of australia,100,CBA
csr,csr,100,CSR
dexus,dexus,100,DXS
downer edi,downer edi,100,DOW
energy developments,energy developments,100,ENE1
envestra,envestra,100,ENV1
felix resources,felix resources,100,FLX1
fortescue metals,fortescue metals,100,FMG
foster's,foster's,100,FGL1
goodman fielder,goodman fielder,100,GFF
graincorp,graincorp,100,GNC
grange resources,grange resources,100,GRR
harvey norman,harvey norman,100,HVN
hrl,hrl,100,HRL
iluka resources,iluka resources,100,ILU
incitec pivot,incitec pivot,100,IPL
bega cheese,bega cheese,100,BGA
crane,crane,100,CRG
david jones,david jones,100,DJS
fairfax media,fairfax media,100,FXJ
healthscope,healthscope,100,HSO
kagara,kagara,100,KZL
ardent leisure,ardent leisure,100,ALG
automotive,automotive,100,AHG
cbh resources,cbh resources,100,CBH1
charter hall,charter hall,100,CHC
csl,csl,100,CSL
eastern star gas,eastern star gas,100,ESG
elders,elders,100,ELD
erm power,erm power,100,EPW
gloucester coal,gloucester coal,100,GCL
gunns,gunns,100,GNS
investa property,investa property,100,IPG2
lindsay australia,lindsay australia,100,LAU
redbank energy,redbank energy,100,AEJ
central norseman gold,central norseman gold,100,CNG1
centro retail,centro retail,100,CER
evolution mining,evolution mining,100,EVN
focus minerals,focus minerals,100,FML
integra mining,integra mining,100,IGR
atlas iron,atlas iron,100,AGO
aurizon,aurizon,100,AZJ
beach energy,beach energy,100,BPT
federation,federation,100,FDR1
hillgrove resources,hillgrove resources,100,HGO
inova  resources,inova resources,97,IVA
asaleo care,asaleo care,100,AHY
ausnet services,ausnet services,100,AST
crown resorts,crown resorts,100,CWN
aeris resources,aeris resources,100,AIS
broadspectrum,broadspectrum,100,BRS
cimic,cimic,100,CIM
cleanaway waste management,cleanaway waste management,100,CWY
event hospitality and entertainment,event hospitality and entertainment,100,EVT
alkane resources,alkane resources,100,ALK
capral,capral,100,CAA
central petroleum,central petroleum,100,CTP
lendlease,lendlease,100,LLC
a.c.n. 004 410 833,a.c.n 004 410 833,97,ARI
cudeco,cudeco,100,CDU
jb hi-fi,jb hi-fi,100,JBH
australian pacific coal,australian pacific coal,100,AQC
bounty mining,bounty mining,100,B2Y
alliance aviation services,alliance aviation services,100,AQZ
aurelia metals,aurelia metals,100,AMI
bhp,bhp,100,BHP
bingo industries,bingo industries,100,BIN
coles,coles,100,CGJ
dacian gold,dacian gold,100,DCN
gascoyne resources,gascoyne resources,100,GCY
inghams,inghams,100,ING
adbri,adbri,100,ABC
ampol,ampol,100,ALD
igo,igo,100,IGO
image resources nl,image resources nl,100,IMA
eagers automotive,eagers automotive,100,APE
29metals,29metals,100,29M
