ASX Code,Company Name
14D,1414 Degrees Limited
1AD,AdAlta Limited
1AE,Aurora Energy Metals Limited
1AG,Alterra Limited
1AL,OneAll International Limited
1CG, One Click Group Limited
1MC,Morella Corporation Limited
1PG,1-Page Limited
1ST,1ST Group Limited
1VG,Victory Goldfields Limited
29M,29Metals Limited
2BE,Tubi Limited
360,Life360 Inc
3DA,Amaero International Ltd
3DP,Pointerra Limited
3MF,3D Metalforge Limited
3PL,3P Learning Limited
4DS,4DS Memory Limited
4DX,4DMedical Limited
4WD,Automotive Solutions Group Ltd
5GG,Pentanet Limited
5GN,5G Networks Limited
88E,88 Energy Limited
8CO,8Common Ltd
8IH,8I Holdings Ltd
8VI,8VI Holdings Limited
92E,92 Energy Limited
99L,99 Loyalty Limited
9SP,9 Spokes International Limited
A1C,AIC Resources Limited
A1G,African Gold Limited 
A1M,AIC Mines Limited
A200,BetaShares Australia 200 ETF
A2B,A2B Australia Limited
A2M,The a2 Milk Company Limited
A3D,Aurora Labs Limited
A40,Alita Resources Limited
A4N,Alpha HPA Limited
A8G,Australasian Metals Limited
AAA,BetaShares Australian High Interest Cash ETF
AAC,Australian Agricultural Company Limited
AAG,Aragon Resources Limited
AAH,Arana Therapeutics Limited
AAI,Alcoa Inc.
AAJ,Aruma Resources Limited
AAK,Australia China Holdings Limited
AAP,Australian Agricultural Projects Limited
AAR,Astral Resources NL
AASF,Airlie Australian Share Fund (Managed Fund)
AAT,AAT Corporation Limited
AAU,Antilles Gold Limited
AAU1,Adcorp Australia Limited
AAX,Ausenco Limited
AB1,Abarta Resources Limited
AB11,Animoca Brands Corporation Limited
ABA,Auswide Bank Ltd
ABB,Aussie Broadband Limited
ABB1,ABB Grain Limited
ABC,ADBRI Limited
ABE,Australian Bond Exchange Holdings Limited
ABF,Ausmani Limited
ABL,Abilene Oil and Gas Limited
ABP,Abacus Property Group
ABR,American Pacific Borates Limited
ABT,Abundant Produce Limited
ABV,Advanced Braking Technology Ltd
ABW,Aurora Absolute Return Fund
ABX,ABx Group Limited
ABY,Adore Beauty Group Limited
ABY1,Aditya Birla Minerals Limited
AC8,AusCann Group Holdings Ltd
ACB,A-Cap Energy Limited
ACDC,Global X Battery Tech & Lithium ETF
ACE,Acusensus Limited
ACF,Acrow Formwork and Construction Services Limited
ACL,Australian Clinical Labs Limited
ACN,Acer Energy Limited
ACO,Australian Careers Network Limited
