ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , ,"141,000.00", ,"135,487.00","2,878,920.00","1,774,936.00", 
1AD,AdAlta Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , ,510.00,0.00,0.00,"138,105.00","98,648.00","71,689.00","63,805.00"
1AE,Aurora Energy Metals Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , , ,"2,852.00", 
1AG,Alterra Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , ,"33,294.00","1,668,324.00","6,243,597.00","9,936,207.00","19,365,578.00","11,889,957.00","9,872,698.00","8,506,213.00","5,782,873.00","147,580.00","67,608.00","72,894.00","6,247,502.00","16,840,213.00", 
1AL,OneAll International Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,"5,590,000.00","5,291,268.00","4,967,976.00","10,566,335.00","11,776,045.00", , , 
1MC,Morella Corporation Limited,Annual Balance Sheet - NCA PP&E,0.00,"3,895,819.00","4,942,016.00","4,477,135.00","2,746,479.00","1,518,310.00","745,678.00","445,253.00","4,614,000.00","5,861,000.00","4,291,000.00","3,633,000.00","3,372,000.00","3,349,000.00","31,567,000.00","1,382,000.00","526,000.00","60,036,000.00","222,149,000.00","288,680,000.00","290,249,000.00","29,074.00", 
1PG,1-Page Limited,Annual Balance Sheet - NCA PP&E, , , , , , ,"51,580.00","76,532.00","87,184.00","48,337.00","26,344.00","7,852.00","1,210.00",139.00,0.00,"34,015.00","185,915.00","169,544.00", , , , , 
1ST,1ST Group Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , ,"41,430.00","72,140.00","64,011.00","69,824.00","47,604.00","32,140.00","89,228.00","40,300.00","48,536.00"
1VG,Victory Goldfields Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , ,0.00, , 
29M,29Metals Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , ,"874,556,000.00","872,419,000.00", 
2BE,Tubi Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , ,"8,265,000.00","16,814,696.00","20,553,717.00","17,527,755.00", 
360,Life360 Inc,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , ,"425,049.00","780,759.00","4,465,074.00","3,041,620.00", 
3DA,Amaero International Ltd,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , ,"1,608,381.00","7,382,211.00","6,102,903.00","8,593,258.00"
3DP,Pointerra Limited,Annual Balance Sheet - NCA PP&E, , , , , , , ,"22,488.00","62,109.00","72,594.00",0.00,0.00,"1,383.00",964.00,545.00,0.00,"4,873.00","60,768.00","60,706.00","58,735.00","463,216.00","536,745.00","467,320.00"
3MF,3D Metalforge Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , ,"1,119,000.00","2,397,233.00", 
3PL,3P Learning Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , ,"1,500,000.00","1,322,000.00","965,000.00","1,216,000.00","1,070,000.00","926,000.00","1,042,000.00","3,492,000.00","2,264,000.00","2,174,000.00"
4DS,4DS Memory Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , ,0.00,"51,875.00","31,670.00","22,186.00","15,531.00","10,873.00","23,173.00","36,107.00","374,087.00","318,162.00","587,832.00","615,353.00","408,647.00"
4DX,4DMedical Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , ,"1,932,000.00", ,"2,817,233.00","10,350,371.00"
4WD,Automotive Solutions Group Ltd,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , ,"1,873,000.00","2,211,598.00", , , , , 
5GG,Pentanet Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , ,"5,496,958.00","10,775,000.00","18,469,000.00"
5GN,5G Networks Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , ,"401,101.00","1,083,413.00","19,254,000.00","21,431,000.00","31,351,000.00", 
88E,88 Energy Limited,Annual Balance Sheet - NCA PP&E,"4,033,434.00","6,507,055.00","70,345.00",--,--,--,0.00,0.00,"11,546.00","7,105.00","57,836.00","51,725.00","43,710.00","49,243.00","23,590.00","10,960.00","6,131.00","4,575.00","11,172.00","12,900.00","175,102.00","9,675.00", 
8CO,8Common Ltd,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , ,"24,397.00","32,732.00","28,110.00","35,335.00","38,100.00","10,533.00","12,897.00","23,794.00", 
8IH,8I Holdings Ltd,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , ,"122,166.00","203,839.00","611,423.00","852,143.00","1,349,583.00","651,462.00","1,816,933.00","1,416,016.00","6,820,704.00"
8VI,8VI Holdings Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,"47,897.00","450,827.00","422,230.00","1,123,002.00","542,845.00","1,788,374.00","1,406,410.00","5,076,393.00"
92E,92 Energy Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , , , ,0.00,"30,584.00", 
99L,99 Loyalty Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , ,"2,475,570.00","36,525.00","730,744.00","2,102,244.00","1,518,768.00","1,057,264.00","685,491.00","1,972,744.00","3,254,087.00","2,334,359.00", 
9SP,9 Spokes International Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , ,"96,000.00","488,584.00","450,873.00","331,354.00","1,563,810.00","586,615.00","416,395.00"
A1C,AIC Resources Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , ,"5,233.00","156,283.00", , , , 
A1G,African Gold Limited ,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , ,0.00,"2,236.00",385.00,0.00, 
A1M,AIC Mines Limited,Annual Balance Sheet - NCA PP&E,"97,558.00","10,730,727.00","57,678.00","18,159.00","1,732,966.00","40,570,000.00","37,621,000.00","77,238,000.00","40,457,000.00","18,231,000.00","15,266,161.00","16,253,446.00","7,704.00",0.00,"42,560,351.00","27,797,000.00","30,865,000.00",--,0.00,"46,000.00","39,000.00","20,657,000.00", 
A200,BetaShares Australia 200 ETF,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , , , , ,--,--,--,--, 
A2B,A2B Australia Limited,Annual Balance Sheet - NCA PP&E,"16,943,737.00","18,947,147.00","28,906,365.00","28,824,700.00","33,059,000.00","41,540,000.00","36,288,000.00","39,159,000.00","40,152,000.00","39,242,000.00","34,864,000.00","51,185,000.00","46,606,000.00","43,807,000.00","38,265,000.00","39,025,000.00","40,233,000.00","35,392,000.00","38,300,000.00","38,923,000.00","57,560,000.00","45,705,000.00","30,190,000.00"
A2M,The a2 Milk Company Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,"8,235,346.00","7,719,515.00","7,960,000.00","8,897,551.00","9,841,330.00","28,356,535.00","30,213,122.00","231,400,613.00"
A3D,Aurora Labs Limited,Annual Balance Sheet - NCA PP&E, , , , , , , , , , , , , , , ,783.00, ,"357,081.00","475,162.00","472,633.00","962,929.00","725,014.00","607,228.00"
