yearmonth,rf
199207,6.55
199207,6.45
199207,6.35
199207,6.35
199207,6.25
199207,6
199207,5.8
199207,5.75
199207,5.75
199207,5.75
199207,5.85
199207,5.8
199207,5.73
199207,5.7
199207,5.7
199207,5.73
199207,5.75
199207,5.75
199207,5.83
199207,5.9
199207,6.1
199207,5.9
199207,5.75
199208,5.75
199208,5.7
199208,5.75
199208,5.65
199208,5.65
199208,5.75
199208,5.85
199208,5.95
199208,6.75
199208,5.9
199208,5.75
199208,5.75
199208,5.7
199208,5.75
199208,5.75
199208,5.9
199208,6.05
199208,6.6
199208,5.8
199208,5.7
199208,5.65
199209,5.65
199209,5.6
199209,5.6
199209,5.5
199209,5.6
199209,5.8
199209,5.77
199209,5.78
199209,5.7
199209,5.75
199209,5.85
199209,5.95
199209,5.88
199209,5.78
199209,5.78
199209,5.75
199209,5.78
199209,5.65
199209,5.7
199209,5.7
199209,5.8
199209,5.93
199210,5.75
199210,5.7
199210,5.75
199210,5.8
199210,5.82
199210,5.78
199210,5.7
199210,5.75
199210,5.78
199210,5.78
199210,5.73
199210,5.71
199210,5.72
199210,5.7
199210,5.68
199210,5.75
199210,5.7
199210,5.71
199210,5.7
199210,5.75
199210,5.75
199210,5.75
199211,5.7
199211,5.7
199211,5.75
199211,5.75
199211,5.75
199211,5.8
199211,5.85
199211,5.8
199211,5.75
199211,5.78
199211,5.75
199211,5.75
199211,5.75
199211,5.8
199211,5.75
199211,5.8
199211,5.8
199211,5.78
199211,5.78
199211,5.8
199211,5.8
199212,5.9
199212,5.95
199212,5.7
199212,5.75
199212,5.83
199212,5.95
199212,5.8
199212,5.8
199212,5.77
199212,5.77
199212,5.8
199212,5.8
199212,5.8
199212,5.75
199212,5.73
199212,5.73
199212,5.82
199212,5.73
199212,5.75
199212,5.7
199212,5.83
199301,5.78
199301,5.75
199301,5.74
199301,5.79
199301,5.77
199301,5.76
199301,5.75
199301,5.75
199301,5.75
199301,5.75
199301,5.75
199301,5.75
199301,5.72
199301,5.7
199301,5.72
199301,5.75
199301,5.75
199301,5.75
199301,5.76
199301,5.78
199302,5.78
199302,5.76
199302,5.73
199302,5.74
199302,5.75
199302,5.75
199302,5.78
199302,5.73
199302,5.73
199302,5.7
199302,5.75
199302,5.71
199302,5.74
199302,5.73
199302,5.74
199302,5.73
199302,5.73
199302,5.78
199302,5.73
199302,5.7
199303,5.71
199303,5.7
199303,5.71
199303,5.7
199303,5.7
199303,5.72
199303,5.73
199303,5.73
199303,5.76
199303,5.76
199303,5.78
199303,5.82
199303,5.8
199303,5.76
199303,5.75
199303,5.8
199303,5.47
199303,5.45
199303,5.25
199303,5.21
199303,5.25
199303,5.28
199303,5.32
199304,5.27
199304,5.21
199304,5.23
199304,5.24
199304,5.26
199304,5.24
199304,5.27
199304,5.27
199304,5.25
199304,5.24
199304,5.25
199304,5.25
199304,5.25
199304,5.23
199304,5.25
199304,5.25
199304,5.25
199304,5.25
199304,5.24
199304,5.25
199305,5.27
199305,5.28
199305,5.25
199305,5.25
199305,5.25
199305,5.23
199305,5.25
199305,5.23
199305,5.23
199305,5.25
199305,5.26
199305,5.3
199305,5.25
199305,5.23
199305,5.24
199305,5.25
199305,5.26
199305,5.28
199305,5.28
199305,5.3
199305,5.29
199306,5.3
199306,5.28
199306,5.28
199306,5.26
199306,5.26
199306,5.26
199306,5.27
199306,5.28
199306,5.29
199306,5.3
199306,5.27
199306,5.28
199306,5.23
199306,5.24
199306,5.26
199306,5.26
199306,5.25
199306,5.25
199306,5.26
199306,5.27
199306,5.35
199307,5.29
199307,5.26
199307,5.28
199307,5.28
199307,5.3
199307,5.27
199307,5.26
199307,5.26
199307,5.24
199307,5.26
199307,5.25
199307,5.26
199307,5.25
199307,5.25
199307,5.26
199307,5.23
199307,5.25
199307,5.25
199307,5.21
199307,5.2
199307,5.25
199307,4.91
199308,4.75
199308,4.83
199308,4.8
199308,4.79
199308,4.78
199308,4.77
199308,4.77
199308,4.82
199308,4.8
199308,4.81
199308,4.81
199308,4.78
199308,4.76
199308,4.72
199308,4.73
199308,4.75
199308,4.72
199308,4.76
199308,4.72
199308,4.76
199308,4.77
199308,4.76
199309,4.76
199309,4.75
199309,4.73
199309,4.75
199309,4.7
199309,4.69
199309,4.72
199309,4.71
199309,4.75
199309,4.73
199309,4.72
199309,4.74
199309,4.7
199309,4.7
199309,4.71
199309,4.68
199309,4.7
199309,4.72
199309,4.74
199309,4.74
199309,4.73
199309,4.73
199310,4.68
199310,4.73
199310,4.73
199310,4.72
199310,4.73
199310,4.73
199310,4.7
199310,4.68
199310,4.7
199310,4.72
199310,4.72
199310,4.68
199310,4.69
199310,4.7
199310,4.71
199310,4.73
199310,4.74
199310,4.7
199310,4.71
199310,4.74
199311,4.73
199311,4.73
199311,4.72
199311,4.73
199311,4.71
199311,4.76
199311,4.77
199311,4.74
199311,4.77
199311,4.75
199311,4.76
199311,4.76
199311,4.75
199311,4.75
199311,4.74
199311,4.78
199311,4.74
199311,4.73
199311,4.78
199311,4.74
199311,4.78
199311,4.76
199312,4.76
199312,4.75
199312,4.75
199312,4.75
199312,4.77
199312,4.8
199312,4.79
199312,4.79
199312,4.78
199312,4.78
199312,4.79
199312,4.82
199312,4.78
199312,4.78
199312,4.82
199312,4.8
199312,4.79
199312,4.77
199312,4.79
199312,4.81
199312,4.82
199401,4.8
199401,4.78
199401,4.73
199401,4.73
199401,4.73
199401,4.73
199401,4.71
199401,4.76
199401,4.75
199401,4.72
199401,4.71
199401,4.7
199401,4.71
199401,4.68
199401,4.68
199401,4.73
199401,4.78
199401,4.78
199401,4.78
199402,4.73
199402,4.73
199402,4.73
199402,4.74
199402,4.74
199402,4.76
199402,4.73
199402,4.73
199402,4.73
199402,4.77
199402,4.73
199402,4.73
199402,4.74
199402,4.76
199402,4.73
199402,4.75
199402,4.75
199402,4.76
199402,4.76
199402,4.75
199403,4.75
199403,4.74
199403,4.78
199403,4.75
199403,4.76
199403,4.76
199403,4.78
199403,4.8
199403,4.78
199403,4.76
199403,4.77
199403,4.79
199403,4.78
199403,4.78
199403,4.78
199403,4.8
199403,4.77
199403,4.78
199403,4.8
199403,4.8
199403,4.85
199403,4.81
199403,4.81
199404,4.79
199404,4.79
199404,4.8
199404,4.74
199404,4.74
199404,4.75
199404,4.73
199404,4.71
199404,4.74
199404,4.74
199404,4.73
199404,4.75
199404,4.74
199404,4.78
199404,4.77
199404,4.79
199404,4.77
199404,4.8
199405,4.8
199405,4.76
199405,4.76
199405,4.73
199405,4.72
199405,4.71
199405,4.73
199405,4.73
199405,4.73
199405,4.72
199405,4.71
199405,4.74
199405,4.69
199405,4.71
199405,4.7
199405,4.73
199405,4.75
199405,4.75
199405,4.78
199405,4.73
199405,4.73
199405,4.8
199406,4.78
199406,4.8
199406,4.78
199406,4.79
199406,4.73
199406,4.72
199406,4.72
199406,4.72
199406,4.77
199406,4.76
199406,4.78
199406,4.72
199406,4.73
199406,4.75
199406,4.75
199406,4.76
199406,4.78
199406,4.78
199406,4.82
199406,4.84
199406,4.84
199407,4.78
199407,4.74
199407,4.72
199407,4.72
199407,4.73
199407,4.72
199407,4.75
199407,4.75
199407,4.74
199407,4.72
199407,4.75
199407,4.72
199407,4.71
199407,4.71
199407,4.71
199407,4.73
199407,4.7
199407,4.77
199407,4.73
199407,4.76
199407,4.81
199408,4.83
199408,4.79
199408,4.78
199408,4.8
199408,4.8
199408,4.78
199408,4.76
199408,4.78
199408,4.78
199408,4.79
199408,4.8
199408,4.81
199408,5.3
199408,5.48
199408,5.51
199408,5.53
199408,5.58
199408,5.52
199408,5.5
199408,5.49
199408,5.52
199408,5.5
199408,5.5
199409,5.5
199409,5.5
199409,5.5
199409,5.47
199409,5.46
199409,5.47
199409,5.49
199409,5.47
199409,5.48
199409,5.47
199409,5.48
199409,5.5
199409,5.49
199409,5.51
199409,5.48
199409,5.49
199409,5.51
199409,5.53
199409,5.51
199409,5.52
199409,5.53
199409,5.6
199410,5.6
199410,5.52
199410,5.5
199410,5.51
199410,5.49
199410,5.49
199410,5.49
199410,5.48
199410,5.47
199410,5.46
199410,5.48
199410,5.48
199410,5.48
199410,5.5
199410,5.54
199410,6.5
199410,6.53
199410,6.53
199410,6.52
199410,6.5
199410,6.51
199411,6.5
199411,6.53
199411,6.51
199411,6.52
199411,6.53
199411,6.52
199411,6.51
199411,6.5
199411,6.5
199411,6.52
199411,6.51
199411,6.49
199411,6.5
199411,6.48
199411,6.5
199411,6.48
199411,6.49
199411,6.48
199411,6.5
199411,6.49
199411,6.53
199411,6.53
199412,6.5
199412,6.44
199412,6.45
199412,6.43
199412,6.47
199412,6.47
199412,6.47
199412,6.5
199412,6.45
199412,7.05
199412,7.52
199412,7.5
199412,7.5
199412,7.51
199412,7.53
199412,7.51
199412,7.59
199412,7.57
199412,7.52
199412,7.6
199501,7.5
199501,7.5
199501,7.46
199501,7.46
199501,7.49
199501,7.49
199501,7.49
199501,7.52
199501,7.52
199501,7.48
199501,7.5
199501,7.47
199501,7.47
199501,7.47
199501,7.47
199501,7.52
