ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , ,--, ,"60,273.00","331,856.00","467,725.00", 
1AD,AdAlta Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , ,--,"1,796,754.00","2,020,175.00","3,538,774.00","3,827,731.00","3,984,373.00","2,753,621.00"
1AE,Aurora Energy Metals Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , , ,--, 
1AG,Alterra Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , ,--,"16,671.00","13,271,768.00","6,995,507.00","16,543,256.00","723,421.00","2,648,707.00","3,064,926.00","2,884,561.00","2,700,948.00","2,946,583.00","754,415.00","1,220,131.00","1,564,808.00", 
1AL,OneAll International Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,--,"40,784,892.00","48,420,240.00","56,064,810.00","48,520,677.00", , , 
1MC,Morella Corporation Limited,Annual Profit and Loss - Total Revenue Excluding Int,"8,767.00",--,"7,822,849.00","12,073,646.00","14,101,628.00","13,383,059.00","4,214,403.00","3,427,424.00","10,416,000.00","15,303,000.00","10,023,000.00","8,378,000.00","9,553,000.00","7,052,000.00","7,507,000.00","9,480,000.00","2,468,000.00","1,281,000.00","1,228,000.00","39,516,000.00","107,020,000.00","142,203.00", 
1PG,1-Page Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , ,--,"43,703.00",--,--,--,--,"32,000.00","2,423,260.00",--,"299,922.00","800,379.00","1,053,890.00", , , , , 
1ST,1ST Group Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , ,--,"288,046.00","1,963,861.00","2,370,388.00","3,426,645.00","3,958,459.00","4,947,845.00","5,446,441.00","5,088,167.00"
1VG,Victory Goldfields Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , ,--, , 
29M,29Metals Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , ,--,"601,032,000.00", 
2BE,Tubi Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , ,--,"31,661,019.00","21,446,533.00","10,028,191.00", 
360,Life360 Inc,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , ,--,"85,365,401.00","105,131,134.00","155,241,179.00", 
3DA,Amaero International Ltd,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , ,--,"425,294.00","1,343,494.00","1,508,570.00"
3DP,Pointerra Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , ,--,"5,222,464.00",--,"7,184,480.00","1,538.00",--,"114,078.00",--,"158,302.00",--,"501,011.00","798,971.00","916,439.00","1,918,968.00","4,573,469.00","10,340,822.00"
3MF,3D Metalforge Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , , , , , , ,--,"1,299,925.00", 
