yearmonth,rf
199207,5.39
199207,5.36
199207,5.22
199207,5.22
199207,5.24
199207,5.35
199207,5.33
199207,5.3
199207,5.31
199207,5.3
199207,5.21
199207,5.21
199207,5.26
199207,5.27
199207,5.27
199207,5.26
199207,5.25
199207,5.23
199207,5.19
199207,5.17
199207,4.89
199207,4.98
199207,5.04
199208,5.04
199208,5
199208,5
199208,5.03
199208,5.07
199208,5.04
199208,5
199208,4.96
199208,4.98
199208,5.26
199208,5.17
199208,5.18
199208,5.17
199208,5.22
199208,5.24
199208,5.31
199208,5.43
199208,5.4
199208,5.59
199208,5.62
199208,5.56
199209,5.45
199209,5.58
199209,5.58
199209,5.6
199209,5.56
199209,5.46
199209,5.53
199209,5.53
199209,5.51
199209,5.29
199209,5.26
199209,5.34
199209,5.39
199209,5.42
199209,5.43
199209,5.43
199209,5.51
199209,5.55
199209,5.51
199209,5.51
199209,5.47
199209,5.53
199210,5.53
199210,5.52
199210,5.5
199210,5.48
199210,5.46
199210,5.48
199210,5.51
199210,5.49
199210,5.44
199210,5.41
199210,5.42
199210,5.43
199210,5.42
199210,5.42
199210,5.45
199210,5.43
199210,5.45
199210,5.44
199210,5.44
199210,5.49
199210,5.5
199210,5.53
199211,5.55
199211,5.55
199211,5.51
199211,5.51
199211,5.51
199211,5.47
199211,5.51
199211,5.6
199211,5.61
199211,5.61
199211,5.62
199211,5.62
199211,5.68
199211,5.67
199211,5.7
199211,5.68
199211,5.68
199211,5.66
199211,5.63
199211,5.63
199211,5.62
199212,5.62
199212,5.65
199212,5.74
199212,5.7
199212,5.67
199212,5.63
199212,5.69
199212,5.69
199212,5.7
199212,5.7
199212,5.68
199212,5.68
199212,5.65
199212,5.66
199212,5.66
199212,5.66
199212,5.64
199212,5.7
199212,5.69
199212,5.72
199212,5.67
199301,5.67
199301,5.68
199301,5.68
199301,5.67
199301,5.7
199301,5.7
199301,5.7
199301,5.68
199301,5.68
199301,5.68
199301,5.68
199301,5.65
199301,5.66
199301,5.67
199301,5.65
199301,5.64
199301,5.64
199301,5.6
199301,5.59
199301,5.57
199302,5.59
199302,5.6
199302,5.61
199302,5.61
199302,5.59
199302,5.59
199302,5.58
199302,5.64
199302,5.63
199302,5.64
199302,5.62
199302,5.63
199302,5.59
199302,5.6
199302,5.6
199302,5.59
199302,5.59
199302,5.49
199302,5.45
199302,5.21
199303,5.06
199303,5.06
199303,5.1
199303,5.15
199303,5.12
199303,5.11
199303,5.1
199303,5.05
199303,5.04
199303,5.04
199303,5.01
199303,4.89
199303,4.8
199303,4.8
199303,4.81
199303,4.79
199303,4.94
199303,5.01
199303,5.07
199303,5.07
199303,5.06
199303,5.07
199303,4.96
199304,4.97
199304,5
199304,4.98
199304,4.99
199304,4.92
199304,4.93
199304,4.93
199304,4.9
199304,4.89
199304,4.91
199304,4.9
199304,4.89
199304,4.88
199304,4.88
199304,4.88
199304,4.88
199304,4.87
199304,4.89
199304,4.85
199304,4.86
199305,4.85
199305,4.83
199305,4.92
199305,4.91
199305,4.91
199305,4.84
199305,4.84
199305,4.84
199305,4.84
199305,4.81
199305,4.81
199305,4.82
199305,4.91
199305,4.93
199305,4.92
199305,4.92
199305,4.92
199305,4.94
199305,4.92
199305,4.94
199305,4.94
199306,4.98
199306,4.99
199306,4.97
199306,4.95
199306,4.93
199306,4.93
199306,4.94
199306,4.95
199306,4.94
199306,4.94
199306,4.91
199306,4.9
199306,4.92
199306,4.89
199306,4.89
199306,4.91
199306,4.9
199306,4.91
199306,4.9
199306,4.9
199306,4.88
199307,4.89
199307,4.87
199307,4.88
199307,4.86
199307,4.85
199307,4.73
199307,4.75
199307,4.79
199307,4.92
199307,4.85
199307,4.78
199307,4.8
199307,4.79
199307,4.7
199307,4.66
199307,4.66
199307,4.67
199307,4.62
199307,4.63
199307,4.6
199307,4.61
199307,4.59
199308,4.55
199308,4.5
199308,4.48
199308,4.51
199308,4.52
199308,4.53
199308,4.49
199308,4.48
199308,4.48
199308,4.48
199308,4.49
199308,4.49
199308,4.49
199308,4.51
199308,4.51
199308,4.49
199308,4.56
199308,4.58
199308,4.59
199308,4.56
199308,4.57
199308,4.57
199309,4.55
199309,4.53
199309,4.59
199309,4.56
199309,4.61
199309,4.69
199309,4.62
199309,4.66
199309,4.63
199309,4.65
199309,4.69
199309,4.66
199309,4.69
199309,4.69
199309,4.68
199309,4.73
199309,4.72
199309,4.71
199309,4.71
199309,4.71
199309,4.76
199309,4.77
199310,4.79
199310,4.77
199310,4.76
199310,4.69
199310,4.7
199310,4.67
199310,4.68
199310,4.65
199310,4.64
199310,4.64
199310,4.64
199310,4.65
199310,4.65
199310,4.63
199310,4.63
199310,4.62
199310,4.62
199310,4.61
199310,4.58
199310,4.57
199311,4.57
199311,4.53
199311,4.55
199311,4.55
199311,4.55
199311,4.54
199311,4.53
199311,4.54
199311,4.52
199311,4.54
199311,4.54
199311,4.6
199311,4.57
199311,4.57
199311,4.6
199311,4.63
199311,4.62
199311,4.63
199311,4.62
199311,4.64
199311,4.62
199311,4.63
199312,4.66
199312,4.66
199312,4.65
199312,4.65
199312,4.63
199312,4.64
199312,4.64
199312,4.63
199312,4.63
199312,4.63
199312,4.66
199312,4.65
199312,4.66
199312,4.65
199312,4.64
199312,4.66
199312,4.67
199312,4.67
199312,4.68
199312,4.67
199312,4.67
199401,4.68
199401,4.68
199401,4.7
199401,4.71
199401,4.68
199401,4.68
199401,4.68
199401,4.66
199401,4.67
199401,4.68
199401,4.68
199401,4.66
199401,4.66
199401,4.67
199401,4.66
199401,4.62
199401,4.6
199401,4.6
199401,4.58
199402,4.6
199402,4.6
199402,4.6
199402,4.6
199402,4.6
199402,4.57
199402,4.62
199402,4.61
199402,4.61
199402,4.6
199402,4.61
199402,4.63
199402,4.62
199402,4.61
199402,4.65
199402,4.65
199402,4.65
199402,4.7
199402,4.69
199402,4.7
199403,4.69
199403,4.71
199403,4.69
199403,4.69
199403,4.69
199403,4.71
199403,4.7
199403,4.7
199403,4.71
199403,4.69
199403,4.71
199403,4.71
199403,4.71
199403,4.71
199403,4.72
199403,4.72
199403,4.72
199403,4.72
199403,4.74
199403,4.72
199403,4.68
199403,4.69
199403,4.7
199404,4.7
199404,4.69
199404,4.69
199404,4.71
199404,4.7
199404,4.69
199404,4.69
199404,4.68
199404,4.67
199404,4.7
199404,4.76
199404,4.75
199404,4.76
199404,4.73
199404,4.75
199404,4.75
199404,4.75
199404,4.74
199405,4.73
199405,4.75
199405,4.73
199405,4.73
199405,4.74
199405,4.76
199405,4.77
199405,4.75
199405,4.75
199405,4.75
199405,4.75
199405,4.75
199405,4.77
199405,4.76
199405,4.77
199405,4.77
199405,4.82
199405,4.81
199405,4.81
199405,4.82
199405,4.8
199405,4.78
199406,4.8
199406,4.79
199406,4.8
199406,4.77
199406,4.8
199406,4.79
199406,4.8
199406,4.82
199406,4.82
199406,4.83
199406,4.85
199406,4.87
199406,4.95
199406,5.39
199406,5.56
199406,5.43
199406,5.43
199406,5.88
199406,5.94
199406,6.13
199406,6.07
199407,6.08
199407,6.01
199407,6.08
199407,5.83
199407,5.77
199407,5.78
199407,5.83
199407,5.96
199407,5.96
199407,5.94
199407,5.76
199407,5.78
199407,5.56
199407,5.57
199407,5.67
199407,5.78
199407,5.85
199407,5.94
199407,5.82
199407,5.78
199407,5.83
199408,5.77
199408,5.77
199408,5.81
199408,5.83
199408,5.83
199408,5.91
199408,5.95
199408,5.94
199408,6.07
199408,6.08
199408,6
199408,6.15
199408,5.86
199408,5.78
199408,5.8
199408,5.79
199408,5.81
199408,5.82
199408,5.83
199408,5.85
199408,5.86
199408,5.9
199408,5.89
199409,5.9
199409,5.91
199409,5.92
199409,5.95
199409,5.96
199409,5.96
199409,5.95
199409,6.14
199409,6.13
199409,6.12
199409,6.12
199409,6.15
199409,6.26
199409,6.19
199409,6.23
199409,6.28
199409,6.27
199409,6.3
199409,6.44
199409,6.43
199409,6.55
199409,6.55
199410,6.54
199410,6.76
199410,6.77
199410,6.76
199410,6.74
199410,6.73
199410,6.73
199410,6.73
199410,6.78
199410,6.79
199410,6.7
199410,6.77
199410,6.76
199410,6.77
199410,6.81
199410,6.64
199410,6.93
199410,6.94
199410,7.01
199410,7.07
199410,7.1
199411,7.14
199411,7.16
199411,7.19
199411,7.21
199411,7.38
199411,7.38
199411,7.4
199411,7.41
199411,7.41
199411,7.44
199411,7.64
199411,7.7
199411,7.79
199411,7.79
199411,7.78
