ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,0.00%, ,-16.82%,-20.18%,-26.78%, 
1AD,AdAlta Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , ,0.00%,-27.43%,-94.65%,-79.00%,-162.25%,-88.13%,-112.69%
1AE,Aurora Energy Metals Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , ,0.00%, 
1AG,Alterra Limited,Annual Ratio Analysis - ROE, , , , , , , , ,-17.39%,-55.93%,6.40%,10.16%,28.02%,-39.17%,5.08%,-0.69%,-1.92%,-23.45%,0.63%,-25.89%,-22.07%,-27.15%, 
1AL,OneAll International Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,0.00%,40.81%,34.83%,37.26%,8.22%, , , 
1MC,Morella Corporation Limited,Annual Ratio Analysis - ROE,-11.93%,-11.29%,13.75%,-6.71%,10.70%,12.96%,-28.10%,-40.39%,-10.04%,-21.03%,-3.46%,-4.38%,-3.28%,-1.69%,-13.71%,-19.06%,-59.99%,-10.33%,-13.73%,-26.36%,-140.13%,"-2,652.72%", 
1PG,1-Page Limited,Annual Ratio Analysis - ROE, , , , , , ,-7.22%,-11.16%,-24.93%,-72.88%,-25.35%,330.95%,27.24%,"-13,094.98%",-28.66%,-84.49%,-29.41%,-58.12%, , , , , 
1ST,1ST Group Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , ,0.00%,-34.50%,-41.37%,-71.71%,-174.37%,-137.47%,-205.76%,82.17%,96.12%
1VG,Victory Goldfields Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%, , 
29M,29Metals Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%,19.16%, 
2BE,Tubi Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,0.00%,13.86%,-27.40%,-54.55%, 
360,Life360 Inc,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,0.00%,-40.06%,-25.33%,-10.87%, 
3DA,Amaero International Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , ,0.00%,-70.52%,-46.15%, 
3DP,Pointerra Limited,Annual Ratio Analysis - ROE, , , , , , , ,0.00%,-4.84%,482.81%,-98.43%,-85.58%,-52.98%,-94.10%,-60.18%,181.86%,-20.25%,-42.55%,-107.46%,-259.12%,-207.20%,-32.89%,-61.71%
3MF,3D Metalforge Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%,-768.29%, 
3PL,3P Learning Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , ,0.00%,140.78%,12.34%,12.11%,-48.75%,37.20%,24.01%,5.90%,-1.08%,0.49%
4DS,4DS Memory Limited,Annual Ratio Analysis - ROE, , , , , , , , , , ,-1.85%,-40.14%,-34.09%,-15.37%,-64.07%,-297.25%,-218.46%,-100.85%,-163.88%,-239.63%,-339.68%,-173.17%,-124.48%
4DX,4DMedical Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , ,0.00%, ,-17.13%,-41.32%
4WD,Automotive Solutions Group Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , ,0.00%,-2.97%, , , , , 
5GG,Pentanet Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%,-33.12%,-23.61%
5GN,5G Networks Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,0.00%,-6.74%,-21.13%,-2.79%,-2.69%, 
88E,88 Energy Limited,Annual Ratio Analysis - ROE,-199.53%,-124.33%,142.67%,16.65%,4.83%,227.29%,-13.71%,-26.34%,-79.73%,-53.75%,-48.46%,-51.88%,-29.48%,-41.38%,"-2,055.00%",-29.34%,-19.58%,-15.14%,-6.37%,-56.94%,-37.40%,-1.72%, 
8CO,8Common Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , ,0.00%,-2.12%,-22.85%,-16.72%,-21.36%,-22.44%,-9.62%,-26.06%, 
8IH,8I Holdings Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , ,0.00%,13.93%,14.21%,-2.48%,-11.70%,-28.47%,-13.20%,22.44%,-12.82%
8VI,8VI Holdings Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,0.00%,1.59%,-4.11%,5.19%,-76.57%,23.22%,53.21%,14.00%
92E,92 Energy Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%,-67.15%, 
99L,99 Loyalty Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , ,0.00%,1.89%,2.48%,3.59%,-1.30%,-17.84%,-2.95%,4.09%,8.95%,-20.83%, 
9SP,9 Spokes International Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , ,0.00%,-128.42%,-302.29%,257.85%,-228.51%,-71.20%,-471.03%
A1C,AIC Resources Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,0.00%,-24.74%, , , , 
A1G,African Gold Limited ,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,0.00%,-12.20%,-11.14%,-22.75%, 
A1M,AIC Mines Limited,Annual Ratio Analysis - ROE,-35.13%,-30.78%,-48.85%,8.80%,-39.00%,-22.30%,92.42%,-50.96%,-91.64%,-30.18%,-15.59%,-20.68%,-66.06%,-24.24%,-5.80%,-14.32%,-7.01%,-9.29%,-8.00%,-73.69%,-78.44%,7.42%, 
A200,BetaShares Australia 200 ETF,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,2.55%,12.46%,-6.26%,17.89%, 
A2B,A2B Australia Limited,Annual Ratio Analysis - ROE,12.27%,13.04%,15.62%,16.80%,18.25%,19.73%,24.25%,23.81%,22.41%,21.95%,19.53%,19.93%,20.60%,19.53%,17.97%,14.46%,13.70%,12.13%,9.48%,12.95%,-4.71%,-20.39%,-15.13%
A2M,The a2 Milk Company Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,-3.57%,22.87%,37.54%,35.21%,36.78%,34.23%,8.40%,10.39%
A3D,Aurora Labs Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,0.00%, ,-33.44%,-85.80%,-133.84%,-240.57%,-163.52%,-119.65%
A40,Alita Resources Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,0.00%, , , , 
A4N,Alpha HPA Limited,Annual Ratio Analysis - ROE, , , , , , , , ,-17.10%,-14.16%,-33.38%,-14.65%,-161.82%,-16.62%,-23.26%,-7.84%,-9.76%,-35.28%,-17.24%,-216.27%,-85.10%,-31.42%,-15.70%
A8G,Australasian Metals Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%,-16.53%, 
AAA,BetaShares Australian High Interest Cash ETF,Annual Ratio Analysis - ROE, , , , , , , , , , , , ,--, , ,0.99%,2.27%,1.74%,1.94%,1.76%,1.03%,0.50%, 
AAB,Absolute Return Fund (The),Annual Ratio Analysis - ROE, , , ,6.92%,13.92%, , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Ratio Analysis - ROE,--,0.00%,10.70%,5.95%,2.98%,3.00%,1.74%,0.50%,-5.49%,-9.86%,-0.35%,2.34%,-0.25%,-31.22%,-5.34%,1.26%,7.65%,7.03%,-2.82%,-12.14%,3.43%,4.35%,10.05%
AAG,Aragon Resources Limited,Annual Ratio Analysis - ROE, , , , , , , , ,-7.57%,-28.83%,-8.74%, , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Ratio Analysis - ROE,3.74%,56.23%,-17.33%,-46.24%,49.80%,33.68%,5.93%,1.07%,-1.51%, , , , , , , , , , , , , , 
AAI,Alcoa Inc.,Annual Ratio Analysis - ROE,12.99%,11.90%,6.50%,7.54%,9.83%,9.19%,14.76%,16.87%,9.94%,-6.02%,3.43%,6.45%,2.09%,2.15%,9.44%,3.69%, , , , , , , 
AAJ,Aruma Resources Limited,Annual Ratio Analysis - ROE, , , , , , , , , , ,0.00%,-44.15%,-55.76%,-54.11%,-46.14%,-180.32%,-35.62%,-42.40%,-123.06%,-221.77%,-25.68%,-59.00%, 
AAK,Australia China Holdings Limited,Annual Ratio Analysis - ROE,3.80%,47.35%,13.12%,12.65%,16.70%,10.05%,17.65%,8.90%,1.61%,5.03%,5.36%,2.02%,0.84%,0.44%,0.56%,0.01%,1.62%, , , , , , 
AAN,Alinta Limited,Annual Ratio Analysis - ROE, , , , , , ,5.11%, , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Ratio Analysis - ROE, , , , ,-108.54%,-440.39%,-114.77%,-242.22%,-54.80%,0.78%,7.00%,1.17%,-179.80%,-18.59%,-4.28%,11.23%,7.00%,7.52%,-16.95%,-6.66%,-30.61%,7.91%, 
AAP1,AAPT Limited ,Annual Ratio Analysis - ROE,4.51%, , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Ratio Analysis - ROE,-115.63%,-62.34%,-46.14%,-81.18%,-12.00%,-64.15%,-10.13%,49.48%,0.31%,-7.82%,-7.95%,-6.28%,-140.70%,-26.93%,-12.57%,-417.34%,-27.92%,-27.43%,-18.20%,-11.42%,-23.59%,-16.27%, 
AAS,Asian Pacific Limited,Annual Ratio Analysis - ROE,53.68%,18.44%,-45.54%,34.34%,101.54%,100.54%,71.56%,1.03%, , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , ,15.41%,-12.78%
AAT,AAT Corporation Limited,Annual Ratio Analysis - ROE,16.83%,27.98%,-10.58%,6.60%,13.01%,8.79%,-6.09%,-527.30%,114.07%,-86.35%, , ,2.78%,18.10%,300.48%,71.57%, , , , , , , 
AAU,Antilles Gold Limited,Annual Ratio Analysis - ROE,-25.86%,-638.11%,20.14%,19.28%,-26.12%,13.56%,-2.55%,-47.57%,-19.55%,1.82%,-91.06%,16.47%,17.67%,-438.98%,310.85%,-16.92%,-28.77%,-236.98%,139.84%,516.40%,34.19%,-30.12%, 
AAU1,Adcorp Australia Limited,Annual Ratio Analysis - ROE,36.43%,28.19%,20.14%,19.28%,19.45%,15.72%,14.85%,-47.57%,23.53%,1.82%,-91.06%,16.47%,17.67%,-438.98%,310.85%,-16.92%,-28.77%,-236.98%,139.84%,516.40%, , , 
AAX,Ausenco Limited,Annual Ratio Analysis - ROE, , , , , ,0.00%,43.26%,74.13%,31.81%,10.41%,-4.55%,10.42%,15.10%,-13.77%,-3.62%,-32.99%, , , , , , , 
AB1,Abarta Resources Limited,Annual Ratio Analysis - ROE, , , , , , , ,-15.51%,-26.58%,-63.45%,-23.33%,-36.57%,-17.53%,-67.76%,-92.64%,-166.19%,-236.38%,"-1,727.25%",-33.70%,-116.32%, , , 
AB11,Animoca Brands Corporation Limited,Annual Ratio Analysis - ROE, , , , , , , ,-15.51%,-26.58%,-63.45%,-23.33%,-36.57%,-17.53%,-67.76%,74.95%,-166.19%,-236.38%,"-1,727.25%",-33.70%,-116.32%, , , 
ABA,Auswide Bank Ltd,Annual Ratio Analysis - ROE,12.53%,16.75%,11.18%,11.45%,12.32%,14.93%,16.30%,17.52%,12.92%,11.26%,13.84%,11.02%,9.56%,5.12%,6.96%,6.63%,5.24%,7.03%,6.80%,7.21%,7.65%,9.42%,9.26%
ABB,Aussie Broadband Limited,Annual Ratio Analysis - ROE, ,10.45%,12.78%,11.40%,2.62%,2.19%,7.58%,0.81%,4.39%, , , , , , , , , , , ,0.00%,-7.55%,3.62%
ABB1,ABB Grain Limited,Annual Ratio Analysis - ROE, ,10.45%,12.78%,11.40%,2.62%,2.19%,7.58%,0.81%,4.39%, , , , , , , , , , , , , , 
