ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , ,0.00, ,0.00,"129,938.00","315,000.00", 
1AD,AdAlta Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,"2,191,327.00","1,687,491.00","2,389,567.00"
1AE,Aurora Energy Metals Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , , ,0.00, 
1AG,Alterra Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , ,0.00,0.00,"1,046,419.00","5,450,298.00","533,465.00","2,559,235.00","1,891,456.00","813,963.00","42,888.00","40,530.00",0.00,0.00,"1,478,376.00","91,757.00", 
1AL,OneAll International Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , ,0.00,0.00,"2,033,186.00","7,360,236.00","6,090,609.00", , , 
1MC,Morella Corporation Limited,Annual Balance Sheet - CL Short-Term Debt,0.00,"96,220.00","136,989.00","205,694.00","406,773.00","51,756.00","24,141.00","26,047.00","280,000.00","234,000.00","189,000.00","2,186,000.00","69,000.00","4,123,000.00","15,079,000.00","397,000.00",0.00,"15,677,000.00",0.00,"179,612,000.00","18,260,000.00","3,539,458.00", 
1PG,1-Page Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , ,0.00,0.00,0.00,0.00,"929,988.00","1,643,317.00","1,985,907.00",0.00,0.00,0.00,0.00,0.00, , , , , 
1ST,1ST Group Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , ,"463,846.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1VG,Victory Goldfields Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , ,0.00, , 
29M,29Metals Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , ,"39,396,000.00","43,185,000.00", 
2BE,Tubi Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , ,"138,000.00","140,395.00","268,288.00","1,750,725.00", 
360,Life360 Inc,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , ,"2,266,931.00",0.00,"1,895,611.00","7,987,872.00", 
3DA,Amaero International Ltd,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , ,0.00,"217,907.00","235,223.00", 
3DP,Pointerra Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , ,0.00,"4,900,571.00","487,846.00",0.00,0.00,0.00,0.00,"167,398.00","231,745.00","46,146.00",0.00,0.00,0.00,"81,586.00","85,228.00","113,036.00"
3MF,3D Metalforge Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , , ,"2,040,000.00","1,843,105.00", 
3PL,3P Learning Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , ,0.00,"262,000.00","38,000.00","9,000.00","406,000.00","12,000.00","14,000.00","1,615,000.00","1,627,000.00","1,121,000.00"
4DS,4DS Memory Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , ,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"99,506.00","100,911.00","120,313.00"
4DX,4DMedical Limited,Annual Balance Sheet - CL Short-Term Debt, , , , , , , , , , , , , , , , , , , ,"351,000.00", ,"723,452.00","1,100,445.00"
