ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , ,"32,183,000.00", ,"17,630,283.00","17,213,774.00","13,817,284.00", 
1AD,AdAlta Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , ,"10,729,871.00","8,089,890.00","4,438,948.00","9,310,021.00","6,907,460.00","9,049,382.00","10,648,546.00"
1AE,Aurora Energy Metals Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , ,"8,143,863.00", 
1AG,Alterra Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"6,847,365.00","4,969,854.00","8,940,993.00","15,881,026.00","25,466,215.00","20,275,568.00","16,770,243.00","14,755,556.00","12,982,500.00","13,041,362.00","13,275,049.00","8,555,520.00","14,535,075.00","22,884,636.00", 
1AL,OneAll International Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"42,772,000.00","30,813,364.00","32,827,688.00","42,716,757.00","47,576,583.00", , , 
1MC,Morella Corporation Limited,Annual Balance Sheet - Total Assets,"3,892,456.00","6,443,450.00","8,063,062.00","8,541,703.00","9,526,580.00","12,070,907.00","8,025,991.00","6,088,314.00","25,569,000.00","21,403,000.00","35,491,000.00","50,779,000.00","70,124,000.00","87,345,000.00","98,488,000.00","46,473,000.00","42,897,000.00","88,338,000.00","268,875,000.00","336,803,000.00","341,893,000.00","7,238,780.00", 
1PG,1-Page Limited,Annual Balance Sheet - Total Assets, , , , , , ,"3,769,871.00","3,690,269.00","4,665,747.00","2,948,281.00","3,179,514.00","777,953.00","748,748.00","132,438.00","1,371,841.00","13,562,466.00","64,980,387.00","31,463,029.00", , , , , 
1ST,1ST Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , ,"2,438,317.00","10,822,246.00","13,654,705.00","8,662,289.00","4,911,583.00","7,011,366.00","6,588,092.00","1,547,443.00","4,272,109.00"
1VG,Victory Goldfields Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , ,"7,489,324.00", , 
29M,29Metals Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , ,"1,256,568,000.00","1,315,179,000.00", 
2BE,Tubi Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"31,819,000.00","30,162,204.00","27,524,364.00","18,904,679.00", 
360,Life360 Inc,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"159,110,229.00","122,096,774.00","112,065,697.00","417,731,532.00", 
