ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14D,1414 Degrees Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , ,"300,000.00", ,"704,352.00","3,080,254.00","2,288,948.00", 
1AD,AdAlta Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , ,"114,130.00","344,512.00","366,317.00","1,818,912.00","3,205,374.00","2,663,032.00","5,270,034.00"
1AE,Aurora Energy Metals Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , , ,"76,845.00", 
1AG,Alterra Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , ,"348,277.00","736,260.00","3,982,161.00","7,467,381.00","10,506,440.00","5,993,488.00","4,330,158.00","2,563,338.00","429,277.00","2,035,691.00","2,101,563.00","2,084,650.00","7,708,540.00","14,706,056.00", 
1AL,OneAll International Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , ,"20,798,000.00","8,382,957.00","11,591,972.00","18,033,988.00","22,146,973.00", , , 
1MC,Morella Corporation Limited,Annual Balance Sheet - Total Liabilities,"160,393.00","1,975,766.00","2,752,934.00","3,113,284.00","3,447,736.00","2,623,377.00","573,645.00","756,666.00","3,778,000.00","4,873,000.00","8,748,000.00","9,877,000.00","11,404,000.00","28,633,000.00","46,626,000.00","20,653,000.00","21,356,000.00","31,388,000.00","175,522,000.00","235,958,000.00","276,907,000.00","6,501,464.00", 
1PG,1-Page Limited,Annual Balance Sheet - Total Liabilities, , , , , , ,"53,247.00","257,991.00","378,286.00","486,983.00","1,035,323.00","1,706,362.00","2,024,755.00","141,540.00","161,535.00","298,298.00","1,020,894.00","1,189,547.00", , , , , 
1ST,1ST Group Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , ,"992,868.00","1,229,178.00","1,515,289.00","1,508,619.00","2,252,853.00","3,880,510.00","4,154,617.00","5,541,158.00","8,161,244.00"
1VG,Victory Goldfields Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , ,"246,001.00", , 
29M,29Metals Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , ,"539,145,000.00","545,643,000.00", 
2BE,Tubi Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , ,"11,016,000.00","8,534,107.00","10,490,580.00","4,694,668.00", 
360,Life360 Inc,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , ,"24,369,509.00","18,933,771.00","28,327,707.00","72,672,271.00", 
3DA,Amaero International Ltd,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , ,"435,335.00","4,170,232.00","3,999,888.00","7,184,837.00"
3DP,Pointerra Limited,Annual Balance Sheet - Total Liabilities, , , , , , , ,"58,217.00","7,618,957.00","6,348,307.00","30,750.00","130,893.00","55,279.00","57,279.00","482,127.00","876,939.00","812,618.00","400,907.00","592,750.00","946,740.00","2,300,451.00","3,776,174.00","4,821,076.00"
3MF,3D Metalforge Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , ,"5,599,000.00","6,362,565.00", 
3PL,3P Learning Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , ,"15,300,000.00","43,303,000.00","39,610,000.00","55,369,000.00","48,934,000.00","36,082,000.00","37,595,000.00","42,848,000.00","61,014,000.00","63,853,000.00"
4DS,4DS Memory Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , ,--,"153,891.00","97,841.00","56,517.00","126,935.00","116,759.00","91,740.00","122,979.00","182,609.00","135,530.00","1,536,065.00","1,032,817.00","290,023.00"
4DX,4DMedical Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , ,"3,433,000.00", ,"9,280,013.00","14,802,199.00"
4WD,Automotive Solutions Group Ltd,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , ,"1,280,000.00","7,419,571.00", , , , , 
5GG,Pentanet Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , ,"3,310,318.00","11,845,000.00","12,577,000.00"
5GN,5G Networks Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , ,"983,160.00","5,025,228.00","29,391,000.00","32,112,000.00","117,255,000.00", 
88E,88 Energy Limited,Annual Balance Sheet - Total Liabilities,"4,007,052.00","3,647,677.00","3,849,577.00","4,059,282.00","4,265,290.00","44,111.00","24,795.00","73,957.00","81,938.00","85,121.00","214,519.00","1,112,956.00","445,423.00","915,761.00","393,933.00","14,989,055.00","28,997,341.00","26,028,563.00","29,681,773.00","28,981,588.00","26,448,199.00","5,942,620.00", 
8CO,8Common Ltd,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , ,"1,704,812.00","3,161,543.00","2,072,061.00","3,309,616.00","1,391,690.00","1,504,881.00","1,097,312.00","1,842,596.00", 
8IH,8I Holdings Ltd,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , ,"2,451,082.00","3,597,911.00","7,210,843.00","6,433,211.00","20,264,380.00","10,754,421.00","12,375,137.00","19,822,466.00","29,062,460.00"
8VI,8VI Holdings Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , ,"1,790,400.00","3,539,761.00","2,616,407.00","7,034,663.00","3,313,731.00","7,764,296.00","14,318,559.00","21,391,043.00"
92E,92 Energy Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , ,"318,675.00","347,254.00", 
99L,99 Loyalty Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , ,"6,592,350.00","2,421,201.00","4,599,898.00","43,230,818.00","47,619,477.00","70,130,675.00","79,368,243.00","90,052,404.00","69,693,200.00","48,678,007.00", 
9SP,9 Spokes International Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , ,"2,984,000.00","4,876,712.00","5,473,417.00","6,122,390.00","5,110,656.00","4,249,518.00","3,585,835.00"
A1C,AIC Resources Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , ,"42,899.00","132,793.00", , , , 
A1G,African Gold Limited ,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , ,--,"780,148.00","80,788.00","804,511.00", 
A1M,AIC Mines Limited,Annual Balance Sheet - Total Liabilities,"6,047,763.00","6,947,225.00","12,067,170.00","16,853,695.00","1,697,504.00","36,901,000.00","60,493,000.00","50,904,000.00","10,755,000.00","11,491,000.00","6,664,370.00","4,862,150.00","2,000,192.00","15,201,162.00","4,886,613.00","1,220,000.00","374,000.00","289,000.00","597,000.00","826,000.00","1,219,000.00","25,177,000.00", 
A200,BetaShares Australia 200 ETF,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , ,"111,000.00","22,143,000.00","22,681,000.00","7,403,000.00", 
A2B,A2B Australia Limited,Annual Balance Sheet - Total Liabilities,"13,646,430.00","14,413,921.00","34,293,652.00","25,149,541.00","31,675,000.00","28,544,000.00","72,021,000.00","92,577,000.00","114,286,000.00","139,202,000.00","153,961,000.00","172,174,000.00","199,932,000.00","234,005,000.00","194,048,000.00","163,767,000.00","141,698,000.00","35,443,000.00","42,498,000.00","50,822,000.00","59,344,000.00","65,005,000.00","91,933,000.00"
A2M,The a2 Milk Company Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , ,"26,773,508.00","73,480,789.00","97,569,523.00","153,048,702.00","196,536,035.00","298,285,527.00","268,079,106.00","470,681,818.00"
A3D,Aurora Labs Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , ,"427,174.00", ,"999,159.00","792,199.00","2,288,951.00","1,650,596.00","711,201.00","716,579.00"
A40,Alita Resources Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , ,"94,725,000.00", , , , 
A4N,Alpha HPA Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , ,"538,370.00","104,589.00","2,763,832.00","106,714.00","181,902.00","590,577.00","581,835.00","101,995.00","1,279,402.00","1,784,816.00","841,682.00","579,871.00","586,068.00","1,687,087.00","7,692,863.00"
A8G,Australasian Metals Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , ,"113,445.00","304,763.00", 
AAA,BetaShares Australian High Interest Cash ETF,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , ,"34,670,000.00", , ,"1,737,000.00","1,820,000.00","2,257,000.00","2,577,000.00","2,473,000.00","1,471,000.00","969,000.00", 
AAB,Absolute Return Fund (The),Annual Balance Sheet - Total Liabilities, , , ,"1,223,409.00","7,470,000.00", , , , , , , , , , , , , , , , , , 
AAC,Australian Agricultural Company Limited,Annual Balance Sheet - Total Liabilities,--,"156,440,000.00","137,801,000.00","184,391,000.00","369,198,000.00","386,480,000.00","506,698,000.00","572,536,000.00","637,061,000.00","437,020,000.00","480,093,000.00","492,939,000.00","528,831,000.00","504,702,000.00","352,289,000.00","451,793,000.00","496,983,000.00","527,912,000.00","477,777,000.00","442,916,000.00","522,153,000.00","540,939,000.00","692,321,000.00"
AAG,Aragon Resources Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , ,"786,681.00","277,301.00","4,805,610.00", , , , , , , , , , , , 
AAH,Arana Therapeutics Limited,Annual Balance Sheet - Total Liabilities,"11,937,000.00","3,900,000.00","1,801,000.00","2,474,000.00","3,367,000.00","8,109,000.00","14,241,000.00","20,238,000.00","25,440,000.00", , , , , , , , , , , , , , 
AAI,Alcoa Inc.,Annual Balance Sheet - Total Liabilities,"33,853,790,613.00","32,173,913,043.00","32,832,921,229.00","24,394,666,666.00","23,078,808,203.00","35,217,253,281.00","26,225,199,039.00","23,056,941,923.00","33,905,889,145.00","25,545,768,759.00","21,850,831,447.00","22,572,863,332.00","22,781,201,848.00","24,832,364,774.00","27,560,351,133.00","30,655,625,513.00", , , , , , , 
AAJ,Aruma Resources Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , ,"60,794.00","155,727.00","175,609.00","398,371.00","183,756.00","182,380.00","92,862.00","153,844.00","148,359.00","414,785.00","425,796.00","188,361.00", 
AAK,Australia China Holdings Limited,Annual Balance Sheet - Total Liabilities,"69,288,000.00","83,800,000.00","93,201,000.00","68,888,000.00","53,855,000.00","66,262,000.00","1,810,000.00","4,535,000.00","5,193,000.00","16,416,000.00","3,778,000.00","1,724,000.00","2,102,000.00","2,981,000.00","3,676,000.00","3,746,000.00","1,416,000.00", , , , , , 
AAN,Alinta Limited,Annual Balance Sheet - Total Liabilities, , , , , , ,"7,213,126,000.00", , , , , , , , , , , , , , , , 
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - Total Liabilities, , , , ,"535,314.00","1,585,485.00","3,353,350.00","3,134,683.00","14,861,809.00","14,121,364.00","13,063,540.00","13,956,762.00","15,031,156.00","9,219,929.00","8,641,658.00","8,556,462.00","7,897,652.00","7,321,719.00","7,356,404.00","9,323,040.00","7,987,021.00","9,666,951.00", 
AAP1,AAPT Limited ,Annual Balance Sheet - Total Liabilities,"445,190,000.00", , , , , , , , , , , , , , , , , , , , , , 
AAR,Astral Resources NL,Annual Balance Sheet - Total Liabilities,"236,297.00","300,385.00","103,816.00","157,308.00","127,274.00","101,712.00","398,484.00","1,031,337.00","876,903.00","604,849.00","842,880.00","578,137.00","333,982.00","443,108.00","845,438.00","625,753.00","587,427.00","589,784.00","504,066.00","737,933.00","663,656.00","693,856.00", 
AAS,Asian Pacific Limited,Annual Balance Sheet - Total Liabilities,"2,135,724.00","3,518,000.00","5,139,000.00","2,329,000.00","3,780,359.00","2,746,000.00","2,750,612.00","8,140,906.00", , , , , , , , , , , , , , , 
AASF,Airlie Australian Share Fund (Managed Fund),Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , , ,"2,093,000.00","6,698,000.00"
AAT,AAT Corporation Limited,Annual Balance Sheet - Total Liabilities,"30,845,124.00","52,400,000.00","83,882,000.00","89,611,000.00","143,017,000.00","176,168,000.00","204,531,000.00","57,286,000.00","93,541,000.00","111,172,000.00", , ,"3,342,292.00","4,034,317.00","184,503.00","702,611.00", , , , , , , 
AAU,Antilles Gold Limited,Annual Balance Sheet - Total Liabilities,"245,007.00","347,277.00","529,449.00","369,054.00","1,152,544.00","73,076.00","284,033.00","516,133.00","3,293,112.00","9,424,037.00","2,681,541.00","36,468,000.00","25,203,000.00","19,915,000.00","19,812,000.00","13,125,000.00","13,403,000.00","12,409,000.00","12,622,481.00","8,440,782.00","26,863,869.00","25,444,815.00", 
AAU1,Adcorp Australia Limited,Annual Balance Sheet - Total Liabilities,"28,790,000.00","32,072,000.00","25,261,000.00","31,371,000.00","33,085,000.00","29,693,000.00","27,560,000.00","34,829,000.00","38,354,000.00","26,979,000.00","37,933,000.00","36,468,000.00","25,203,000.00","19,915,000.00","19,812,000.00","13,125,000.00","13,403,000.00","12,409,000.00","12,622,481.00","8,440,782.00", , , 
AAX,Ausenco Limited,Annual Balance Sheet - Total Liabilities, , , , , ,"21,157,000.00","36,085,000.00","122,946,000.00","281,757,000.00","163,941,000.00","172,419,000.00","204,249,000.00","183,507,000.00","149,598,000.00","125,816,000.00","117,827,000.00", , , , , , , 
AB1,Abarta Resources Limited,Annual Balance Sheet - Total Liabilities, , , , , , , ,"42,898.00","65,359.00","32,940.00","51,284.00","107,024.00","208,236.00","168,414.00","792,100.00","5,846,831.00","2,880,758.00","3,689,206.00","10,095,609.00","28,278,504.00", , , 
AB11,Animoca Brands Corporation Limited,Annual Balance Sheet - Total Liabilities, , , , , , , ,"42,898.00","65,359.00","32,940.00","51,284.00","107,024.00","208,236.00","168,414.00","5,869,122.00","5,846,831.00","2,880,758.00","3,689,206.00","10,095,609.00","28,278,504.00", , , 
ABA,Auswide Bank Ltd,Annual Balance Sheet - Total Liabilities,"884,775,064.00","540,772,580.00","540,756,273.00","687,873,349.00","762,086,906.00","807,328,412.00","1,556,763,733.00","1,638,902,715.00","2,137,677,699.00","2,327,117,580.00","2,564,324,159.00","2,514,196,714.00","2,497,971,994.00","2,485,459,045.00","2,438,217,123.00","2,517,033,481.00","2,856,165,121.00","3,066,270,000.00","3,113,533,000.00","3,364,905,000.00","3,547,428,000.00","3,899,248,000.00","4,222,501,000.00"
ABB,Aussie Broadband Limited,Annual Balance Sheet - Total Liabilities, ,"786,514,000.00","303,718,000.00","93,706,000.00","470,207,000.00","323,220,000.00","659,800,000.00","1,071,900,000.00","698,800,000.00", , , , , , , , , , , ,"45,906,000.00","57,366,000.00","359,773,000.00"
ABB1,ABB Grain Limited,Annual Balance Sheet - Total Liabilities, ,"786,514,000.00","303,718,000.00","93,706,000.00","470,207,000.00","323,220,000.00","659,800,000.00","1,071,900,000.00","698,800,000.00", , , , , , , , , , , , , , 
ABC,ADBRI Limited,Annual Balance Sheet - Total Liabilities,"423,439,000.00","399,196,000.00","397,202,000.00","447,095,000.00","412,528,000.00","488,042,000.00","499,700,000.00","571,200,000.00","656,200,000.00","458,000,000.00","397,600,000.00","509,100,000.00","608,600,000.00","571,900,000.00","676,600,000.00","631,200,000.00","606,600,000.00","764,800,000.00","832,500,000.00","956,400,000.00","900,900,000.00","1,013,900,000.00", 
ABE,Australian Bond Exchange Holdings Limited,Annual Balance Sheet - Total Liabilities, , , , , , , , , , , , , , , , , , , , , ,"2,591,000.00","958,655.00"
