yearmonth,month,year,usd_to_aud,aud_to_usd,exchange_return,,,,,,,,
200804,4,2008,0.9337,1.071007818,,,,,,,,,
200805,5,2008,0.9559,1.046134533,-0.023224187,,,,,,,,
200806,6,2008,0.9626,1.038853106,-0.006960316,,,,,,,,
200807,7,2008,0.9434,1.05999576,0.020351919,,,,,,,,
200808,8,2008,0.8639,1.157541382,0.09202454,,,,,,,,
200809,9,2008,0.7996,1.250625313,0.080415208,,,,,,,,
200810,10,2008,0.668,1.497005988,0.197005988,,,,,,,,
200811,11,2008,0.6572,1.521606817,0.016433354,,,,,,,,
200812,12,2008,0.6928,1.443418014,-0.051385681,,,,,,,,
200901,1,2009,0.6438,1.553277415,0.076110593,,,,,,,,
200902,2,2009,0.6454,1.549426712,-0.002479083,,,,,,,,
200903,3,2009,0.6873,1.454968718,-0.060963189,,,,,,,,
200904,4,2009,0.7265,1.376462491,-0.05395733,,,,,,,,
200905,5,2009,0.7912,1.263902932,-0.08177452,,,,,,,,
200906,6,2009,0.8114,1.232437762,-0.024895243,,,,,,,,
200907,7,2009,0.8281,1.207583625,-0.020166647,,,,,,,,
200908,8,2009,0.8393,1.191469081,-0.013344454,,,,,,,,
200909,9,2009,0.8801,1.136234519,-0.046358368,,,,,,,,
200910,10,2009,0.9161,1.091583888,-0.03929702,,,,,,,,
200911,11,2009,0.9178,1.089561996,-0.001852255,,,,,,,,
200912,12,2009,0.8969,1.1149515,0.023302486,,,,,,,,
201001,1,2010,0.8909,1.122460433,0.006734763,,,,,,,,
201002,2,2010,0.8899,1.123721766,0.001123722,,,,,,,,
201003,3,2010,0.9159,1.091822251,-0.028387379,,,,,,,,
201004,4,2010,0.93,1.075268817,-0.01516129,,,,,,,,
201005,5,2010,0.849,1.177856302,0.09540636,,,,,,,,
201006,6,2010,0.8523,1.173295788,-0.003871876,,,,,,,,
201007,7,2010,0.8986,1.112842199,-0.051524594,,,,,,,,
201008,8,2010,0.8918,1.121327652,0.007625028,,,,,,,,
201009,9,2010,0.9667,1.034447088,-0.077480087,,,,,,,,
201010,10,2010,0.9761,1.024485196,-0.009630161,,,,,,,,
201011,11,2010,0.9618,1.039717197,0.014867956,,,,,,,,
201012,12,2010,1.0163,0.983961429,-0.053625898,,,,,,,,
201101,1,2011,0.9924,1.007658202,0.024083031,,,,,,,,
201102,2,2011,1.0163,0.983961429,-0.023516678,,,,,,,,
201103,3,2011,1.0334,0.967679505,-0.01654732,,,,,,,,
201104,4,2011,1.09,0.917431193,-0.051926606,,,,,,,,
201105,5,2011,1.0709,0.933794005,0.017835465,,,,,,,,
201106,6,2011,1.0739,0.931185399,-0.002793556,,,,,,,,
201107,7,2011,1.0954,0.912908527,-0.019627533,,,,,,,,
201108,8,2011,1.0691,0.935366196,0.024600131,,,,,,,,
201109,9,2011,0.9781,1.022390349,0.093037522,,,,,,,,
201110,10,2011,1.0509,0.951565325,-0.069273956,,,,,,,,
201111,11,2011,1.0021,0.997904401,0.048697735,,,,,,,,
201112,12,2011,1.0156,0.984639622,-0.013292635,,,,,,,,
201201,1,2012,1.0637,0.940114694,-0.045219517,,,,,,,,
201202,2,2012,1.0816,0.924556213,-0.016549556,,,,,,,,
201203,3,2012,1.0402,0.961353586,0.039800038,,,,,,,,
201204,4,2012,1.0453,0.956663159,-0.004878982,,,,,,,,
201205,5,2012,0.9727,1.028066207,0.074637607,,,,,,,,
201206,6,2012,1.0191,0.981257973,-0.04553037,,,,,,,,
201207,7,2012,1.0526,0.950028501,-0.031825955,,,,,,,,
201208,8,2012,1.0301,0.970779536,0.02184254,,,,,,,,
201209,9,2012,1.0464,0.955657492,-0.015577217,,,,,,,,
201210,10,2012,1.0378,0.963576797,0.00828676,,,,,,,,
201211,11,2012,1.0431,0.958680855,-0.005081009,,,,,,,,
201212,12,2012,1.0384,0.963020031,0.004526194,,,,,,,,
