
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ret",="ret",="ret",="ret",="ret",="ret",="ret",="ret"

="scope1_int",="-3.12e-08",="",="",="",="-3.10e-08",="",="",=""
="",="(-0.23)",="",="",="",="(-0.33)",="",="",=""

="logsize",="-0.00572",="-0.00572",="-0.00583",="-0.00662",="-0.00765***",="-0.00750***",="-0.00796***",="-0.00781**"
="",="(-1.33)",="(-1.34)",="(-1.36)",="(-1.36)",="(-3.24)",="(-3.17)",="(-3.51)",="(-2.87)"

="winsor_bm",="-0.0290***",="-0.0286***",="-0.0283***",="-0.0296***",="-0.0251***",="-0.0248***",="-0.0244***",="-0.0252***"
="",="(-3.68)",="(-3.62)",="(-3.74)",="(-4.11)",="(-3.66)",="(-3.67)",="(-3.58)",="(-3.79)"

="winsor_leverage",="-0.00907",="-0.0107",="-0.0126",="-0.0104",="-0.0131",="-0.0135",="-0.0154",="-0.0134"
="",="(-0.52)",="(-0.64)",="(-0.81)",="(-0.69)",="(-1.33)",="(-1.38)",="(-1.53)",="(-1.38)"

="winsor_mom",="-0.0512",="-0.0510",="-0.0592",="-0.0523",="0.00689",="0.00577",="-0.000539",="0.00573"
="",="(-0.45)",="(-0.45)",="(-0.52)",="(-0.46)",="(0.07)",="(0.06)",="(-0.01)",="(0.06)"

="winsor_investa",="0.150**",="0.149*",="0.167*",="0.158*",="0.0952",="0.0944",="0.110",="0.0962"
="",="(2.18)",="(2.13)",="(2.13)",="(2.04)",="(1.59)",="(1.57)",="(1.68)",="(1.56)"

="winsor_roe",="0.00140",="0.00134",="-0.00282",="0.00218",="0.0100",="0.00977",="0.00797",="0.00990"
="",="(0.06)",="(0.06)",="(-0.12)",="(0.10)",="(0.52)",="(0.51)",="(0.41)",="(0.51)"

="logppe",="0.00318",="0.00348",="0.00376",="0.00395",="0.00646**",="0.00647**",="0.00779**",="0.00669*"
="",="(0.69)",="(0.76)",="(0.86)",="(0.83)",="(2.20)",="(2.20)",="(2.43)",="(2.05)"

="winsor_volat",="0.0104",="0.0102",="0.0143",="0.0106",="0.0138*",="0.0134*",="0.0176*",="0.0137**"
="",="(1.29)",="(1.27)",="(1.37)",="(1.29)",="(2.10)",="(2.10)",="(2.10)",="(2.21)"

="winsor_salesgr",="0.00646",="0.00644",="0.00597",="0.00572",="0.00613",="0.00618",="0.00603",="0.00600"
="",="(1.43)",="(1.40)",="(1.28)",="(1.26)",="(1.26)",="(1.26)",="(1.21)",="(1.25)"

="winsor_epsgr",="0.000112",="0.000116",="0.000108",="0.000118",="0.000124*",="0.000128*",="0.000125*",="0.000128*"
="",="(1.44)",="(1.48)",="(1.47)",="(1.61)",="(1.88)",="(1.96)",="(2.02)",="(2.14)"

="scope2_int",="",="0.00000146",="",="",="",="0.000000779",="",=""
="",="",="(0.25)",="",="",="",="(0.23)",="",=""

="total_emissions_int",="",="",="-3.62e-12",="",="",="",="-3.09e-12***",=""
="",="",="",="(-1.73)",="",="",="",="(-3.32)",=""

="energy_consumption_int",="",="",="",="-0.000000198",="",="",="",="-4.88e-08"
="",="",="",="",="(-0.64)",="",="",="",="(-0.37)"

="_cons",="0.0941",="0.0877",="0.0864",="0.0995*",="0.0595",="0.0558",="0.0398",="0.0586"
="",="(1.59)",="(1.45)",="(1.73)",="(1.85)",="(1.45)",="(1.40)",="(0.99)",="(1.54)"

="N",="3560",="3560",="3560",="3560",="3560",="3560",="3560",="3560"
="R-sq",="0.230",="0.230",="0.231",="0.230",="0.225",="0.225",="0.226",="0.225"
="adj. R-sq",="0.185",="0.185",="0.186",="0.185",="0.189",="0.189",="0.190",="0.189"

="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
