
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ret",="ret",="ret",="ret",="ret",="ret",="ret",="ret"

="log_scope1",="-0.00170",="",="",="",="-0.000326",="",="",=""
="",="(-0.88)",="",="",="",="(-0.32)",="",="",=""

="logsize",="-0.00561",="-0.00605",="-0.00579",="-0.00578",="-0.00784**",="-0.00720***",="-0.00793***",="-0.00789***"
="",="(-1.35)",="(-1.36)",="(-1.38)",="(-1.40)",="(-2.93)",="(-3.29)",="(-3.48)",="(-3.33)"

="winsor_bm",="-0.0285***",="-0.0289***",="-0.0286***",="-0.0281***",="-0.0250***",="-0.0241***",="-0.0247***",="-0.0248***"
="",="(-3.88)",="(-3.61)",="(-3.72)",="(-3.74)",="(-3.82)",="(-3.17)",="(-3.53)",="(-3.66)"

="winsor_leverage",="-0.00870",="-0.00845",="-0.0114",="-0.0137",="-0.0142",="-0.0139",="-0.0166",="-0.0158"
="",="(-0.56)",="(-0.52)",="(-0.71)",="(-0.86)",="(-1.49)",="(-1.34)",="(-1.55)",="(-1.56)"

="winsor_mom",="-0.0508",="-0.0355",="-0.0495",="-0.0505",="0.00692",="0.0187",="0.00505",="0.00559"
="",="(-0.44)",="(-0.30)",="(-0.43)",="(-0.44)",="(0.07)",="(0.20)",="(0.06)",="(0.06)"

="winsor_investa",="0.156*",="0.153*",="0.151*",="0.161*",="0.0963",="0.0984",="0.102",="0.0989"
="",="(1.97)",="(2.10)",="(2.04)",="(1.91)",="(1.54)",="(1.51)",="(1.54)",="(1.55)"

="winsor_roe",="0.000975",="-0.000232",="0.00145",="0.00116",="0.00956",="0.00936",="0.00965",="0.00971"
="",="(0.04)",="(-0.01)",="(0.06)",="(0.05)",="(0.50)",="(0.49)",="(0.50)",="(0.51)"

="logppe",="0.00433",="0.00371",="0.00441",="0.00592",="0.00703",="0.00666*",="0.00796*",="0.00743*"
="",="(0.85)",="(0.71)",="(0.84)",="(1.07)",="(1.67)",="(2.12)",="(1.89)",="(1.90)"

="winsor_volat",="0.0110",="0.0107",="0.0109",="0.0112",="0.0138**",="0.0139**",="0.0140**",="0.0138**"
="",="(1.22)",="(1.23)",="(1.21)",="(1.22)",="(2.19)",="(2.22)",="(2.23)",="(2.23)"

="winsor_salesgr",="0.00605",="0.00650",="0.00628",="0.00547",="0.00615",="0.00586",="0.00594",="0.00613"
="",="(1.35)",="(1.41)",="(1.40)",="(1.25)",="(1.27)",="(1.21)",="(1.23)",="(1.26)"

="winsor_epsgr",="0.000115",="0.000113",="0.000112",="0.000120",="0.000126*",="0.000127*",="0.000127*",="0.000128*"
="",="(1.60)",="(1.55)",="(1.54)",="(1.65)",="(2.08)",="(2.12)",="(2.06)",="(2.09)"

="log_scope2",="",="-0.000247",="",="",="",="-0.000707",="",=""
="",="",="(-0.11)",="",="",="",="(-0.52)",="",=""

="log_total_emissions",="",="",="-0.000720",="",="",="",="-0.000676",=""
="",="",="",="(-0.64)",="",="",="",="(-0.92)",=""

="log_energy_consumption",="",="",="",="-0.00389",="",="",="",="-0.000798"
="",="",="",="",="(-1.21)",="",="",="",="(-0.73)"

="_cons",="0.0876",="0.0927",="0.0876",="0.0970*",="0.0559",="0.0531",="0.0516",="0.0570"
="",="(1.66)",="(1.72)",="(1.63)",="(1.94)",="(1.41)",="(1.23)",="(1.21)",="(1.52)"

="N",="3560",="3534",="3560",="3560",="3560",="3534",="3560",="3560"
="R-sq",="0.230",="0.232",="0.230",="0.230",="0.225",="0.228",="0.225",="0.225"
="adj. R-sq",="0.185",="0.187",="0.185",="0.186",="0.189",="0.191",="0.189",="0.189"

="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
