
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="log_scope1",="log_scope2",="log_total_emissions",="log_energy_consumption",="change_scope1",="change_scope2",="change_total_emissions",="change_energy_consumption",="scope1_int",="total_emissions_int",="energy_consumption_int"

="logsize",="0.107",="0.311",="0.344",="0.0501",="207900.8",="4002.8",="2.38718e+10",="2341066.2",="3156.1",="23288172.3",="6858.4"
="",="(0.74)",="(1.29)",="(1.31)",="(0.39)",="(1.39)",="(0.57)",="(0.05)",="(1.57)",="(1.09)",="(0.17)",="(1.01)"

="winsor_bm",="0.135",="0.0162",="0.0488",="0.177",="-11299.8",="-6022.3",="-5.77300e+11",="-92149.9",="-2360.9",="163645086.0",="-403.4"
="",="(1.22)",="(0.07)",="(0.15)",="(1.38)",="(-0.11)",="(-0.99)",="(-1.34)",="(-0.11)",="(-1.37)",="(1.05)",="(-0.11)"

="winsor_roe",="0.191",="0.477",="0.999",="0.0762",="-92229.1",="-5089.4",="4.86898e+11",="-1118873.7",="2576.6",="-350840585.6",="-1623.0"
="",="(0.61)",="(0.75)",="(1.48)",="(0.37)",="(-0.77)",="(-0.34)",="(0.53)",="(-0.48)",="(1.42)",="(-1.21)",="(-0.21)"

="winsor_leverage",="0.698",="-1.542",="-1.760",="-0.957",="967345.4",="33694.2",="2.78246e+12",="15263694.7*",="27599.4",="-574733417.5",="-3688.7"
="",="(0.68)",="(-1.43)",="(-0.90)",="(-1.44)",="(1.27)",="(1.15)",="(1.55)",="(1.88)",="(1.60)",="(-0.61)",="(-0.24)"

="winsor_investa",="2.035",="-0.773",="0.766",="1.838",="-1493632.9",="-168500.5**",="-8.15457e+12",="-25370818.2*",="3341.5",="2.59032e+09",="4406.8"
="",="(1.06)",="(-0.27)",="(0.17)",="(1.31)",="(-1.37)",="(-2.20)",="(-1.34)",="(-1.90)",="(0.18)",="(1.16)",="(0.08)"

="logppe",="0.408***",="0.350",="0.866***",="0.482***",="-56722.1",="-2199.0",="1.74778e+11",="-1030110.7",="-6297.3",="-19149203.8",="-15889.8"
="",="(3.54)",="(1.68)",="(3.28)",="(4.22)",="(-1.09)",="(-0.40)",="(0.50)",="(-1.05)",="(-1.50)",="(-0.16)",="(-1.61)"

="winsor_salesgr",="-0.143",="-0.198",="-0.310",="-0.185**",="-120881.5",="9258.2*",="6.21911e+11",="334254.3",="744.6",="-51970422.4",="-2641.8"
="",="(-1.64)",="(-1.11)",="(-1.62)",="(-2.47)",="(-1.08)",="(1.82)",="(0.82)",="(0.17)",="(1.03)",="(-0.66)",="(-1.12)"

="winsor_epsgr",="0.000738",="-0.000458",="0.0000936",="0.000496",="685.9",="-33.33",="-2.53087e+09",="-695.1",="1.279",="-311769.9",="16.31"
="",="(1.44)",="(-1.08)",="(0.15)",="(1.49)",="(1.28)",="(-1.25)",="(-0.69)",="(-0.07)",="(0.40)",="(-0.76)",="(1.18)"

="_cons",="0.970",="-2.545",="-0.955",="3.977*",="-3477742.1",="-54517.9",="-5.01130e+12***",="-33645575.8*",="59084.9*",="436993291.1",="191079.0*"
="",="(0.37)",="(-0.78)",="(-0.19)",="(1.86)",="(-1.33)",="(-0.83)",="(-3.55)",="(-1.96)",="(1.95)",="(0.21)",="(1.93)"

="N",="437",="433",="437",="435",="367",="367",="367",="366",="437",="437",="435"
="R-sq",="0.797",="0.701",="0.726",="0.849",="0.140",="0.099",="0.068",="0.088",="0.360",="0.295",="0.462"
="adj. R-sq",="0.768",="0.657",="0.687",="0.827",="0.001",="-0.046",="-0.083",="-0.060",="0.267",="0.193",="0.384"

="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
