ticker_year_month,ticker,year-month,year,month,ret,MKT-RF,SMB,HML,WML,pmc
AIO_2010_01,AIO,201001.0,2010,1,-0.0604395604395604,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
AMP_2010_01,AMP,201001.0,2010,1,-0.0753323485967503,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
BKN_2010_01,BKN,201001.0,2010,1,-0.1158357771260997,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
BKW_2010_01,BKW,201001.0,2010,1,-0.0184294871794872,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
BSL_2010_01,BSL,201001.0,2010,1,-0.157558731785712,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
CCL_2010_01,CCL,201001.0,2010,1,-0.0520381613183,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
CEY_2010_01,CEY,201001.0,2010,1,-0.0875,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
CRG_2010_01,CRG,201001.0,2010,1,-0.0676532769556026,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
CSR_2010_01,CSR,201001.0,2010,1,0.0110674128976957,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
DJS_2010_01,DJS,201001.0,2010,1,-0.1185185185185185,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
DOW_2010_01,DOW,201001.0,2010,1,-0.1112240262069295,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
ENE1_2010_01,ENE1,201001.0,2010,1,0.0110294117647058,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
ENV1_2010_01,ENV1,201001.0,2010,1,-0.0392156862745098,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
FGL1_2010_01,FGL1,201001.0,2010,1,-0.0296803652968036,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
FMG_2010_01,FMG,201001.0,2010,1,0.0202702702702701,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
GFF_2010_01,GFF,201001.0,2010,1,-0.0460526315789474,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
GNC_2010_01,GNC,201001.0,2010,1,-0.0725821151252232,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
GRR_2010_01,GRR,201001.0,2010,1,0.2405982905982906,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
HVN_2010_01,HVN,201001.0,2010,1,-0.1279565336589985,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
ILU_2010_01,ILU,201001.0,2010,1,-0.078211382113821,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
KZL_2010_01,KZL,201001.0,2010,1,-0.1238095238095238,-6.25,4.52,-0.02,-2.71,-0.0061775444880912
ABY1_2010_02,ABY1,201002.0,2010,2,-0.0865384615384615,2.63,-2.08,1.57,1.0,0.0021028999480859
AIO_2010_02,AIO,201002.0,2010,2,0.0526315789473685,2.63,-2.08,1.57,1.0,0.0021028999480859
AMP_2010_02,AMP,201002.0,2010,2,-0.0511182108626196,2.63,-2.08,1.57,1.0,0.0021028999480859
BKN_2010_02,BKN,201002.0,2010,2,0.0746268656716417,2.63,-2.08,1.57,1.0,0.0021028999480859
BKW_2010_02,BKW,201002.0,2010,2,0.0040816326530612,2.63,-2.08,1.57,1.0,0.0021028999480859
BSL_2010_02,BSL,201002.0,2010,2,-0.0763366805110141,2.63,-2.08,1.57,1.0,0.0021028999480859
CCL_2010_02,CCL,201002.0,2010,2,0.0265324794144556,2.63,-2.08,1.57,1.0,0.0021028999480859
CRG_2010_02,CRG,201002.0,2010,2,-0.0476190476190475,2.63,-2.08,1.57,1.0,0.0021028999480859
CSR_2010_02,CSR,201002.0,2010,2,-0.1123301333998255,2.63,-2.08,1.57,1.0,0.0021028999480859
DJS_2010_02,DJS,201002.0,2010,2,-0.0042016806722687,2.63,-2.08,1.57,1.0,0.0021028999480859
DOW_2010_02,DOW,201002.0,2010,2,-0.0493415300178911,2.63,-2.08,1.57,1.0,0.0021028999480859
ENE1_2010_02,ENE1,201002.0,2010,2,-0.1309090909090908,2.63,-2.08,1.57,1.0,0.0021028999480859
ENV1_2010_02,ENV1,201002.0,2010,2,0.0612244897959184,2.63,-2.08,1.57,1.0,0.0021028999480859
FGL1_2010_02,FGL1,201002.0,2010,2,0.0094117647058824,2.63,-2.08,1.57,1.0,0.0021028999480859
FMG_2010_02,FMG,201002.0,2010,2,0.0264900662251654,2.63,-2.08,1.57,1.0,0.0021028999480859
GFF_2010_02,GFF,201002.0,2010,2,-0.0344827586206897,2.63,-2.08,1.57,1.0,0.0021028999480859
GNC_2010_02,GNC,201002.0,2010,2,0.0782625786163522,2.63,-2.08,1.57,1.0,0.0021028999480859
GRR_2010_02,GRR,201002.0,2010,2,0.0747502583534274,2.63,-2.08,1.57,1.0,0.0021028999480859
HVN_2010_02,HVN,201002.0,2010,2,0.040755666066478,2.63,-2.08,1.57,1.0,0.0021028999480859
ILU_2010_02,ILU,201002.0,2010,2,0.084847415769977,2.63,-2.08,1.57,1.0,0.0021028999480859
KZL_2010_02,KZL,201002.0,2010,2,-0.0978260869565218,2.63,-2.08,1.57,1.0,0.0021028999480859
ABY1_2010_03,ABY1,201003.0,2010,3,0.1578947368421053,7.65,-0.42,1.21,1.67,0.0005221371312865
AIO_2010_03,AIO,201003.0,2010,3,0.0518518518518518,7.65,-0.42,1.21,1.67,0.0005221371312865
AMP_2010_03,AMP,201003.0,2010,3,0.0538720538720538,7.65,-0.42,1.21,1.67,0.0005221371312865
BKN_2010_03,BKN,201003.0,2010,3,0.1820987654320986,7.65,-0.42,1.21,1.67,0.0005221371312865
BKW_2010_03,BKW,201003.0,2010,3,0.0731707317073169,7.65,-0.42,1.21,1.67,0.0005221371312865
BSL_2010_03,BSL,201003.0,2010,3,0.2024832700454535,7.65,-0.42,1.21,1.67,0.0005221371312865
CCL_2010_03,CCL,201003.0,2010,3,0.0026737967914438,7.65,-0.42,1.21,1.67,0.0005221371312865
CRG_2010_03,CRG,201003.0,2010,3,0.0666666666666666,7.65,-0.42,1.21,1.67,0.0005221371312865
CSR_2010_03,CSR,201003.0,2010,3,0.0216011235955055,7.65,-0.42,1.21,1.67,0.0005221371312865
DJS_2010_03,DJS,201003.0,2010,3,0.00210970464135,7.65,-0.42,1.21,1.67,0.0005221371312865
DOW_2010_03,DOW,201003.0,2010,3,-0.0430445302882369,7.65,-0.42,1.21,1.67,0.0005221371312865
ENE1_2010_03,ENE1,201003.0,2010,3,0.0502092050209204,7.65,-0.42,1.21,1.67,0.0005221371312865
ENV1_2010_03,ENV1,201003.0,2010,3,-0.0192307692307692,7.65,-0.42,1.21,1.67,0.0005221371312865
FGL1_2010_03,FGL1,201003.0,2010,3,-0.0186480186480186,7.65,-0.42,1.21,1.67,0.0005221371312865
FMG_2010_03,FMG,201003.0,2010,3,0.053763440860215,7.65,-0.42,1.21,1.67,0.0005221371312865
GFF_2010_03,GFF,201003.0,2010,3,-0.0499999999999999,7.65,-0.42,1.21,1.67,0.0005221371312865
GNC_2010_03,GNC,201003.0,2010,3,0.0032080492873025,7.65,-0.42,1.21,1.67,0.0005221371312865
GRR_2010_03,GRR,201003.0,2010,3,0.5833333333333333,7.65,-0.42,1.21,1.67,0.0005221371312865
HVN_2010_03,HVN,201003.0,2010,3,-0.0548400384456954,7.65,-0.42,1.21,1.67,0.0005221371312865
ILU_2010_03,ILU,201003.0,2010,3,0.2234146341463414,7.65,-0.42,1.21,1.67,0.0005221371312865
KZL_2010_03,KZL,201003.0,2010,3,-0.0361445783132529,7.65,-0.42,1.21,1.67,0.0005221371312865
ABY1_2010_04,ABY1,201004.0,2010,4,-0.0181818181818181,0.76,3.94,-0.87,0.42,-0.0153520077394983
AIO_2010_04,AIO,201004.0,2010,4,-0.102112676056338,0.76,3.94,-0.87,0.42,-0.0153520077394983
BKN_2010_04,BKN,201004.0,2010,4,-0.0430809399477807,0.76,3.94,-0.87,0.42,-0.0153520077394983
BKW_2010_04,BKW,201004.0,2010,4,-0.018181818181818,0.76,3.94,-0.87,0.42,-0.0153520077394983
BSL_2010_04,BSL,201004.0,2010,4,-0.0893464516347162,0.76,3.94,-0.87,0.42,-0.0153520077394983
CCL_2010_04,CCL,201004.0,2010,4,-0.0026666666666665,0.76,3.94,-0.87,0.42,-0.0153520077394983
CRG_2010_04,CRG,201004.0,2010,4,0.0089285714285711,0.76,3.94,-0.87,0.42,-0.0153520077394983
CSR_2010_04,CSR,201004.0,2010,4,0.0574115317990597,0.76,3.94,-0.87,0.42,-0.0153520077394983
DJS_2010_04,DJS,201004.0,2010,4,-0.0126315789473683,0.76,3.94,-0.87,0.42,-0.0153520077394983
DOW_2010_04,DOW,201004.0,2010,4,-0.0740658593207057,0.76,3.94,-0.87,0.42,-0.0153520077394983
ENE1_2010_04,ENE1,201004.0,2010,4,-0.0079681274900397,0.76,3.94,-0.87,0.42,-0.0153520077394983
ENV1_2010_04,ENV1,201004.0,2010,4,0.0196078431372548,0.76,3.94,-0.87,0.42,-0.0153520077394983
FGL1_2010_04,FGL1,201004.0,2010,4,0.0285035629453682,0.76,3.94,-0.87,0.42,-0.0153520077394983
FMG_2010_04,FMG,201004.0,2010,4,-0.0653061224489796,0.76,3.94,-0.87,0.42,-0.0153520077394983
GFF_2010_04,GFF,201004.0,2010,4,0.0225563909774435,0.76,3.94,-0.87,0.42,-0.0153520077394983
GNC_2010_04,GNC,201004.0,2010,4,-0.0723500127184854,0.76,3.94,-0.87,0.42,-0.0153520077394983
GRR_2010_04,GRR,201004.0,2010,4,0.0702429149797569,0.76,3.94,-0.87,0.42,-0.0153520077394983
HVN_2010_04,HVN,201004.0,2010,4,-0.0579929106862688,0.76,3.94,-0.87,0.42,-0.0153520077394983
ILU_2010_04,ILU,201004.0,2010,4,0.0616693248272195,0.76,3.94,-0.87,0.42,-0.0153520077394983
KZL_2010_04,KZL,201004.0,2010,4,-0.0625,0.76,3.94,-0.87,0.42,-0.0153520077394983
ABY1_2010_05,ABY1,201005.0,2010,5,-0.3055555555555556,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
AIO_2010_05,AIO,201005.0,2010,5,-0.0588235294117647,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
BKN_2010_05,BKN,201005.0,2010,5,0.0122783083219644,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
BKW_2010_05,BKW,201005.0,2010,5,-0.070216049382716,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
BSL_2010_05,BSL,201005.0,2010,5,-0.1245247712961862,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
CCL_2010_05,CCL,201005.0,2010,5,-0.0303030303030302,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
CRG_2010_05,CRG,201005.0,2010,5,-0.0154867256637166,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
CSR_2010_05,CSR,201005.0,2010,5,-0.0342980471695659,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
DJS_2010_05,DJS,201005.0,2010,5,-0.0618336886993603,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
DOW_2010_05,DOW,201005.0,2010,5,-0.1042957521558606,-12.22,-3.06,1.56,-3.97,-0.0125872945614445
