ticker_year_month,ticker,yearmonth,year,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABC_2021_02,ABC,202102,2021,2,.13240418,3.8699999,1.63,4.9099998,-.72000003,.0056769787,.13240418,3.8699999,1.63,4.1100001,-.72000003,.0056769787,ABC,2021m2,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_01,ABC,202001,2020,1,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.01770176,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.01770176,ABC,2020m1,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_10,ABC,202010,2020,10,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.0060928189,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.0060928189,ABC,2020m10,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2021_05,ABC,202105,2021,5,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.010978973,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.010978973,ABC,2021m5,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_06,ABC,202006,2020,6,.16911764,7.5799999,-2.96,1.3,3.0899999,-.0068328362,.16911764,7.5799999,-2.96,1.3,3.0899999,-.0068328362,ABC,2020m6,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_09,ABC,202009,2020,9,.11764706,-4.98,2.8699999,.14,.70999998,.00017995347,.11764706,-4.98,2.8699999,.14,.70999998,.00017995347,ABC,2020m9,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2021_01,ABC,202101,2021,1,-.14328358,1.16,1.8099999,.76999998,5.8200002,.0038524505,-.14328358,1.16,1.8099999,.76999998,5.8200002,.0038524505,ABC,2021m1,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_11,ABC,202011,2020,11,.091872789,13.52,-1.9299999,2,-8.3699999,-.0044213086,.091872789,12.84,-1.9299999,2,-5.3800001,-.0044213086,ABC,2020m11,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_12,ABC,202012,2020,12,.084142394,5.25,1.3,-2.5599999,6.0999999,.0062402375,.084142394,5.25,1.3,-2.5599999,6.0999999,.0062402375,ABC,2020m12,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_07,ABC,202007,2020,7,-.30503145,2.3199999,2.3399999,-6,7.6500001,.0093357824,-.21921182,2.3199999,2.3399999,-6,6.71,.0093357824,ABC,2020m7,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
ABC_2020_08,ABC,202008,2020,8,.15384616,6.4200001,.41,-3.9100001,3.4200001,-.0098589621,.15384616,6.4200001,.41,-3.9100001,3.4200001,-.0098589621,ABC,2020m8,18,.5273430436084127,.3304026451119179,.0123583420181703,.017161618133194,.0026731078287366,-.0083905985313641,-7.444346269732288,-.0006122164644919
