ticker_year_month,ticker,year,ret,month,MKT-RF,SMB,HML,WML,pmc
AGL_2009_08,AGL,2009,-0.0630923270585851,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
AIO_2009_08,AIO,2009,-0.00625,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
AMP_2009_08,AMP,2009,0.1316725978647688,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
AOE_2009_08,AOE,2009,0.0699300699300697,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
BKN_2009_08,BKN,2009,0.1912878787878786,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
BSL_2009_08,BSL,2009,-0.1513353808784202,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
CCL_2009_08,CCL,2009,0.0621650589496247,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
CEY_2009_08,CEY,2009,0.1739130434782607,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
CSR_2009_08,CSR,2009,0.099748554186573,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
DOW_2009_08,DOW,2009,0.2357297874539254,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
ENV1_2009_08,ENV1,2009,-0.0576923076923077,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
FGL1_2009_08,FGL1,2009,0.0163170163170163,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
FLX1_2009_08,FLX1,2009,-0.0357541899441339,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
FMG_2009_08,FMG,2009,0.0450236966824646,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
GFF_2009_08,GFF,2009,0.1085271317829457,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
GNC_2009_08,GNC,2009,0.0426753181931618,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
GRR_2009_08,GRR,2009,0.0720261913423063,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
HVN_2009_08,HVN,2009,0.2012120823446419,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
ILU_2009_08,ILU,2009,0.2539115436737711,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
IPL_2009_08,IPL,2009,0.0905797101449275,8,1.64,3.97,-5.1,-4.49,-0.0225386153379119
AGL_2009_09,AGL,2009,-0.0207713987876916,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
AIO_2009_09,AIO,2009,0.0398322851153041,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
AMP_2009_09,AMP,2009,0.0251572327044022,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
AOE_2009_09,AOE,2009,-0.0675381263616556,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
BKN_2009_09,BKN,2009,0.0476947535771064,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
BKW_2009_09,BKW,2009,0.0729768786127167,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
BSL_2009_09,BSL,2009,0.0244798546895641,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
CCL_2009_09,CCL,2009,-0.0100908173562057,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
CEY_2009_09,CEY,2009,-0.0826210826210824,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
CSR_2009_09,CSR,2009,-0.0784461668610102,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
DOW_2009_09,DOW,2009,0.0212003791257804,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
ENV1_2009_09,ENV1,2009,0.1632653061224489,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
FGL1_2009_09,FGL1,2009,0.013761467889908,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
FLX1_2009_09,FLX1,2009,-0.0063731170336038,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
FMG_2009_09,FMG,2009,-0.1337868480725624,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
GFF_2009_09,GFF,2009,0.0839160839160839,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
GNC_2009_09,GNC,2009,0.1547220132667714,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
GRR_2009_09,GRR,2009,-0.2205632846963013,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
HVN_2009_09,HVN,2009,0.0913750300312323,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
ILU_2009_09,ILU,2009,0.0076144625663194,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
IPL_2009_09,IPL,2009,-0.0598006644518271,9,8.7,0.28,0.52,-0.26,-0.0072483137475424
AGL_2009_10,AGL,2009,0.0146276071442652,10,1.25,1.66,2.16,1.25,0.0038076459994693
AIO_2009_10,AIO,2009,-0.0745967741935483,10,1.25,1.66,2.16,1.25,0.0038076459994693
AMP_2009_10,AMP,2009,-0.0874233128834355,10,1.25,1.66,2.16,1.25,0.0038076459994693
AOE_2009_10,AOE,2009,-0.0397196261682243,10,1.25,1.66,2.16,1.25,0.0038076459994693
BKN_2009_10,BKN,2009,-0.0470409711684369,10,1.25,1.66,2.16,1.25,0.0038076459994693
BKW_2009_10,BKW,2009,-0.1245791245791245,10,1.25,1.66,2.16,1.25,0.0038076459994693
BSL_2009_10,BSL,2009,0.0307114746611865,10,1.25,1.66,2.16,1.25,0.0038076459994693
CCL_2009_10,CCL,2009,0.0846075433231396,10,1.25,1.66,2.16,1.25,0.0038076459994693
CEY_2009_10,CEY,2009,-0.0093167701863354,10,1.25,1.66,2.16,1.25,0.0038076459994693
CSR_2009_10,CSR,2009,0.0495459733042227,10,1.25,1.66,2.16,1.25,0.0038076459994693
DOW_2009_10,DOW,2009,0.0525080188357331,10,1.25,1.66,2.16,1.25,0.0038076459994693
ENV1_2009_10,ENV1,2009,-0.0701754385964911,10,1.25,1.66,2.16,1.25,0.0038076459994693
FGL1_2009_10,FGL1,2009,-0.01131221719457,10,1.25,1.66,2.16,1.25,0.0038076459994693
FLX1_2009_10,FLX1,2009,0.0134110787172012,10,1.25,1.66,2.16,1.25,0.0038076459994693
FMG_2009_10,FMG,2009,0.0078534031413612,10,1.25,1.66,2.16,1.25,0.0038076459994693
GFF_2009_10,GFF,2009,-0.0322580645161291,10,1.25,1.66,2.16,1.25,0.0038076459994693
GNC_2009_10,GNC,2009,-0.0881821681324213,10,1.25,1.66,2.16,1.25,0.0038076459994693
GRR_2009_10,GRR,2009,-0.0565955594253373,10,1.25,1.66,2.16,1.25,0.0038076459994693
HVN_2009_10,HVN,2009,-0.0721064475100283,10,1.25,1.66,2.16,1.25,0.0038076459994693
ILU_2009_10,ILU,2009,-0.1206182048656817,10,1.25,1.66,2.16,1.25,0.0038076459994693
IPL_2009_10,IPL,2009,-0.0600706713780918,10,1.25,1.66,2.16,1.25,0.0038076459994693
AGL_2009_11,AGL,2009,-0.0021605657884511,11,2.65,1.67,-2.57,1.25,-0.0062080704366464
AIO_2009_11,AIO,2009,0.0806100217864924,11,2.65,1.67,-2.57,1.25,-0.0062080704366464
AMP_2009_11,AMP,2009,0.0386554621848738,11,2.65,1.67,-2.57,1.25,-0.0062080704366464
AOE_2009_11,AOE,2009,-0.0510948905109489,11,2.65,1.67,-2.57,1.25,-0.0062080704366464
BKN_2009_11,BKN,2009,0.1305732484076431,11,2.65,1.67,-2.57,1.25,-0.0062080704366464
