ticker_year_month,ticker,yearmonth,year,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABC_2021_04,ABC,202104,2021,4,-.074712642,4.3400002,2.0799999,-1.59,6.71,.016829286,-.074712642,4.3400002,2.0799999,-1.59,6.71,.016829286,ABC,2021m4,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_10,ABC,202010,2020,10,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.011046367,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.011046367,ABC,2020m10,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_11,ABC,202011,2020,11,.091872789,13.52,-1.9299999,2,-8.3699999,.026043743,.091872789,12.84,-1.9299999,2,-5.3800001,.026043743,ABC,2020m11,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_04,ABC,202004,2020,4,.31884059,11.12,1.13,-5.6599998,4.8600001,.030464245,.25617579,11.12,1.13,-5.6599998,4.8600001,.030464245,ABC,2020m4,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_01,ABC,202001,2020,1,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.013765663,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.013765663,ABC,2020m1,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2021_02,ABC,202102,2021,2,.13240418,3.8699999,1.63,4.9099998,-.72000003,.037569948,.13240418,3.8699999,1.63,4.1100001,-.72000003,.033832047,ABC,2021m2,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_02,ABC,202002,2020,2,-.17582418,-6.79,-1.9299999,3.5699999,-3.1500001,-.034306969,-.17582418,-6.79,-1.9299999,3.5699999,-3.1500001,-.034306969,ABC,2020m2,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2021_03,ABC,202103,2021,3,.070769228,1.14,-2.29,4.1100001,-3.8399999,-.025578186,.070769228,1.14,-2.29,4.1100001,-3.8399999,-.025578186,ABC,2021m3,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_09,ABC,202009,2020,9,.11764706,-4.98,2.8699999,.14,.70999998,-.01405728,.11764706,-4.98,2.8699999,.14,.70999998,-.01405728,ABC,2020m9,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2021_01,ABC,202101,2021,1,-.14328358,1.16,1.8099999,.76999998,5.8200002,.0047014914,-.14328358,1.16,1.8099999,.76999998,5.8200002,.0047014914,ABC,2021m1,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_12,ABC,202012,2020,12,.084142394,5.25,1.3,-2.5599999,6.0999999,.037562232,.084142394,5.25,1.3,-2.5599999,6.0999999,.033832047,ABC,2020m12,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_03,ABC,202003,2020,3,-.31,-19.08,-2.48,1.17,-2.79,-.024216978,-.22570533,-11.42,-2.48,1.17,-2.79,-.024216978,ABC,2020m3,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_05,ABC,202005,2020,5,-.0036630037,.31999999,5.6100001,-8.6499996,.47,.033832047,-.0036630037,.31999999,5.6100001,-6,.47,.033832047,ABC,2020m5,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2021_05,ABC,202105,2021,5,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.0094828652,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.0094828652,ABC,2021m5,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_07,ABC,202007,2020,7,-.30503145,2.3199999,2.3399999,-6,7.6500001,.024759678,-.22570533,2.3199999,2.3399999,-6,6.71,.024759678,ABC,2020m7,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_06,ABC,202006,2020,6,.16911764,7.5799999,-2.96,1.3,3.0899999,.0012561405,.16911764,7.5799999,-2.96,1.3,3.0899999,.0012561405,ABC,2020m6,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2021_06,ABC,202106,2021,6,.045180723,-.87,.60000002,-.98000002,.85000002,.0082350876,.045180723,-.87,.60000002,-.98000002,.85000002,.0082350876,ABC,2021m6,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABC_2020_08,ABC,202008,2020,8,.15384616,6.4200001,.41,-3.9100001,3.4200001,-.0034799541,.15384616,6.4200001,.41,-3.9100001,3.4200001,-.0034799541,ABC,2020m8,18,.4366742159452905,.2019551392558282,.0202356781108241,.0122585768269578,-.0018581400248734,-.0065572222929301,-2.197205955410432,-.0023885136761197
ABY1_2011_02,ABY1,201102,2011,2,.072580643,-.07,.31,-4.3600001,1.15,.014721077,.072580643,-.07,.31,-4.3600001,1.15,.014721077,ABY1,2011m2,28,.6388942871870898,.5568248070023376,.0141811883118938,.0126600241565557,.0014090500719612,-.0008509837845937,2.508395640678919,-.0258365772478321
ABY1_2011_01,ABY1,201101,2011,1,-.074626863,-.79000002,-.88999999,3,.41,-.0041181045,-.074626863,-.79000002,-.88999999,3,.41,-.0041181045,ABY1,2011m1,28,.6388942871870898,.5568248070023376,.0141811883118938,.0126600241565557,.0014090500719612,-.0008509837845937,2.508395640678919,-.0258365772478321
ABY1_2011_08,ABY1,201108,2011,8,-.18791947,-6.6700001,-2.1600001,-1.88,1,-.0012119478,-.18791947,-6.6700001,-2.1600001,-1.88,1,-.0012119478,ABY1,2011m8,28,.6388942871870898,.5568248070023376,.0141811883118938,.0126600241565557,.0014090500719612,-.0008509837845937,2.508395640678919,-.0258365772478321
ABY1_2010_10,ABY1,201010,2010,10,.043103449,3.7,1.4400001,-2.3199999,1.3200001,-.0036999069,.043103449,3.7,1.4400001,-2.3199999,1.3200001,-.0036999069,ABY1,2010m10,28,.6388942871870898,.5568248070023376,.0141811883118938,.0126600241565557,.0014090500719612,-.0008509837845937,2.508395640678919,-.0258365772478321
ABY1_2011_11,ABY1,201111,2011,11,-.21428572,-6.5300002,.97000003,-1.0700001,5.4000001,-.023345565,-.21428572,-6.5300002,.97000003,-1.0700001,5.4000001,-.023345565,ABY1,2011m11,28,.6388942871870898,.5568248070023376,.0141811883118938,.0126600241565557,.0014090500719612,-.0008509837845937,2.508395640678919,-.0258365772478321
ABY1_2015_01,ABY1,201501,2015,1,.052631579,.38,-2.9200001,4.4200001,5.0300002,.0044909618,.052631579,.38,-2.9200001,4.1100001,5.0300002,.0044909618,ABY1,2015m1,28,.6388942871870898,.5568248070023376,.0141811883118938,.0126600241565557,.0014090500719612,-.0008509837845937,2.508395640678919,-.0258365772478321
ABY1_2012_07,ABY1,201207,2012,7,-.12765957,4.7600002,-3.5899999,1.48,3.9100001,-.018752741,-.12765957,4.7600002,-3.5899999,1.48,3.9100001,-.018752741,ABY1,2012m7,28,.6388942871870898,.5568248070023376,.0141811883118938,.0126600241565557,.0014090500719612,-.0008509837845937,2.508395640678919,-.0258365772478321
