ticker_year_month,ticker,yearmonth,year,industry,month,ret,mktrf,smb,hml,wml,pmc,winsor_ret,winsor_mktrf,winsor_smb,winsor_hml,winsor_wml,winsor_pmc,ticker_encode,date,_Nobs,_R2,_adjR2,_b_winsor_mktrf,_b_winsor_smb,_b_winsor_hml,_b_winsor_wml,_b_winsor_pmc,_b_cons
ABC_2020_08,ABC,202008,2020,206,8,.15384616,6.4200001,.41,-3.9100001,3.4200001,-.0084880674,.15384616,6.4200001,.41,-3.9100001,3.4200001,-.0084880674,ABC,2020m8,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_02,ABC,202002,2020,206,2,-.17582418,-6.79,-1.9299999,3.5699999,-3.1500001,.00096329802,-.17582418,-6.79,-1.9299999,3.5699999,-3.1500001,.00096329802,ABC,2020m2,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_10,ABC,202010,2020,206,10,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.0066232816,-.007017544,-.029999999,-.43000001,-.11,.38999999,-.0066232816,ABC,2020m10,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_12,ABC,202012,2020,206,12,.084142394,5.25,1.3,-2.5599999,6.0999999,.006487316,.084142394,5.25,1.3,-2.5599999,6.0999999,.006487316,ABC,2020m12,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_05,ABC,202005,2020,206,5,-.0036630037,.31999999,5.6100001,-8.6499996,.47,.01277527,-.0036630037,.31999999,5.6100001,-5.6599998,.47,.01277527,ABC,2020m5,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_09,ABC,202009,2020,206,9,.11764706,-4.98,2.8699999,.14,.70999998,-.00077027077,.11764706,-4.98,2.8699999,.14,.70999998,-.00077027077,ABC,2020m9,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2021_05,ABC,202105,2021,206,5,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.010623581,.031055901,1.75,-.43000001,1.1900001,-2.3599999,-.010623581,ABC,2021m5,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_07,ABC,202007,2020,206,7,-.30503145,2.3199999,2.3399999,-6,7.6500001,.0083564213,-.22570533,2.3199999,2.3399999,-5.6599998,6.71,.0083564213,ABC,2020m7,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_03,ABC,202003,2020,206,3,-.31,-19.08,-2.48,1.17,-2.79,.0047530038,-.22570533,-12.22,-2.48,1.17,-2.79,.0047530038,ABC,2020m3,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_01,ABC,202001,2020,206,1,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.017436124,.05202312,-2.8699999,-1.4400001,-2.96,3.72,-.017436124,ABC,2020m1,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2021_03,ABC,202103,2021,206,3,.070769228,1.14,-2.29,4.1100001,-3.8399999,-.00031661754,.070769228,1.14,-2.29,4.1100001,-3.8399999,-.00031661754,ABC,2021m3,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
ABC_2020_06,ABC,202006,2020,206,6,.16911764,7.5799999,-2.96,1.3,3.0899999,-.0047839312,.16911764,7.5799999,-2.96,1.3,3.0899999,-.0047839312,ABC,2020m6,18,.5428805154919875,.3524140636136489,.013413899944908,.0194231672613848,.0023977601095325,-.0085619952874445,-8.591702876776234,-.0039009682750695
