ticker_year_month,ticker,year-month,year,industry,month,ret,MKT-RF,SMB,HML,WML,pmc
AGL_2009_08,AGL,200908.0,2009,91.0,8,-0.0630923270585851,1.64,3.97,-5.1,-4.49,-0.0166572781630629
AIO_2009_08,AIO,200908.0,2009,81.0,8,-0.00625,1.64,3.97,-5.1,-4.49,-0.0166572781630629
AMP_2009_08,AMP,200908.0,2009,104.0,8,0.1316725978647688,1.64,3.97,-5.1,-4.49,-0.0166572781630629
AOE_2009_08,AOE,200908.0,2009,50.0,8,0.0699300699300697,1.64,3.97,-5.1,-4.49,-0.0166572781630629
BKN_2009_08,BKN,200908.0,2009,43.0,8,0.1912878787878786,1.64,3.97,-5.1,-4.49,-0.0166572781630629
BSL_2009_08,BSL,200908.0,2009,56.0,8,-0.1513353808784202,1.64,3.97,-5.1,-4.49,-0.0166572781630629
CCL_2009_08,CCL,200908.0,2009,114.0,8,0.0621650589496247,1.64,3.97,-5.1,-4.49,-0.0166572781630629
CEY_2009_08,CEY,200908.0,2009,49.0,8,0.1739130434782607,1.64,3.97,-5.1,-4.49,-0.0166572781630629
CSR_2009_08,CSR,200908.0,2009,30.0,8,0.099748554186573,1.64,3.97,-5.1,-4.49,-0.0166572781630629
DOW_2009_08,DOW,200908.0,2009,216.0,8,0.2357297874539254,1.64,3.97,-5.1,-4.49,-0.0166572781630629
ENV1_2009_08,ENV1,200908.0,2009,31.0,8,-0.0576923076923077,1.64,3.97,-5.1,-4.49,-0.0166572781630629
FGL1_2009_08,FGL1,200908.0,2009,67.0,8,0.0163170163170163,1.64,3.97,-5.1,-4.49,-0.0166572781630629
FLX1_2009_08,FLX1,200908.0,2009,49.0,8,-0.0357541899441339,1.64,3.97,-5.1,-4.49,-0.0166572781630629
FMG_2009_08,FMG,200908.0,2009,56.0,8,0.0450236966824646,1.64,3.97,-5.1,-4.49,-0.0166572781630629
GFF_2009_08,GFF,200908.0,2009,71.0,8,0.1085271317829457,1.64,3.97,-5.1,-4.49,-0.0166572781630629
GNC_2009_08,GNC,200908.0,2009,35.0,8,0.0426753181931618,1.64,3.97,-5.1,-4.49,-0.0166572781630629
GRR_2009_08,GRR,200908.0,2009,122.0,8,0.0720261913423063,1.64,3.97,-5.1,-4.49,-0.0166572781630629
HVN_2009_08,HVN,200908.0,2009,87.0,8,0.2012120823446419,1.64,3.97,-5.1,-4.49,-0.0166572781630629
ILU_2009_08,ILU,200908.0,2009,122.0,8,0.2539115436737711,1.64,3.97,-5.1,-4.49,-0.0166572781630629
IPL_2009_08,IPL,200908.0,2009,92.0,8,0.0905797101449275,1.64,3.97,-5.1,-4.49,-0.0166572781630629
AGL_2009_09,AGL,200909.0,2009,91.0,9,-0.0207713987876916,8.7,0.28,0.52,-0.26,-0.008177776175012
AIO_2009_09,AIO,200909.0,2009,81.0,9,0.0398322851153041,8.7,0.28,0.52,-0.26,-0.008177776175012
AMP_2009_09,AMP,200909.0,2009,104.0,9,0.0251572327044022,8.7,0.28,0.52,-0.26,-0.008177776175012
AOE_2009_09,AOE,200909.0,2009,50.0,9,-0.0675381263616556,8.7,0.28,0.52,-0.26,-0.008177776175012
BKN_2009_09,BKN,200909.0,2009,43.0,9,0.0476947535771064,8.7,0.28,0.52,-0.26,-0.008177776175012
BKW_2009_09,BKW,200909.0,2009,30.0,9,0.0729768786127167,8.7,0.28,0.52,-0.26,-0.008177776175012
BSL_2009_09,BSL,200909.0,2009,56.0,9,0.0244798546895641,8.7,0.28,0.52,-0.26,-0.008177776175012
CCL_2009_09,CCL,200909.0,2009,114.0,9,-0.0100908173562057,8.7,0.28,0.52,-0.26,-0.008177776175012
CEY_2009_09,CEY,200909.0,2009,49.0,9,-0.0826210826210824,8.7,0.28,0.52,-0.26,-0.008177776175012
CSR_2009_09,CSR,200909.0,2009,30.0,9,-0.0784461668610102,8.7,0.28,0.52,-0.26,-0.008177776175012
DOW_2009_09,DOW,200909.0,2009,216.0,9,0.0212003791257804,8.7,0.28,0.52,-0.26,-0.008177776175012
ENV1_2009_09,ENV1,200909.0,2009,31.0,9,0.1632653061224489,8.7,0.28,0.52,-0.26,-0.008177776175012
FGL1_2009_09,FGL1,200909.0,2009,67.0,9,0.013761467889908,8.7,0.28,0.52,-0.26,-0.008177776175012
FLX1_2009_09,FLX1,200909.0,2009,49.0,9,-0.0063731170336038,8.7,0.28,0.52,-0.26,-0.008177776175012
FMG_2009_09,FMG,200909.0,2009,56.0,9,-0.1337868480725624,8.7,0.28,0.52,-0.26,-0.008177776175012
GFF_2009_09,GFF,200909.0,2009,71.0,9,0.0839160839160839,8.7,0.28,0.52,-0.26,-0.008177776175012
GNC_2009_09,GNC,200909.0,2009,35.0,9,0.1547220132667714,8.7,0.28,0.52,-0.26,-0.008177776175012
GRR_2009_09,GRR,200909.0,2009,122.0,9,-0.2205632846963013,8.7,0.28,0.52,-0.26,-0.008177776175012
HVN_2009_09,HVN,200909.0,2009,87.0,9,0.0913750300312323,8.7,0.28,0.52,-0.26,-0.008177776175012
ILU_2009_09,ILU,200909.0,2009,122.0,9,0.0076144625663194,8.7,0.28,0.52,-0.26,-0.008177776175012
IPL_2009_09,IPL,200909.0,2009,92.0,9,-0.0598006644518271,8.7,0.28,0.52,-0.26,-0.008177776175012
AGL_2009_10,AGL,200910.0,2009,91.0,10,0.0146276071442652,1.25,1.66,2.16,1.25,0.0068366053638808
AIO_2009_10,AIO,200910.0,2009,81.0,10,-0.0745967741935483,1.25,1.66,2.16,1.25,0.0068366053638808
AMP_2009_10,AMP,200910.0,2009,104.0,10,-0.0874233128834355,1.25,1.66,2.16,1.25,0.0068366053638808
AOE_2009_10,AOE,200910.0,2009,50.0,10,-0.0397196261682243,1.25,1.66,2.16,1.25,0.0068366053638808
BKN_2009_10,BKN,200910.0,2009,43.0,10,-0.0470409711684369,1.25,1.66,2.16,1.25,0.0068366053638808
BKW_2009_10,BKW,200910.0,2009,30.0,10,-0.1245791245791245,1.25,1.66,2.16,1.25,0.0068366053638808
BSL_2009_10,BSL,200910.0,2009,56.0,10,0.0307114746611865,1.25,1.66,2.16,1.25,0.0068366053638808
CCL_2009_10,CCL,200910.0,2009,114.0,10,0.0846075433231396,1.25,1.66,2.16,1.25,0.0068366053638808
CEY_2009_10,CEY,200910.0,2009,49.0,10,-0.0093167701863354,1.25,1.66,2.16,1.25,0.0068366053638808
CSR_2009_10,CSR,200910.0,2009,30.0,10,0.0495459733042227,1.25,1.66,2.16,1.25,0.0068366053638808
DOW_2009_10,DOW,200910.0,2009,216.0,10,0.0525080188357331,1.25,1.66,2.16,1.25,0.0068366053638808
ENV1_2009_10,ENV1,200910.0,2009,31.0,10,-0.0701754385964911,1.25,1.66,2.16,1.25,0.0068366053638808
FGL1_2009_10,FGL1,200910.0,2009,67.0,10,-0.01131221719457,1.25,1.66,2.16,1.25,0.0068366053638808
FLX1_2009_10,FLX1,200910.0,2009,49.0,10,0.0134110787172012,1.25,1.66,2.16,1.25,0.0068366053638808
FMG_2009_10,FMG,200910.0,2009,56.0,10,0.0078534031413612,1.25,1.66,2.16,1.25,0.0068366053638808
GFF_2009_10,GFF,200910.0,2009,71.0,10,-0.0322580645161291,1.25,1.66,2.16,1.25,0.0068366053638808
GNC_2009_10,GNC,200910.0,2009,35.0,10,-0.0881821681324213,1.25,1.66,2.16,1.25,0.0068366053638808
GRR_2009_10,GRR,200910.0,2009,122.0,10,-0.0565955594253373,1.25,1.66,2.16,1.25,0.0068366053638808
HVN_2009_10,HVN,200910.0,2009,87.0,10,-0.0721064475100283,1.25,1.66,2.16,1.25,0.0068366053638808
ILU_2009_10,ILU,200910.0,2009,122.0,10,-0.1206182048656817,1.25,1.66,2.16,1.25,0.0068366053638808
IPL_2009_10,IPL,200910.0,2009,92.0,10,-0.0600706713780918,1.25,1.66,2.16,1.25,0.0068366053638808
AGL_2009_11,AGL,200911.0,2009,91.0,11,-0.0021605657884511,2.65,1.67,-2.57,1.25,-0.0056413221195508
AIO_2009_11,AIO,200911.0,2009,81.0,11,0.0806100217864924,2.65,1.67,-2.57,1.25,-0.0056413221195508
