yearmonth,ticker,ln_marketcap,bm,leverage,investa,logppe,ppea,roe
200001,29M,,,,,,,
200002,29M,,,,,,,
200003,29M,,,,,,,
200004,29M,,,,,,,
200005,29M,,,,,,,
200006,29M,,,,,,,
200007,29M,,,,,,,
200008,29M,,,,,,,
200009,29M,,,,,,,
200010,29M,,,,,,,
200011,29M,,,,,,,
200012,29M,,,,,,,
200101,29M,,,,,,,
200102,29M,,,,,,,
200103,29M,,,,,,,
200104,29M,,,,,,,
200105,29M,,,,,,,
200106,29M,,,,,,,
200107,29M,,,,,,,
200108,29M,,,,,,,
200109,29M,,,,,,,
200110,29M,,,,,,,
200111,29M,,,,,,,
200112,29M,,,,,,,
200201,29M,,,,,,,
200202,29M,,,,,,,
200203,29M,,,,,,,
200204,29M,,,,,,,
200205,29M,,,,,,,
200206,29M,,,,,,,
200207,29M,,,,,,,
200208,29M,,,,,,,
200209,29M,,,,,,,
200210,29M,,,,,,,
200211,29M,,,,,,,
200212,29M,,,,,,,
200301,29M,,,,,,,
200302,29M,,,,,,,
200303,29M,,,,,,,
200304,29M,,,,,,,
200305,29M,,,,,,,
200306,29M,,,,,,,
200307,29M,,,,,,,
200308,29M,,,,,,,
200309,29M,,,,,,,
200310,29M,,,,,,,
200311,29M,,,,,,,
200312,29M,,,,,,,
200401,29M,,,,,,,
200402,29M,,,,,,,
200403,29M,,,,,,,
200404,29M,,,,,,,
200405,29M,,,,,,,
200406,29M,,,,,,,
200407,29M,,,,,,,
200408,29M,,,,,,,
200409,29M,,,,,,,
200410,29M,,,,,,,
200411,29M,,,,,,,
200412,29M,,,,,,,
200501,29M,,,,,,,
200502,29M,,,,,,,
200503,29M,,,,,,,
200504,29M,,,,,,,
200505,29M,,,,,,,
200506,29M,,,,,,,
200507,29M,,,,,,,
200508,29M,,,,,,,
200509,29M,,,,,,,
200510,29M,,,,,,,
200511,29M,,,,,,,
200512,29M,,,,,,,
200601,29M,,,,,,,
200602,29M,,,,,,,
200603,29M,,,,,,,
200604,29M,,,,,,,
200605,29M,,,,,,,
200606,29M,,,,,,,
200607,29M,,,,,,,
200608,29M,,,,,,,
200609,29M,,,,,,,
200610,29M,,,,,,,
200611,29M,,,,,,,
200612,29M,,,,,,,
200701,29M,,,,,,,
200702,29M,,,,,,,
200703,29M,,,,,,,
200704,29M,,,,,,,
200705,29M,,,,,,,
200706,29M,,,,,,,
200707,29M,,,,,,,
200708,29M,,,,,,,
200709,29M,,,,,,,
200710,29M,,,,,,,
200711,29M,,,,,,,
200712,29M,,,,,,,
200801,29M,,,,,,,
200802,29M,,,,,,,
200803,29M,,,,,,,
200804,29M,,,,,,,
200805,29M,,,,,,,
200806,29M,,,,,,,
200807,29M,,,,,,,
200808,29M,,,,,,,
200809,29M,,,,,,,
200810,29M,,,,,,,
200811,29M,,,,,,,
200812,29M,,,,,,,
200901,29M,,,,,,,
200902,29M,,,,,,,
200903,29M,,,,,,,
200904,29M,,,,,,,
200905,29M,,,,,,,
200906,29M,,,,,,,
200907,29M,,,,,,,
200908,29M,,,,,,,
200909,29M,,,,,,,
200910,29M,,,,,,,
200911,29M,,,,,,,
200912,29M,,,,,,,
201001,29M,,,,,,,
201002,29M,,,,,,,
201003,29M,,,,,,,
201004,29M,,,,,,,
201005,29M,,,,,,,
201006,29M,,,,,,,
201007,29M,,,,,,,
201008,29M,,,,,,,
201009,29M,,,,,,,
201010,29M,,,,,,,
201011,29M,,,,,,,
201012,29M,,,,,,,
201101,29M,,,,,,,
201102,29M,,,,,,,
201103,29M,,,,,,,
