,ticker,morningstar_name,year,capex,eoy_price,eps,ltdebt,marketcap,ppe,revenue,roe,stdebt,assets,liabilities
0,14D,1414 degrees,2000,,,,,,,,,,,
1,1AD,adalta,2000,,,,,,,,,,,
2,1AE,aurora energy metals,2000,,,,,,,,,,,
3,1AG,alterra,2000,,,,,,,,,,,
4,1AL,oneall international,2000,,,,,,,,,,,
5,1MC,morella,2000,-607281.0,,-1.5,,,0.0,8767.0,-0.1193,,3892456.0,160393.0
6,1PG,1-page,2000,,,,,,,,,,,
7,1ST,1st,2000,,,,,,,,,,,
8,1VG,victory goldfields,2000,,,,,,,,,,,
9,29M,29metals,2000,,,,,,,,,,,
10,2BE,tubi,2000,,,,,,,,,,,
11,360,life360 inc,2000,,,,,,,,,,,
12,3DA,amaero international,2000,,,,,,,,,,,
13,3DP,pointerra,2000,,,,,,,,,,,
14,3MF,3d metalforge,2000,,,,,,,,,,,
15,3PL,3p learning,2000,,,,,,,,,,,
16,4DS,4ds memory,2000,,,,,,,,,,,
17,4DX,4dmedical,2000,,,,,,,,,,,
18,4WD,automotive solutions,2000,,,,,,,,,,,
19,5GG,pentanet,2000,,,,,,,,,,,
20,5GN,5g networks,2000,,,,,,,,,,,
21,88E,88 energy,2000,-3754125.0,0.07,-8.36,,9756424.93,4033434.0,1818563.0,-1.9953,488374.0,8522979.0,4007052.0
22,8CO,8common,2000,,,,,,,,,,,
23,8IH,8i,2000,,,,,,,,,,,
24,8VI,8vi,2000,,,,,,,,,,,
25,92E,92 energy,2000,,,,,,,,,,,
26,99L,99 loyalty,2000,,,,,,,,,,,
27,9SP,9 spokes international,2000,,,,,,,,,,,
28,A1C,aic resources,2000,,,,,,,,,,,
29,A1G,african gold,2000,,,,,,,,,,,
30,A1M,aic mines,2000,-1528399.0,0.04,-1.93,5795309.0,7764874.13,97558.0,446717.0,-0.3513,,10890393.0,6047763.0
31,A200,betashares australia 200 etf,2000,,,,,,,,,,,
32,A2B,a2b australia,2000,-2120591.0,2.12,12.97,,228249401.44,16943737.0,477467668.0,0.12269999999999999,,102940984.0,13646430.0
33,A2M,the a2 milk company,2000,,,,,,,,,,,
34,A3D,aurora labs,2000,,,,,,,,,,,
35,A40,alita resources,2000,,,,,,,,,,,
36,A4N,alpha hpa,2000,,,,,,,,,,,
37,A8G,australasian metals,2000,,,,,,,,,,,
38,AAA,betashares australian high interest cash etf,2000,,,,,,,,,,,
39,AAB,absolute return fund (the),2000,,,,,,,,,,,
40,AAC,australian agricultural company,2000,,,0.0,,,,88379000.0,,,,
41,AAG,aragon resources,2000,,,,,,,,,,,
42,AAH,arana therapeutics,2000,-400000.0,0.71,-0.23,9334000.0,98853371.0,13533000.0,10918000.0,0.0374,587000.0,21835000.0,11937000.0
43,AAI,alcoa inc,2000,-1985559566.0,57.0,328.99,9001805054.0,46411053000.0,23194945848.0,75232311120.0,0.12990000000000002,5678700361.0,57203971119.0,33853790613.0
44,AAJ,aruma resources,2000,,,,,,,,,,,
45,AAK,australia china,2000,-692000.0,0.1,2.03,,11286032.94,36982000.0,47896000.0,0.038,9657000.0,156755000.0,69288000.0
46,AAN,alinta,2000,,,,,,,,,,,
47,AAP,australian agricultural projects,2000,,,,,,,,,,,
48,AAP1,aapt,2000,-218108000.0,5.48,12.71,240000000.0,1671280815.48,371755000.0,1006045000.0,0.0451,144000.0,794319000.0,445190000.0
49,AAR,astral resources nl,2000,-153603.0,0.02,-0.59,26509.0,3602752.8,43288.0,,-1.1562999999999999,5912.0,950251.0,236297.0
50,AAS,asian pacific,2000,-76894.0,,1.21,,,111152.0,9520814.0,0.5367999999999999,,4631896.0,2135724.0
51,AASF,airlie australian share fund (managed fund),2000,,,,,,,,,,,
52,AAT,aat,2000,-1333278.0,1.74,8.52,7011324.0,169990481.46,2753735.0,51168827.0,0.16829999999999998,912859.0,65987044.0,30845124.0
53,AAU,antilles gold,2000,-2621000.0,0.14,-40.85,,1113140.0,7754.0,786600.0,-0.2586,,2866335.0,245007.0
54,AAU1,adcorp australia,2000,-2621000.0,1.64,12.9,,90226953.4,3409000.0,114259000.0,0.3643,,43131000.0,28790000.0
55,AAX,ausenco,2000,,,,,,,,,,,
56,AB1,abarta resources,2000,,,,,,,,,,,
57,AB11,animoca brands,2000,,,,,,,,,,,
58,ABA,auswide bank,2000,-677099.0,3.25,25.96,,64960506.0,,,0.1253,,923884648.0,884775064.0
59,ABB,aussie broadband,2000,,,,,,,,,,,
60,ABB1,abb grain,2000,,,,,,,,,,,
61,ABC,adbri,2000,-44038000.0,0.4,7.58,204902000.0,189363596.8,509090000.0,641020000.0,0.1961,54977000.0,865668000.0,423439000.0
62,ABE,australian bond exchange,2000,,,,,,,,,,,
