,year,nger_name,scope1,scope2,energy_consumption,total_emissions
0,2009,a j bush & sons,122169.0,18750.0,1083428.0,140919.0
1,2009,a.a. scott,120151.0,7649.0,1754221.0,127800.0
2,2009,aapc,16612.0,179939.0,1006315.0,196551.0
3,2009,abb grain,89433.0,72922.0,1889997.0,162355.0
4,2009,actew,55149.0,165307.0,2715397.0,220456.0
5,2009,adelaide brighton,2848541.0,332695.0,18333687.0,3181236.0
6,2009,aditya birla minerals,90939.0,45322.0,1833655.0,136261.0
7,2009,agl energy,1623746.0,52883.0,40763207.0,1676629.0
8,2009,air liquide australia,13797.0,376882.0,1989323.0,390679.0
9,2009,alcan gove,1947103.0,6158.0,28510872.0,1953261.0
10,2009,alcoa australian,6851770.0,10663159.0,205631046.0,17514929.0
11,2009,aldi stores (a  partnership),41265.0,109540.0,1008937.0,150805.0
12,2009,amcor,505615.0,493159.0,9631087.0,998774.0
13,2009,amp,8066.0,183534.0,793474.0,191600.0
14,2009,anglo american australia,3795406.0,575737.0,11456579.0,4371143.0
15,2009,anglogold ashanti australia,139616.0,298.0,2611360.0,139914.0
16,2009,apache energy,642669.0,1138.0,3855786.0,643807.0
17,2009,apt pipelines,298906.0,97360.0,3260347.0,396266.0
18,2009,arrow energy,328702.0,39375.0,4076740.0,368077.0
19,2009,asciano,1026045.0,85100.0,15039983.0,1111145.0
20,2009,atco power  .,771178.0,51690.0,15851824.0,822868.0
21,2009,australia and new zealand banking,8294.0,152684.0,643032.0,160978.0
22,2009,australian postal,94352.0,223367.0,2222073.0,317719.0
23,2009,axia energy australia,494253.0,0.0,9845085.0,494253.0
24,2009,azsa,6511357.0,546696.0,9205535.0,7058053.0
25,2009,babcock & brown infrastructure,131076.0,3615.0,151659.0,134691.0
26,2009,babcock & brown power,8045893.0,122153.0,103272652.0,8168046.0
27,2009,baiada,81776.0,199352.0,2190202.0,281128.0
28,2009,barrick (australia pacific ),200172.0,240780.0,4281752.0,440952.0
29,2009,barrick (pd) australia,162608.0,112435.0,2990635.0,275043.0
30,2009,bgc (australia),77496.0,62399.0,1802293.0,139895.0
31,2009,bhp billiton aluminium australia,2691930.0,303124.0,40722886.0,2995054.0
32,2009,bhp billiton energy coal australia,844507.0,64397.0,3506751.0,908904.0
33,2009,bhp billiton,5061340.0,2264208.0,39201749.0,7325548.0
34,2009,bhp billiton nickel operations,1151089.0,49421.0,17183185.0,1200510.0
35,2009,big ben  .,176728.0,23962.0,826367.0,200690.0
36,2009,bilfinger berger australia,33271.0,100376.0,929103.0,133647.0
37,2009,billiton manganese australia,522219.0,85161.0,8055652.0,607380.0
38,2009,bluescope steel,7950369.0,1281441.0,188113354.0,9231810.0
39,2009,bm alliance coal operations,2650238.0,1136149.0,22780967.0,3786387.0
40,2009,boc,16123.0,589482.0,2557089.0,605605.0
41,2009,boral,2753283.0,574427.0,,3327710.0
42,2009,bp regional australasia,1440810.0,500379.0,267108722.0,1941189.0
43,2009,bradken,35901.0,101106.0,1098748.0,137007.0
44,2009,brickworks,299365.0,126543.0,6382464.0,425908.0
45,2009,brisbane city council,338731.0,78903.0,2777564.0,417634.0
46,2009,building supplies,94135.0,349219.0,9775740.0,443354.0
47,2009,burrup fertilisers,786309.0,0.0,15340651.0,786309.0
48,2009,c s energy,16629357.0,119712.0,198589732.0,16749069.0
49,2009,cadbury australia,46922.0,80080.0,1074884.0,127002.0
50,2009,cairnton,104997.0,99688.0,1203639.0,204685.0
51,2009,caltex australia,1887665.0,326605.0,464933427.0,2214270.0
52,2009,cement australia,2858988.0,248399.0,14313291.0,3107387.0
53,2009,centennial coal company,2354677.0,263939.0,1651200.0,2618616.0
54,2009,centro properties,3750.0,170509.0,699740.0,174259.0
55,2009,chedha,17604.0,1320662.0,4169567.0,1338266.0
56,2009,chevron australia,298009.0,3288.0,2033406.0,301297.0
57,2009,clarke energy (australia),126534.0,0.0,2097510.0,126534.0
58,2009,coca-cola amatil,58404.0,126119.0,1503201.0,184523.0
59,2009,comgen australia,588569.0,12285.0,1009205.0,600854.0
60,2009,commonwealth bank of australia,24319.0,418865.0,1975729.0,443184.0
61,2009,commonwealth scientific and industrial research organisation,17776.0,118197.0,725646.0,135973.0
62,2009,competitive foods australia,13241.0,126411.0,720688.0,139652.0
63,2009,conoco phillips australia gas,1769619.0,488.0,20029851.0,1770107.0
64,2009,coogee chemicals,31510.0,113964.0,2923092.0,145474.0
65,2009,country energy,40861.0,867157.0,3850011.0,908018.0
66,2009,crown,29782.0,143003.0,1040887.0,172785.0
67,2009,csr,644541.0,433382.0,57925158.0,1077923.0
68,2009,dbngp (wa) transmission,371996.0,2267.0,6770519.0,374263.0
69,2009,delta electricity,22228878.0,201841.0,253026794.0,22430719.0
70,2009,devereaux,148377.0,15247.0,1403159.0,163624.0
71,2009,dexus,8831.0,179236.0,804691.0,188067.0
72,2009,downer edi,200453.0,45291.0,9939461.0,245744.0
73,2009,ecogen,687728.0,22411.0,13592048.0,710139.0
74,2009,electranet,639.0,249600.0,1070824.0,250239.0
75,2009,electricity generation,10965617.0,0.0,137182369.0,10965617.0
76,2009,electricity networks,22472.0,960073.0,4250700.0,982545.0
77,2009,energex,152829.0,1329165.0,8320168.0,1481994.0
78,2009,energy developments,763914.0,2991.0,17299642.0,766905.0
79,2009,energyaustralia,25974.0,1366650.0,5884661.0,1392624.0
80,2009,envestra,627161.0,45.0,193.0,627206.0
81,2009,eraring energy,13254417.0,4291.0,148090920.0,13258708.0
82,2009,ergon energy,98202.0,886151.0,4921879.0,984353.0
83,2009,erm kwinana,270318.0,3970.0,5319565.0,274288.0
84,2009,etsa utilities,11255.0,626062.0,2836989.0,637317.0
85,2009,exxonmobil australia,2671605.0,292806.0,664798527.0,2964411.0
86,2009,farstad shipping (indian pacific),156098.0,0.0,2233161.0,156098.0
87,2009,felix resources,1331988.0,35222.0,2325517.0,1367210.0
88,2009,fletcher building (australia),93571.0,268564.0,4040913.0,362135.0
89,2009,food investments p/l,104179.0,213463.0,2589381.0,317642.0
90,2009,ford motor company of australia,45875.0,182095.0,1206635.0,227970.0
91,2009,fortescue metals,324263.0,37159.0,4854016.0,361422.0
92,2009,foster's,66601.0,168848.0,1694945.0,235449.0
93,2009,general motors australia,37708.0,173278.0,1384411.0,210986.0
94,2009,gold fields australia,104030.0,221054.0,2320942.0,325084.0
95,2009,goldfields power,193906.0,0.0,3749180.0,193906.0
96,2009,goodman fielder,99057.0,96464.0,1937518.0,195521.0
97,2009,gpt management,25769.0,168516.0,957933.0,194285.0
98,2009,graincorp,16958.0,115041.0,616164.0,131999.0
99,2009,grange resources,191493.0,27716.0,3955186.0,219209.0
100,2009,great energy alliance,18962761.0,313211.0,210600596.0,19275972.0
101,2009,gujarat nre minerals,673538.0,50584.0,230622.0,724122.0
102,2009,hanson australia (),174344.0,67373.0,2176261.0,241717.0
103,2009,harvey norman,7835.0,154188.0,674100.0,162023.0
104,2009,hcph,124577.0,53491.0,8179237.0,178068.0
105,2009,holcim participations (australia),212215.0,65788.0,3469234.0,278003.0
106,2009,honan,365711.0,206341.0,5324937.0,572052.0
