
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ret",="ret",="ret",="ret",="ret",="ret",="ret",="ret"

="change_scope1",="1.86e-09***",="",="",="",="8.63e-10*",="",="",=""
="",="(3.45)",="",="",="",="(1.95)",="",="",=""

="logsize",="-0.00620",="-0.00569",="-0.00575",="-0.00580",="-0.00787***",="-0.00785***",="-0.00782***",="-0.00784***"
="",="(-1.21)",="(-1.10)",="(-1.14)",="(-1.13)",="(-3.33)",="(-3.30)",="(-3.33)",="(-3.32)"

="winsor_bm",="-0.0285***",="-0.0277***",="-0.0282***",="-0.0283***",="-0.0225**",="-0.0221**",="-0.0226**",="-0.0226**"
="",="(-3.34)",="(-3.32)",="(-3.38)",="(-3.31)",="(-2.76)",="(-2.79)",="(-2.81)",="(-2.75)"

="winsor_leverage",="-0.0154",="-0.0133",="-0.0145",="-0.0151",="-0.0155",="-0.0145",="-0.0158",="-0.0156"
="",="(-0.96)",="(-0.84)",="(-0.90)",="(-0.98)",="(-1.23)",="(-1.15)",="(-1.24)",="(-1.22)"

="winsor_mom",="0.0243",="0.0336",="0.0349",="0.0322",="0.0962",="0.0992",="0.101",="0.0988"
="",="(0.22)",="(0.31)",="(0.32)",="(0.29)",="(1.21)",="(1.23)",="(1.25)",="(1.24)"

="winsor_investa",="0.151",="0.147",="0.148",="0.150",="0.0957",="0.0945",="0.0952",="0.0964"
="",="(1.79)",="(1.70)",="(1.79)",="(1.77)",="(1.35)",="(1.35)",="(1.38)",="(1.37)"

="winsor_roe",="0.00999",="0.00996",="0.00899",="0.00939",="0.0195",="0.0197",="0.0189",="0.0191"
="",="(0.35)",="(0.36)",="(0.32)",="(0.33)",="(0.80)",="(0.83)",="(0.78)",="(0.78)"

="logppe",="0.00238",="0.00220",="0.00216",="0.00216",="0.00618*",="0.00646*",="0.00620*",="0.00628*"
="",="(0.41)",="(0.38)",="(0.38)",="(0.37)",="(2.02)",="(2.12)",="(2.13)",="(2.08)"

="winsor_volat",="0.00762",="0.00825",="0.00681",="0.00777",="0.0115*",="0.0123*",="0.0109",="0.0116*"
="",="(1.15)",="(1.22)",="(1.10)",="(1.18)",="(1.85)",="(1.91)",="(1.78)",="(1.85)"

="winsor_salesgr",="0.00701",="0.00695",="0.00644",="0.00658",="0.00540",="0.00578",="0.00519",="0.00536"
="",="(1.37)",="(1.41)",="(1.31)",="(1.33)",="(1.23)",="(1.35)",="(1.17)",="(1.23)"

="winsor_epsgr",="0.0000984",="0.000100",="0.000101",="0.000101",="0.000112*",="0.000112*",="0.000112*",="0.000112*"
="",="(1.51)",="(1.56)",="(1.56)",="(1.55)",="(2.04)",="(2.04)",="(2.04)",="(2.05)"

="change_scope2",="",="-3.61e-08",="",="",="",="-3.90e-08",="",=""
="",="",="(-0.67)",="",="",="",="(-0.76)",="",=""

="change_total_emissions",="",="",="3.13e-16",="",="",="",="2.59e-16",=""
="",="",="",="(1.59)",="",="",="",="(1.15)",=""

="change_energy_consumption",="",="",="",="4.63e-11",="",="",="",="6.44e-13"
="",="",="",="",="(0.30)",="",="",="",="(0.01)"

="_cons",="0.121**",="0.113*",="0.116*",="0.117*",="0.0674",="0.0603",="0.0663",="0.0650"
="",="(2.25)",="(2.03)",="(2.10)",="(2.10)",="(1.57)",="(1.40)",="(1.62)",="(1.51)"

="N",="3086",="3086",="3086",="3078",="3087",="3087",="3087",="3079"
="R-sq",="0.225",="0.224",="0.225",="0.225",="0.219",="0.219",="0.219",="0.219"
="adj. R-sq",="0.175",="0.174",="0.174",="0.174",="0.178",="0.178",="0.178",="0.178"

="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
