
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="log_scope1",="log_scope2",="log_total_emissions",="log_energy_consumption",="change_scope1",="change_scope2",="change_total_emissions",="change_energy_consumption",="scope1_int",="total_emissions_int",="energy_consumption_int"

="logsize",="0.108",="0.310",="0.344",="0.0514",="205947.6",="3850.5",="1.82030e+10",="2319450.5",="3155.2",="24010308.8",="6861.3"
="",="(0.74)",="(1.28)",="(1.31)",="(0.40)",="(1.39)",="(0.56)",="(0.04)",="(1.58)",="(1.09)",="(0.18)",="(1.01)"

="winsor_bm",="0.136",="0.0164",="0.0493",="0.177",="-10837.7",="-6044.5",="-5.80228e+11",="-96769.8",="-2358.1",="164612664.2",="-403.1"
="",="(1.22)",="(0.07)",="(0.15)",="(1.39)",="(-0.10)",="(-0.99)",="(-1.37)",="(-0.11)",="(-1.37)",="(1.06)",="(-0.11)"

="winsor_roe",="0.185",="0.474",="0.995",="0.0706",="-91480.9",="-4949.4",="4.95062e+11",="-1097008.5",="2557.5",="-361562408.8",="-1636.7"
="",="(0.58)",="(0.76)",="(1.47)",="(0.34)",="(-0.77)",="(-0.33)",="(0.54)",="(-0.48)",="(1.38)",="(-1.21)",="(-0.21)"

="winsor_leverage",="0.711",="-1.542",="-1.754",="-0.946",="955633.4",="32348.6",="2.71674e+12",="15059658.1*",="27625.3",="-557588509.9",="-3663.0"
="",="(0.70)",="(-1.45)",="(-0.90)",="(-1.42)",="(1.26)",="(1.12)",="(1.54)",="(1.88)",="(1.61)",="(-0.60)",="(-0.24)"

="winsor_investa",="1.713",="-0.330",="0.850",="1.492",="-1227253.9",="-150712.0**",="-7.59961e+12",="-22866996.0*",="3869.9",="2.47435e+09",="3610.4"
="",="(0.98)",="(-0.12)",="(0.21)",="(1.17)",="(-1.38)",="(-2.22)",="(-1.24)",="(-2.02)",="(0.24)",="(1.21)",="(0.08)"

="logppe",="0.407***",="0.351",="0.866***",="0.480***",="-53931.0",="-1967.6",="1.83894e+11",="-997064.1",="-6298.4",="-20858638.7",="-15893.7"
="",="(3.50)",="(1.69)",="(3.28)",="(4.18)",="(-1.09)",="(-0.37)",="(0.53)",="(-1.05)",="(-1.51)",="(-0.18)",="(-1.61)"

="winsor_salesgr",="-0.143",="-0.197",="-0.310",="-0.186**",="-119522.4",="9458.4*",="6.32768e+11",="364939.3",="745.8",="-51958147.3",="-2642.7"
="",="(-1.64)",="(-1.11)",="(-1.62)",="(-2.46)",="(-1.07)",="(1.88)",="(0.81)",="(0.19)",="(1.03)",="(-0.66)",="(-1.12)"

="winsor_epsgr",="0.000751",="-0.000479",="0.0000887",="0.000511",="669.0",="-34.95",="-2.60198e+09",="-934.2",="1.249",="-309129.0",="16.34"
="",="(1.46)",="(-1.15)",="(0.14)",="(1.51)",="(1.26)",="(-1.32)",="(-0.71)",="(-0.09)",="(0.39)",="(-0.77)",="(1.19)"

="_cons",="0.957",="-2.508",="-0.941",="3.961*",="-3475735.0",="-54739.5",="-5.03320e+12***",="-33679507.5*",="59161.2*",="447997415.9",="191043.0*"
="",="(0.36)",="(-0.77)",="(-0.19)",="(1.85)",="(-1.32)",="(-0.82)",="(-3.92)",="(-1.95)",="(1.95)",="(0.22)",="(1.93)"

="N",="437",="433",="437",="435",="367",="367",="367",="366",="437",="437",="435"
="R-sq",="0.797",="0.701",="0.726",="0.849",="0.140",="0.099",="0.068",="0.088",="0.360",="0.296",="0.462"
="adj. R-sq",="0.768",="0.657",="0.687",="0.827",="0.001",="-0.047",="-0.083",="-0.060",="0.267",="0.194",="0.384"

="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
