var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_energy_consumption,5.1390225e-11,1.4476775e-10,.35498393,.72388923,-2.3839394e-10,3.4117439e-10,3078,.22475493
logsize,-.0052821217,.0057380321,-.92054588,.36110064,-.016768042,.0062037976,3078,.22475493
winsor_bm,-.029363099,.012004555,-2.4459965,.017499698,-.053392828,-.0053333705,3078,.22475493
winsor_leverage,-.015855642,.0098572867,-1.6085199,.11315175,-.035587147,.0038758619,3078,.22475493
winsor_mom,.023333127,.10766206,.21672562,.82918268,-.19217591,.23884216,3078,.22475493
winsor_investa,.15319397,.049156196,3.1164732,.0028456969,.054797143,.25159079,3078,.22475493
winsor_roe,.010119094,.028377397,.35658991,.72269285,-.04668444,.066922627,3078,.22475493
logppe,.0013902481,.0052327439,.26568243,.79142588,-.0090842275,.011864724,3078,.22475493
beta,.0037214502,.0044136792,.84316283,.40260127,-.005113489,.01255639,3078,.22475493
winsor_volat,.0076358072,.0076452103,.99877006,.32205486,-.0076677445,.022939358,3078,.22475493
winsor_salesgr,.0066438997,.0045182328,1.4704642,.14684054,-.0024003263,.015688125,3078,.22475493
winsor_epsgr,.000098213102,.000066206208,1.4834424,.14337097,-.000034313027,.00023073923,3078,.22475493
_cons,.11900197,.049497526,2.4042003,.019422701,.019921903,.21808204,3078,.22475493
