var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_scope1,1.9477915e-09,3.2828265e-10,5.9332757,1.7554781e-07,1.2906624e-09,2.6049207e-09,3086,.22512685
logsize,-.0056483578,.0056506493,-.99959445,.321659,-.016959362,.0056626461,3086,.22512685
winsor_bm,-.029631663,.012107518,-2.4473772,.017439203,-.053867493,-.0053958325,3086,.22512685
winsor_leverage,-.016125234,.010172134,-1.5852361,.11835042,-.036486972,.0042365058,3086,.22512685
winsor_mom,.014429558,.10795375,.13366427,.89413077,-.20166336,.23052247,3086,.22512685
winsor_investa,.15484738,.048232265,3.2104523,.0021619345,.058300011,.25139475,3086,.22512685
winsor_roe,.010797008,.028371662,.38055608,.70492291,-.045995045,.067589059,3086,.22512685
logppe,.0015692465,.0051196301,.3065156,.76030976,-.0086788069,.0118173,3086,.22512685
beta,.0040047821,.0044666617,.89659399,.37364206,-.0049362131,.012945778,3086,.22512685
winsor_volat,.0074646822,.0076522301,.97549111,.33336785,-.0078529213,.022782285,3086,.22512685
winsor_salesgr,.0071001169,.0044552647,1.5936465,.11645084,-.0018180646,.016018299,3086,.22512685
winsor_epsgr,.000095609234,.000065522559,1.4591804,.14991041,-.000035548426,.00022676689,3086,.22512685
_cons,.12309957,.050968185,2.4152236,.018897945,.021075655,.22512348,3086,.22512685
