var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_scope2,-3.9518632e-08,5.0847429e-08,-.77720022,.44014582,-1.4126411e-07,6.2226839e-08,3087,.219064
logsize,-.0078093763,.0024337794,-3.2087445,.0021566804,-.012679358,-.0029393949,3087,.219064
winsor_bm,-.023171918,.008900472,-2.6034484,.011656165,-.040981721,-.0053621149,3087,.219064
winsor_leverage,-.014033389,.012398696,-1.131844,.26227936,-.038843121,.010776344,3087,.219064
winsor_mom,.091992058,.088079892,1.0444161,.30055332,-.084255397,.26823953,3087,.219064
winsor_investa,.095710546,.046631441,2.0524895,.044566382,.0024012479,.18901984,3087,.219064
winsor_roe,.019891176,.023070522,.86219013,.39207384,-.026272831,.066055186,3087,.219064
logppe,.0063792956,.0021108834,3.0220976,.0037095228,.0021554278,.010603163,3087,.219064
beta,.0021468466,.0032428438,.66202593,.51053226,-.0043420689,.0086357621,3087,.219064
winsor_volat,.011734005,.0076720607,1.5294464,.13149804,-.0036177533,.027085762,3087,.219064
winsor_salesgr,.0059195985,.0051101386,1.1584027,.25136727,-.004305765,.016144963,3087,.219064
winsor_epsgr,.0001125867,.00006489463,1.7349155,.08797726,-.000017267157,.00024244055,3087,.219064
_cons,.059774108,.032945722,1.8143208,.074713558,-.0061501306,.12569834,3087,.219064
