var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
energy_consumption_int,-1.9128704e-07,3.4210788e-07,-.55914247,.57792878,-8.7413724e-07,4.9156318e-07,3560,.23027043
logsize,-.0060555544,.0058074193,-1.0427272,.30082253,-.017647212,.0055361032,3560,.23027043
winsor_bm,-.030682093,.010543172,-2.9101386,.004899451,-.051726352,-.0096378326,3560,.23027043
winsor_leverage,-.011864515,.011440808,-1.0370347,.30344799,-.034700464,.010971433,3560,.23027043
winsor_mom,-.062465347,.11480947,-.54407835,.58819366,-.29162601,.16669531,3560,.23027043
winsor_investa,.16032562,.044790976,3.5794177,.00064616313,.070922449,.24972878,3560,.23027043
winsor_roe,.0028697501,.02130457,.13470115,.89325202,-.039654352,.045393851,3560,.23027043
logppe,.0032258271,.0049297609,.65435773,.51512134,-.0066140173,.013065672,3560,.23027043
beta,.0036716345,.0045423615,.80830961,.4217732,-.005394957,.012738226,3560,.23027043
winsor_volat,.01027876,.0095086638,1.080989,.28357768,-.008700612,.029258134,3560,.23027043
winsor_salesgr,.005632726,.0051574148,1.0921607,.27867419,-.0046615172,.01592697,3560,.23027043
winsor_epsgr,.00011524594,.000071562245,1.6104293,.11200588,-.000027592903,.00025808476,3560,.23027043
_cons,.09966141,.052291092,1.9058965,.060954873,-.004712048,.20403486,3560,.23027043
