var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_energy_consumption,-.0042253304,.0023901102,-1.7678392,.081640698,-.0089960108,.00054534955,3560,.23070896
logsize,-.0051491358,.005076638,-1.0142807,.31409773,-.015282148,.0049838764,3560,.23070896
winsor_bm,-.029372286,.010319461,-2.8463004,.0058643236,-.049970016,-.0087745553,3560,.23070896
winsor_leverage,-.015788948,.013247974,-1.191801,.23754376,-.042232014,.01065412,3560,.23070896
winsor_mom,-.062553823,.11635038,-.53763318,.59261167,-.29479015,.1696825,3560,.23070896
winsor_investa,.16521893,.050498396,3.2717659,.0016911142,.06442371,.26601416,3560,.23070896
winsor_roe,.0020001128,.021365574,.093613811,.9256953,-.040645752,.044645976,3560,.23070896
logppe,.0053140838,.0050265458,1.0572039,.29421553,-.004718944,.015347111,3560,.23070896
beta,.0043217954,.0046954332,.9204253,.36065277,-.0050503286,.013693919,3560,.23070896
winsor_volat,.010961183,.0095210718,1.1512552,.25371915,-.0080429558,.029965322,3560,.23070896
winsor_salesgr,.0052514868,.0047292667,1.1104231,.27078608,-.0041881693,.014691143,3560,.23070896
winsor_epsgr,.00011800803,.000069130067,1.7070435,.0924448,-.000019976163,.00025599223,3560,.23070896
_cons,.098066717,.048687227,2.0142186,.048004039,.00088660337,.19524683,3560,.23070896
