var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_energy_consumption,-.00073282945,.00095256645,-.76932108,.44440645,-.00263416,.0011685012,3560,.22557139
logsize,-.0078196833,.0021439788,-3.6472764,.00051917532,-.012099084,-.0035402835,3560,.22557139
winsor_bm,-.025905272,.0081337867,-3.1848969,.0021984838,-.04214038,-.0096701654,3560,.22557139
winsor_leverage,-.015775591,.010874745,-1.4506632,.15153947,-.037481673,.0059304903,3560,.22557139
winsor_mom,-.0042977636,.098904096,-.04345385,.965469,-.20171116,.19311564,3560,.22557139
winsor_investa,.09971597,.044748057,2.2283866,.02921492,.010398474,.18903346,3560,.22557139
winsor_roe,.010235515,.019001309,.53867424,.59189695,-.027691256,.048162289,3560,.22557139
logppe,.0072751814,.0021959611,3.3129828,.001490977,.0028920246,.011658338,3560,.22557139
beta,.0023177983,.0032535249,.71239609,.47869313,-.0041762646,.0088118613,3560,.22557139
winsor_volat,.013169654,.0086084185,1.5298575,.13076,-.0040128217,.030352129,3560,.22557139
winsor_salesgr,.0061888713,.0051357104,1.2050663,.23241687,-.0040620496,.016439792,3560,.22557139
winsor_epsgr,.00012690105,.000067233967,1.8874545,.063431583,-7.2985081e-06,.00026110062,3560,.22557139
_cons,.056211092,.028372148,1.9812068,.05167437,-.00041995416,.11284214,3560,.22557139
