var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_total_emissions,-.00070641737,.00093391968,-.75640059,.45206058,-.002570529,.0011576941,3560,.23026237
logsize,-.0052515492,.0051180907,-1.0260758,.30854616,-.015467301,.0049642026,3560,.23026237
winsor_bm,-.029783506,.010283628,-2.8962061,.0050965678,-.050309714,-.0092572989,3560,.23026237
winsor_leverage,-.01280756,.012474474,-1.0267015,.30825359,-.037706714,.012091594,3560,.23026237
winsor_mom,-.059842382,.1155777,-.51776755,.60632592,-.29053643,.17085168,3560,.23026237
winsor_investa,.15339473,.047583058,3.2237258,.0019562123,.058418546,.24837092,3560,.23026237
winsor_roe,.0021713516,.021467267,.10114709,.91973579,-.040677492,.045020197,3560,.23026237
logppe,.003678699,.0048664529,.75593024,.45234063,-.0060347817,.01339218,3560,.23026237
beta,.0037024608,.004583294,.80781657,.42205504,-.0054458324,.012850754,3560,.23026237
winsor_volat,.010603402,.0097128432,1.0916888,.27888015,-.0087835146,.029990319,3560,.23026237
winsor_salesgr,.0061733103,.0046120374,1.3385212,.18525107,-.0030323551,.015378976,3560,.23026237
winsor_epsgr,.00010940591,.000066219101,1.6521806,.10317709,-.00002276797,.00024157979,3560,.23026237
_cons,.088070743,.047388379,1.8584882,.067493044,-.0065168585,.18265834,3560,.23026237
