var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
log_total_emissions,-.00062684115,.00060776481,-1.0313877,.30606785,-.0018399449,.0005862625,3560,.22565629
logsize,-.0078605302,.0021044568,-3.7351825,.00038970943,-.012061044,-.0036600167,3560,.22565629
winsor_bm,-.025817234,.0081135156,-3.1820035,.0022176199,-.042011879,-.0096225888,3560,.22565629
winsor_leverage,-.016547712,.011124019,-1.487566,.14155686,-.038751345,.0056559229,3560,.22565629
winsor_mom,-.0044361413,.099296175,-.044675853,.96449858,-.20263214,.19375986,3560,.22565629
winsor_investa,.10271301,.046508521,2.2084773,.030636469,.0098816128,.19554441,3560,.22565629
winsor_roe,.010160293,.018935151,.53658366,.59333253,-.027634427,.047955014,3560,.22565629
logppe,.0077775209,.0023235346,3.34728,.0013416681,.0031397264,.012415315,3560,.22565629
beta,.0022321974,.0032958027,.6772849,.50055718,-.0043462524,.0088106478,3560,.22565629
winsor_volat,.013361978,.0085915904,1.5552392,.12460045,-.0037869082,.030510865,3560,.22565629
winsor_salesgr,.0060107973,.0051322225,1.171188,.24567166,-.0042331619,.016254757,3560,.22565629
winsor_epsgr,.00012564356,.000066237939,1.896852,.062159099,-6.5679178e-06,.00025785505,3560,.22565629
_cons,.051258802,.030865474,1.6607165,.1014436,-.010348942,.11286655,3560,.22565629
