var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
scope2_int,5.0630542e-06,7.7261620e-06,.65531296,.5145101,-.00001035843,.000020484538,3560,.23027137
logsize,-.0049669263,.005242147,-.9474985,.34678978,-.015430296,.0054964432,3560,.23027137
winsor_bm,-.029515091,.010544668,-2.7990537,.006688056,-.050562337,-.0084678456,3560,.23027137
winsor_leverage,-.014715642,.015326311,-.96015549,.34042925,-.045307089,.015875803,3560,.23027137
winsor_mom,-.06427595,.11723155,-.54828203,.58532053,-.29827109,.1697192,3560,.23027137
winsor_investa,.15241584,.047410976,3.2147796,.0020097017,.057783134,.24704854,3560,.23027137
winsor_roe,.0023493359,.021668477,.10842183,.91398513,-.040901124,.0455998,3560,.23027137
logppe,.002897992,.0045249816,.64044285,.52406907,-.0061339093,.011929893,3560,.23027137
beta,.0048919837,.0053254678,.91860169,.36159918,-.0057376949,.015521662,3560,.23027137
winsor_volat,.0096001541,.0097632287,.98329705,.3289988,-.0098873321,.02908764,3560,.23027137
winsor_salesgr,.0062338123,.004671264,1.3345022,.18655702,-.0030900699,.015557694,3560,.23027137
winsor_epsgr,.00011948854,.000071064198,1.6814169,.097338118,-.000022356195,.00026133328,3560,.23027137
_cons,.07977818,.053889528,1.4804022,.14345324,-.027785771,.18734214,3560,.23027137
