var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
scope2_int,1.3756447e-06,4.0481173e-06,.33982334,.73505259,-6.7044311e-06,9.4557208e-06,3560,.22550017
logsize,-.0074001108,.0023619325,-3.1330745,.0025657944,-.012114548,-.0026856738,3560,.22550017
winsor_bm,-.025897786,.0081674792,-3.1708419,.0022929097,-.042200144,-.0095954286,3560,.22550017
winsor_leverage,-.0137592,.011162889,-1.2325841,.22203866,-.036040422,.0085220197,3560,.22550017
winsor_mom,-.0052435198,.099816315,-.052531689,.95826137,-.20447773,.19399068,3560,.22550017
winsor_investa,.095657021,.044390291,2.1549087,.03476689,.0070536272,.18426041,3560,.22550017
winsor_roe,.010286584,.019084372,.53900564,.59166956,-.027805982,.048379149,3560,.22550017
logppe,.0063828463,.0020934022,3.0490301,.0032856164,.0022043979,.010561295,3560,.22550017
beta,.0025032437,.0032984216,.75892168,.45056114,-.0040804334,.0090869209,3560,.22550017
winsor_volat,.01262802,.0090202205,1.399968,.1661365,-.0053764163,.030632455,3560,.22550017
winsor_salesgr,.0062522516,.0051676021,1.2098942,.23057105,-.0040623257,.016566828,3560,.22550017
winsor_epsgr,.00012770637,.00006847542,1.8649958,.066562019,-8.9711411e-06,.00026438388,3560,.22550017
_cons,.053863727,.032544702,1.655069,.10258783,-.011095772,.11882322,3560,.22550017
