var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_energy_consumption,7.0050667e-12,1.2072535e-10,.05802482,.95392495,-2.3456578e-10,2.4857594e-10,3079,.21893904
logsize,-.0078108264,.0024315733,-3.2122521,.0021344319,-.012676394,-.0029452594,3079,.21893904
winsor_bm,-.023644162,.0088172155,-2.6815906,.0094876606,-.04128737,-.0060009547,3079,.21893904
winsor_leverage,-.015201108,.012101458,-1.2561384,.21401709,-.039416071,.0090138549,3079,.21893904
winsor_mom,.091700047,.088473208,1.0364724,.30421126,-.085334435,.26873454,3079,.21893904
winsor_investa,.097590886,.047017943,2.0756094,.042297885,.0035081983,.19167358,3079,.21893904
winsor_roe,.019276071,.023274764,.82819617,.41089711,-.027296625,.065848768,3079,.21893904
logppe,.0061951187,.0021171782,2.9261205,.004866363,.001958655,.010431582,3079,.21893904
beta,.0021190979,.0033600931,.63066643,.53069407,-.0046044332,.0088426284,3079,.21893904
winsor_volat,.011045582,.0076176194,1.4500045,.15235268,-.0041972394,.026288403,3079,.21893904
winsor_salesgr,.0054747779,.0049406355,1.1081121,.27231035,-.004411411,.015360967,3079,.21893904
winsor_epsgr,.00011247223,.000065754677,1.7104826,.092430711,-.000019102574,.00024404704,3079,.21893904
_cons,.064676695,.031292561,2.0668392,.043146338,.0020604231,.12729296,3079,.21893904
