var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_scope1,9.7612074e-10,3.9736162e-10,2.4565048,.016991185,1.8100198e-10,1.7712395e-09,3087,.21895599
logsize,-.0078302994,.0024376884,-3.2121823,.0021348728,-.012708102,-.0029524961,3087,.21895599
winsor_bm,-.02372939,.0088911755,-2.6688697,.0098134559,-.041520592,-.0059381882,3087,.21895599
winsor_leverage,-.01504009,.012184937,-1.2343183,.22197816,-.039422095,.0093419133,3087,.21895599
winsor_mom,.087869845,.088172451,.99656802,.323044,-.088562824,.26430252,3087,.21895599
winsor_investa,.096949033,.047116961,2.0576248,.044053614,.0026682108,.19122985,3087,.21895599
winsor_roe,.019737335,.023379358,.84422058,.40195632,-.027044652,.06651932,3087,.21895599
logppe,.0060738274,.0021134717,2.8738625,.0056291251,.0018447802,.010302874,3087,.21895599
beta,.0023953828,.0034289206,.69858217,.48755777,-.0044658715,.0092566377,3087,.21895599
winsor_volat,.010804193,.0076335492,1.4153564,.162221,-.0044705034,.026078889,3087,.21895599
winsor_salesgr,.0055471798,.0048811915,1.1364397,.26036751,-.0042200619,.015314422,3087,.21895599
winsor_epsgr,.00011156645,.000065358268,1.7069982,.093080685,-.000019215146,.00024234805,3087,.21895599
_cons,.067245446,.032092277,2.0953779,.04043835,.0030289476,.13146195,3087,.21895599
