var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2
change_scope2,-4.0058691e-08,5.6073048e-08,-.71440184,.47784421,-1.5230110e-07,7.2183717e-08,3086,.22474763
logsize,-.0051139938,.0056785876,-.90057498,.37153861,-.016480923,.0062529347,3086,.22474763
winsor_bm,-.028680611,.012169654,-2.3567319,.021834651,-.053040821,-.0043204003,3086,.22474763
winsor_leverage,-.013933326,.010850657,-1.2840998,.2042129,-.035653278,.0077866241,3086,.22474763
winsor_mom,.024285682,.10725784,.22642337,.82166827,-.19041422,.23898558,3086,.22474763
winsor_investa,.15072364,.049299695,3.0572934,.0033751808,.052039571,.24940769,3086,.22474763
winsor_roe,.010793867,.028302526,.38137466,.70431882,-.045859799,.067447528,3086,.22474763
logppe,.0013774273,.0051235696,.26884133,.78900582,-.0088785123,.011633366,3086,.22474763
beta,.003969111,.0042115171,.94244212,.34987545,-.0044611567,.012399378,3086,.22474763
winsor_volat,.0081666717,.0077143684,1.0586313,.29415679,-.007275315,.023608658,3086,.22474763
winsor_salesgr,.0070590265,.0048843729,1.4452268,.15377577,-.0027181087,.016836161,3086,.22474763
winsor_epsgr,.000097382093,.000066405693,1.466472,.14792097,-.000035543351,.00023030753,3086,.22474763
_cons,.11406402,.051541608,2.2130473,.030843226,.010892274,.21723576,3086,.22474763
